Altium Designer Pick and Place Locations
C:\Users\adria\AppData\Local\TempReleases\Snapshot\1\Fabrication\Pick Place\Pick Place for dma_oyster3_V2_1.txt

========================================================================================================================
File Design Information:

Date:       21/12/23
Time:       10:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                    Layer       Footprint                            Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                        "1st Vendor Part No"       
XTAL1      "32.768kHz, 6pF 55kOhm"    TopLayer    Crystal_1.6_x_1mm                    41.0750      40.0500      270      "32.768kHz ±20ppm Tuning Fork crystal 2-Pin, 1.6 x 1mm, 6pF, 55kOhm"                                                                                               TFX-04C-32.768KJ14482      
R17        1.2M                       TopLayer    R-0201                               48.9750      17.6750      270      "Chip Resistor 0201 1%"                                                                                                                                            ERJ-1GNJ125C               
Q3         PMF170XP                   TopLayer    SC70-LT3_L                           50.9750      18.3000      90       "P-Channel MOSFET, SOT-323 / SC-70"                                                                                                                                PMF170XP,115               
C51        "47nF 10V"                 TopLayer    C-0201                               50.3250      15.9000      270      "Chip Cap 0201, 10V X5R 10%"                                                                                                                                       GRM033R61A473KE84D         
ESD1       "ESD LOGO"                 TopLayer    Logo_ESD                             -318.8750    -230.4000    0        ""                                                                                                                                                                 ""                         
RF_P4      "1.2pF 50V"                TopLayer    R-0402                               65.2000      25.9250      225      "Chip Cap 0402, 50V NPO +-0.1pF"                                                                                                                                   500R07S1R2BV4T             
D1         PESD5V0U1BB,115            TopLayer    ONSC-SOD-523-2-502-01_C_V            58.7250      18.7000      270      "Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-523, Pb-Free, Tape and Reel"                                                     PESD5V0U1BB,115            
D2         PESD5V0U1BB,115            TopLayer    ONSC-SOD-523-2-502-01_C_V            62.3250      18.7000      270      "Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-523, Pb-Free, Tape and Reel"                                                     PESD5V0U1BB,115            
D3         PESD5V0U1BB,115            TopLayer    ONSC-SOD-523-2-502-01_C_V            60.1500      18.7000      270      "Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-523, Pb-Free, Tape and Reel"                                                     PESD5V0U1BB,115            
D4         PESD5V0U1BB,115            TopLayer    ONSC-SOD-523-2-502-01_C_V            61.2375      18.7000      270      "Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-523, Pb-Free, Tape and Reel"                                                     PESD5V0U1BB,115            
FB4        "Ferrite Bead"             TopLayer    R-0603                               16.4000      6.0000       0        "Ferrite Bead, 180R 0603 1.5A"                                                                                                                                     BLM18PG181SN1D             
R27        DNF                        TopLayer    R-0201                               27.0000      3.1000       180      "Chip Resistor 0201 1%"                                                                                                                                            ""                         
U3         LIS2DH12TR                 TopLayer    STM-LGA-12                           56.4750      33.2125      90       "MEMS Digital Output Motion Sensor: Ultra-Low-Power High-Performance 3-Axis "Femto" Accelerometer, 1.71 to 3.6 V, -40 to 85 degC, 12-Pin LGA, RoHS, Tape and Reel" LIS2DH12TR                 
R26        10R                        TopLayer    R-0402                               52.7250      33.2000      90       "Chip Resistor 0402 5% 1/16W"                                                                                                                                      ERJ-2RKF10R0X              
C65        "100nF 10V"                TopLayer    C-0201                               56.5000      34.8000      180      "Chip Cap 0201, 6.3V X7R"                                                                                                                                          CL03A104KP3NNNC            
C50        "22uF 10V"                 TopLayer    C-0603                               53.9250      33.5750      270      "Chip Cap 0603, 10V X5R"                                                                                                                                           CL10A226MP8NUNE            
Q2         ""                         TopLayer    FP-S-03946-MFG                       12.2750      5.3000       180      "SQ2319ADS Series 40 V 4.6 A SMT Automotive P-Channel MOSFET - SOT-23-3"                                                                                           SQ2319ADS-T1_GE3           
R18        249K                       TopLayer    R-0201                               25.5500      3.1000       0        "Chip Resistor 0201 1%"                                                                                                                                            ERJ-1GNF2493C              
U2         TPS62901RPJR               TopLayer    QFN_902RPJR_TEX                      23.3039      4.9886       0        "3-V to 17-V, High Efficiency and Low IQ Buck Converter in 1.5-mm × 2-mm QFN Package"                                                                              TPS62901RPJR               
L1         2.2uH                      TopLayer    FP-XGL4020-MFG                       27.0500      5.8500       90       "Shielded Power Inductors, 4x4mm"                                                                                                                                  XFL4020-222MEC             
C49        "33pF 50V"                 TopLayer    C-0201                               27.0000      8.6000       0        "Chip Cap 0201, 50V C0G"                                                                                                                                           GRM0335C1H330JA01D         
RF_GNSS_S1 "2pF 50V"                  TopLayer    R-0201                               20.3750      40.2492      90       "50V Ceramic Capacitor C0G, NP0 0201 +-0.1pF"                                                                                                                      GJM0335C1H2R0BB01D         
C48        "100nF 10V"                TopLayer    C-0201                               25.5500      8.6000       180      "Chip Cap 0201, 6.3V X7R"                                                                                                                                          CL03A104KP3NNNC            
R16        40.2K                      TopLayer    R-0402                               20.7500      4.2000       0        "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF4022X              
FUD3       Fuducial                   TopLayer    Fuducial_1mm                         -318.8750    -230.4000    0        ""                                                                                                                                                                 ""                         
FUD2       Fuducial                   TopLayer    Fuducial_1mm                         -318.8750    -230.4000    0        ""                                                                                                                                                                 ""                         
FUD1       Fuducial                   TopLayer    Fuducial_1mm                         -318.8750    -230.4000    0        ""                                                                                                                                                                 ""                         
RF_GNSS_S2 "0R 0.5A"                  TopLayer    R-0201                               20.3750      38.0500      90       "Chip Resistor 0201 1%"                                                                                                                                            ERJ-1GN0R00C               
RF_GNSS_P2 DNF                        TopLayer    R-0201                               21.2750      40.2492      270      "0201 Inductor, Wire wound, 5% Tol."                                                                                                                               LQP03TN8N2J02D             
RF_GNSS_P1 "0.4pF 50V"                TopLayer    C-0201                               20.0750      39.1500      0        "Chip Cap 0201, 50V NPO +-0.05pF"                                                                                                                                  GJM0335C1HR40WB01D         
U1         LSF0102                    TopLayer    XSON8_[SOT1203]                      45.5750      29.0500      90       "Bidirectional (multi-voltage) level translator , 2 CH, 8-Pin"                                                                                                     LSF0102DQER                
D5         MM5Z18VT1G                 TopLayer    ONSC-SOD-523-2-502-01_V              14.3750      5.7500       270      "Zener Voltage Regulator, 500 mW, 2-Pin SOD-523, Pb-Free, Tape and Reel"                                                                                           MM5Z18VT1G                 
R25        200K                       TopLayer    R-0402                               45.5750      30.6250      180      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF2003X              
R24        10K                        TopLayer    R-0402                               14.9750      4.2000       180      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF1002X              
R23        "DNF (0R)"                 TopLayer    R-0402                               12.5250      7.6000       180      "Chip Resistor 0402 1%"                                                                                                                                            ""                         
GPS1       "GPS Patch"                TopLayer    GPS_PATCH_ANTENNA_T1                 21.2697      25.6904      270      "GPS Patch Antenna, TH 25 x 25 x 4mm, Multi GNSS Band"                                                                                                             9001997                    
C14        "100pF 50V"                TopLayer    C-0201                               12.2000      8.6000       180      "Chip Cap 0201, 50V NPO, 5%"                                                                                                                                       GRM0335C1H101JA01D         
R15        200K                       TopLayer    R-0402                               33.7250      6.3750       270      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF2003X              
Q1         NX3008CBKS,115             TopLayer    NXP-SOT363_N                         30.6750      6.5000       270      "N/P-Channel Trench MOSFET, 30 / -30 V, 350 / -200 mA, -55 to 150 degC, 6-Pin SOT363, Tape and Reel"                                                               NX3008CBKS,115             
C22        "100nF 10V"                TopLayer    C-0201                               44.0000      30.4000      90       "Chip Cap 0201, 6.3V X7R"                                                                                                                                          CL03A104KP3NNNC            
U11        SST26VF064BT-104I/MF       TopLayer    SON127P500X600X90-9V                 46.7000      12.2150      0        "Dataflash, 32 / 64MBit SPI WSON 6x5mm 8-Pin"                                                                                                                      SST26VF064BT-104I/MF       
C18        "33pF 50V"                 TopLayer    C-0201                               30.2500      45.9750      270      "Chip Cap 0201, 50V C0G"                                                                                                                                           GRM0335C1H330JA01D         
