Altium Designer Pick and Place Locations
C:\Users\adria\AppData\Local\TempReleases\Snapshot\1\Fabrication\Pick Place\Pick Place for Barra-Core-Nb V1.0.txt

========================================================================================================================
File Design Information:

Date:       16/07/24
Time:       17:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment           Layer    Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                        "1st Vendor Part No" 
R6         "1.8M 1/10W"      TopLayer R-0402                    22.2750      30.5250      0        "1.8M Chip Resistor 0402, 5% 1/10W 50V"                                                                                                                            ERJ-2GEJ185X         
C27        "100nF 50V"       TopLayer C-0402                    4.9750       23.0500      270      "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC      
U4         TLV803EA22DBZR    TopLayer DBZ0003A_N                21.8250      1.4250       270      "Supervisor IC, Open Drain or Open Collector 1 Channel SOT-23-3"                                                                                                   TLV803EA22DBZR       
R25        "4.7M 1/10W"      TopLayer R-0402                    19.5500      29.0500      90       "4.7M Chip Resistor 0402, 5% 1/10W 50V"                                                                                                                            ERJ-2GEJ475X         
R5         "10k 1/10W"       TopLayer R-0402                    27.7250      4.1750       270      "10k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             ERJ-2RKF1002X        
C25        "4.7uF 6.3V"      TopLayer C-0402                    21.0500      30.6000      180      "4.7uF 6.3V Chip Cap 0402, X5R ±10%"                                                                                                                               CL05A475KQ5NRNC      
C24        "100nF 50V"       TopLayer C-0402                    24.7750      2.8250       180      "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC      
C21        "100nF 50V"       TopLayer C-0402                    19.1750      2.8250       0        "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC      
C10        "1uF 10V"         TopLayer C-0402                    26.7250      2.8250       270      "1uF 10V Chip Cap 0402, X5R ±10%"                                                                                                                                  CL05A105KP5NNNC      
C6         "22uF 10V"        TopLayer C-0603                    16.5750      28.1250      90       "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE      
U5         SN74LVC2G86YZPR   TopLayer YZP0008ADAD               14.2250      27.8000      90       "Dual 2-Input Exclusive-Or Gate, YZP0008ADAD, LARGE T&R"                                                                                                           SN74LVC2G86YZPR      
FB1        "120R 1.3A"       TopLayer R-0402                    9.9750       17.2250      180      "Ferrite Bead, 120R 0402 1.3A"                                                                                                                                     BLM15PD121SN1D       
C23        "22uF 10V"        TopLayer C-0603                    25.8250      5.1000       90       "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE      
C22        "22uF 10V"        TopLayer C-0603                    24.4750      5.1000       90       "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE      
C20        4.7nH             TopLayer C-0402                    7.9250       25.2250      90       "4.7nH Unshielded Multilayer Inductor 700mA 230mOhm Max 0402 ±0.3nH"                                                                                               LQG15HN4N7S02D       
C19        4.7uF             TopLayer C-0402                    7.7000       17.2250      0        "Chip Cap 0402, 6.3V X5R"                                                                                                                                          CL05A475KQ5NRNC      
ANT2       YC0009AA          TopLayer YC0009AA                  4.9880       30.0125      180      "WIFI/BT antenna SMD PINS2 3.2mmx1.6mm H0.5mm RO"                                                                                                                  YC0009AA             
Y1         "32.000MHz, 10pF" TopLayer FCX-07L-32.000MHZ         4.5000       21.0000      270      "32.000MHz ±10ppm Crystal 4-pin, 1.6mm x 1.2mm, 10pF, 50 Ohm"                                                                                                      FCX-07L-32MJ32419    
L1         0R                TopLayer C-0402                    8.4000       27.0250      0        "0R Chip Resistor 0402, 1A"                                                                                                                                        ERJ-2GE0R00X         
R24        "10k 1/10W"       TopLayer R-0402                    23.3750      28.5000      270      "10k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             ERJ-2RKF1002X        
R23        0R                TopLayer R-0603                    2.7000       22.6500      90       "0R Chip Resistor 0603, 5% 75V, 1A"                                                                                                                                ERJ-3GEY0R00V        
RF_S1      0R                TopLayer R-0402                    33.0500      7.5000       0        "0R Chip Resistor 0402, 1A"                                                                                                                                        ERJ-2GE0R00X         
RF_P1      0R                TopLayer R-0402                    33.0500      8.4500       0        "0R Chip Resistor 0402, 1A"                                                                                                                                        ""                   
R17        "150R 1/10W"      TopLayer R-0402                    27.7500      28.5000      270      "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1500X        
R16        "270R 1/10W"      TopLayer R-0402                    27.7250      6.0250       0        "270R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF2700X        
C15        "33pF 50V"        TopLayer C-0402                    10.3500      14.6250      270      "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC      
