Altium Designer Pick and Place Locations
C:\Users\adria\AppData\Local\TempReleases\Snapshot\1\Fabrication\Pick Place\Pick Place for Barra-Edge-4G V1.0.txt

========================================================================================================================
File Design Information:

Date:       06/12/23
Time:       14:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator        Comment                     Layer       Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                        "1st Vendor Part No"    
FB3               "10R 100MHz 0402"           BottomLayer FB-0402                 16.6250      16.1500      270      "10 Ohms @ 100 MHz 1 Signal Line Ferrite Bead 0402 500mA 50mOhm"                                                                                                   7427927110              
C49               "22uF 10V"                  BottomLayer C-0603                  33.3000      18.8250      180      "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE         
R21               "1.2M 1/10W"                TopLayer    R-0402                  5.2500       4.7750       180      "1.2M Chip Resistor 0402, 5% 1/10W 50V"                                                                                                                            ERJ-2GEJ125X            
U4                TPS22915CYFPR               TopLayer    FP-YFP0004-IPC_B        4.1537       5.3375       90       "TPS22915CYFPR Load Switch With Output Discharge, 1.05-5.5V, 2A, 4DSBGA"                                                                                           TPS22915CYFPR           
R20               "270k 1/10W"                TopLayer    R-0402                  2.1000       4.7750       0        "270k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF2703X           
R19               "270k 1/10W"                TopLayer    R-0402                  3.0500       4.7750       180      "270k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF2703X           
RF_S2             "4.7pF 50V"                 BottomLayer C-0402                  30.0500      4.2000       270      "4.7pF 50V Chip Cap 0402, C0G/NP0 ±0.1pF"                                                                                                                          GJM1555C1H4R7BB01D      
FB1               "600R 1.5A"                 BottomLayer FB-0603                 18.5500      21.6000      270      "600 Ohms @ 100 MHz 1 Power Line Ferrite Bead 0603 1.5A 140mOhm"                                                                                                   BLM18SP601SH1D          
U5                LIS2DH12TR                  BottomLayer FP-LGA-12-8365767-MFG   19.3500      15.2250      90       "MEMS Digital Output Motion Sensor: Ultra-Low-Power High-Performance 3-Axis "Femto" Accelerometer, 1.71 to 3.6 V, -40 to 85 degC, 12-Pin LGA, RoHS, Tape and Reel" LIS2DH12TR              
RF_P2             9.1nH                       BottomLayer L-0402                  31.7250      3.6500       180      "9.1 nH Unshielded Multilayer Inductor 550 mA 170mOhm Max 0402 ±5%"                                                                                                MHQ1005P9N1JT000        
Y2                ST20F-032000-18-05E-NNA     BottomLayer ST20F-032000-18-05E-NNA 16.5750      18.6000      90       "32 MHz TCXO Clipped Sine Wave Oscillator 1.8V 4-SMD, No Lead"                                                                                                     ST20F-032000-18-05E-NNA 
U7                LR1110IMLTRT                BottomLayer FP-QFN32-MFG            10.4000      20.0500      180      "IC RF TxRx + MCU WiFi 802.11b/g/n 150MHz ~ 2.7GHz"                                                                                                                LR1110IMLTRT            
