Altium Designer Pick and Place Locations
C:\Users\Madeline\AppData\Local\TempReleases\Snapshot\2\Fabrication\Output Files\Pick Place\Pick Place for Dart3 4G BLE V0.2B.txt

========================================================================================================================
File Design Information:

Date:       02/04/24
Time:       10:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment              Layer       Footprint                                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                         "1st Vendor Part No"   
U15        TPS22915CYFPR        TopLayer    IPC-B_-_No_Silk                                 52.8829      19.1076      180      "TPS22915CYFPR Load Switch With Output Discharge, 1.05-5.5V, 2A, 4DSBGA"                                                                                            TPS22915CYFPR          
U14        TPS22915CYFPR        TopLayer    IPC-B_-_No_Silk                                 67.7000      40.9000      270      "TPS22915CYFPR Load Switch With Output Discharge, 1.05-5.5V, 2A, 4DSBGA"                                                                                            TPS22915CYFPR          
R2         "100k 1/10W"         TopLayer    R-0402                                          38.6000      18.0000      90       "100k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             ERJ-2RKF1003X          
U1         74HC595PW            TopLayer    FP-PW0016A-IPC_B                                33.6746      19.0750      0        "Serial In Parallel Out, HC/UH Series, 8-Bit, Right Direction, True Output, CMOS, PDSO16"                                                                           74HC595PW              
XTAL1      "32.768kHz, 9pF"     TopLayer    FP-ABS05-MFG                                    62.0500      41.1000      180      "32.768kHz ±20ppm Tuning Fork crystal 2-Pin, 1 x 1.6mm, 9pF, 90kOhm"                                                                                                ABS05-32.768KHZ-9-T    
U13        BGM220PC22HNA2       TopLayer    BGM220P                                         52.8000      8.3000       180      "BGM220PC22HNA2 Wireless Gecko Bluetooth Module with Direction Finding Rx, +8dBm 512kB Flash, 32kB RAM 15x12.9mm,"                                                  BGM220PC22HNA2         
U12        LIS2DH12TR           TopLayer    FP-LGA-12-8365767-MFG                           63.7875      35.3500      90       "MEMS Digital Output Motion Sensor: Ultra-Low-Power High-Performance 3-Axis "Femto" Accelerometer, 1.71 to 3.6 V, -40 to 85 degC, 12-Pin LGA, RoHS, Tape and Reel"  LIS2DH12TR             
U11        SST26VF032BT-104I/MF TopLayer    WSON-8                                          43.3250      19.0000      0        "Flash Memory, 2.7-3.6V, 32MBit SPI WSON 6x5mm 8-Pin"                                                                                                               SST26VF032BT-104I/MF   
U10        SAFFB1G56KB0F0A      TopLayer    SAFFB1G56KB0F0A                                 58.0000      43.0087      0        "SAW Resonator for GNSS, 1.1 x 0.9mm."                                                                                                                              SAFFB1G56KB0F0A        
U9         MIA-M10Q             TopLayer    MIA-M10Q                                        61.8000      44.8000      180      "MIA-M10Q RF Receiver GNSS"                                                                                                                                         MIA-M10Q               
U8         SN74LVC125ARGYR      TopLayer    VQFN-14,_TI                                     21.1001      29.4001      270      "Quadruple Bus Buffer Gate With 3-State Outputs, VQFN-14, Large T&R"                                                                                                SN74LVC125ARGYR        
U7         SN74LVC14ARGYR       TopLayer    VQFN-14,_TI                                     21.1001      37.5001      270      "Hex Schmitt-Trigger Inverter, VQFN-14, Large T&R"                                                                                                                  SN74LVC14ARGYR         
