Altium Designer Pick and Place Locations
C:\Users\Jamie\AppData\Local\TempReleases\Snapshot\4\Assembly\Assembly\Pick Place\Pick Place for Ensurity Scout V1.0.txt

========================================================================================================================
File Design Information:

Date:       02/01/24
Time:       13:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment              Layer       Footprint              Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                        "1st Vendor Part No"    
FUD2       Fiducial             TopLayer    Fiducial               -70.0000     -75.0000     0        "Optical Marking for SMT"                                                                                                                                          ""                      
R27        "560k 1/16W"         TopLayer    R-0402                 16.1000      28.8500      0        "560k Chip Resistor 0402, 1% 1/16W 50V"                                                                                                                            RC0402FR-07560KL        
R26        "560k 1/16W"         TopLayer    R-0402                 16.1000      31.0000      180      "560k Chip Resistor 0402, 1% 1/16W 50V"                                                                                                                            RC0402FR-07560KL        
S4         "Spark Gap"          TopLayer    SPARK_Gap              8.9000       29.2000      0        ""                                                                                                                                                                 ""                      
S3         "Spark Gap"          TopLayer    SPARK_Gap              9.2000       31.8000      90       ""                                                                                                                                                                 ""                      
S2         "Spark Gap"          TopLayer    SPARK_Gap              9.5000       28.9000      180      ""                                                                                                                                                                 ""                      
R25        "150R 1/10W"         TopLayer    R-0402                 15.0000      28.8500      0        "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1500X           
R24        "1.5k 1/10W"         TopLayer    R-0402                 12.2000      29.3000      90       "1.5k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1501X           
R23        "150R 1/10W"         TopLayer    R-0402                 15.0000      31.0000      180      "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1500X           
R22        "1.5k 1/10W"         TopLayer    R-0402                 12.2500      30.5000      90       "1.5k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1501X           
F1         MF-FSMF010X-2        TopLayer    PTC_Fuse_0603          9.4000       30.9000      180      "PTC reset fuse, 15V, 100mA hold, 300mA trip, 0603"                                                                                                                MF-FSMF010X-2           
D8         SMF3.3               TopLayer    SOD-123FL              18.9000      28.9000      180      "SMF3.3 Unidirectional TVS Diode, Vbr = 3.4-4.3V, Vr = 3.3V"                                                                                                       SMF3.3                  
D7         SMF3.3               TopLayer    SOD-123FL              18.8500      31.0000      180      "SMF3.3 Unidirectional TVS Diode, Vbr = 3.4-4.3V, Vr = 3.3V"                                                                                                       SMF3.3                  
C48        "47nF 50V"           TopLayer    C-0402                 13.9000      28.8500      0        "47nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                 CGA2B3X7R1H473K050BB    
C47        "47nF 50V"           TopLayer    C-0402                 13.9000      31.0000      180      "47nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                 CGA2B3X7R1H473K050BB    
U8         TPS22914CYFPR        TopLayer    FP-YFP0004-IPC_B       11.8000      34.3000      90       "TPS22914CYFPR Load Switch, 1.05-5.5V, 2A, 4DSBGA"                                                                                                                 TPS22914CYFPR           
R21        "1.2M 1/10W"         TopLayer    R-0402                 12.2500      35.8750      270      "1.2M Chip Resistor 0402, 5% 1/10W 50V"                                                                                                                            ERJ-2GEJ125X            
D6         PESD5V0U1BB,115      TopLayer    SOD523                 12.2500      31.8000      270      "5V Bidirectional TVS Diode, 9.5V Vbr, Cd 3.5pF, SOD-523"                                                                                                          PESD5V0U1BB,115         
C46        "100nF 50V"          TopLayer    C-0402                 12.4000      33.0000      90       "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC         
C45        "22uF 16V"           TopLayer    C-0805                 9.5000       34.5500      0        "22uF 16V Chip Cap 0805, X5R ±10%"                                                                                                                                 CL21A226KOQNNNE         
P2         53261-0671           TopLayer    53261-0671-Footprint-1 5.6000       30.2000      270      "Board Connector, 6 Contact(s), 1 Row(s), Male, Right Angle, 0.049 inch Pitch, Surface Mount Terminal, Locking, Natural Insulator, Receptacle"                     53261-0671              
D5         PESD5V0U1BB,115      TopLayer    SOD523                 38.0000      33.6000      270      "5V Bidirectional TVS Diode, 9.5V Vbr, Cd 3.5pF, SOD-523"                                                                                                          PESD5V0U1BB,115         
D4         PESD5V0U1BB,115      TopLayer    SOD523                 38.0000      32.5000      270      "5V Bidirectional TVS Diode, 9.5V Vbr, Cd 3.5pF, SOD-523"                                                                                                          PESD5V0U1BB,115         
D3         PESD5V0U1BB,115      TopLayer    SOD523                 38.0000      31.4000      270      "5V Bidirectional TVS Diode, 9.5V Vbr, Cd 3.5pF, SOD-523"                                                                                                          PESD5V0U1BB,115         
D2         PESD5V0U1BB,115      TopLayer    SOD523                 38.0000      34.7000      270      "5V Bidirectional TVS Diode, 9.5V Vbr, Cd 3.5pF, SOD-523"                                                                                                          PESD5V0U1BB,115         
Y1         "32.000MHz, 10pF"    TopLayer    FCX-07L-32.000MHZ      48.0000      10.3000      90       "32.000MHz ±10ppm Crystal 4-pin, 1.6mm x 1.2mm, 10pF, 50 Ohm"                                                                                                      FCX-07L-32.000MHZJ22077 
XTAL1      "32.768kHz, 9pF"     TopLayer    FP-ABS05-MFG           42.3000      11.8000      270      "32.768kHz ±20ppm Tuning Fork crystal 2-Pin, 1 x 1.6mm, 9pF, 90kOhm"                                                                                               ABS05-32.768KHZ-9-T     
U1         MAX38640AENT+        TopLayer    FP-N60E1-2-MFG         4.1000       18.6000      0        "Tiny Nanopower Buck Converter 1.8V to 5.5V 330nA Iq 175mA 6-Bump WLP"                                                                                             MAX38640AENT+           
U5         MIA-M10Q             TopLayer    MIA-M10Q               38.8000      11.7000      270      "MIA-M10Q RF Receiver GNSS"                                                                                                                                        MIA-M10Q                
U6         SAFFB1G56KB0F0A      TopLayer    SAFFB1G56KB0F0A        39.6000      7.9663       180      "SAW Resonator for GNSS, 1.1 x 0.9mm."                                                                                                                             SAFFB1G56KB0F0A         
U4         OPT3001DNPT          TopLayer    FP-DNP0006A-IPC_A      24.5000      32.9000      180      "OPT3001 Ambient Light Sensor, USON-6"                                                                                                                             OPT3001DNPT             
U3         LIS2DH12TR           TopLayer    FP-LGA-12-8365767-MFG  37.3750      27.9000      270      "MEMS Digital Output Motion Sensor: Ultra-Low-Power High-Performance 3-Axis "Femto" Accelerometer, 1.71 to 3.6 V, -40 to 85 degC, 12-Pin LGA, RoHS, Tape and Reel" LIS2DH12TR              
U2         SST26VF064BT-104I/MF TopLayer    WSON-8                 45.5000      17.2000      90       "Flash Memory, 2.7-3.6V, 64MBit SPI WSON 6x5mm 8-Pin"                                                                                                              SST26VF064BT-104I/MF    
SIM1       "SIM - Nano, Hinged" TopLayer    102015772              48.2050      31.4900      90       "6 Position Card Connector NANO SIM Surface Mount, Right Angle Gold"                                                                                               102015772               
S1         "Spark Gap"          TopLayer    SPARK_Gap              8.2000       7.4000       90       ""                                                                                                                                                                 ""                      
RF_S2      "2pF 50V"            TopLayer    C-0402                 51.2500      19.9500      0        "2pF 50V Chip Cap 0402, C0G/NP0 ±0.05pF"                                                                                                                           GJM1555C1H2R0WB01D      
RF_S3      0R                   TopLayer    R-0402                 53.6000      19.5000      90       "0R Chip Resistor 0402, 1A"                                                                                                                                        ERJ-2GE0R00X            
RF_P1      "1.4pF 50V"          TopLayer    C-0402                 51.2500      24.7000      180      "1.4pF 50V Chip Cap 0402, C0G/NP0 ±0.05pF"                                                                                                                         GJM1555C1H1R4WB01D      
RF_P2      DNF                  TopLayer    R-0402                 51.8000      21.3250      270      "DNF, Chip Resistor 0402"                                                                                                                                          ""                      
R6         "150R 1/10W"         TopLayer    R-0402                 36.3000      15.9000      180      "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1500X           
R16        "150R 1/10W"         TopLayer    R-0402                 38.5000      15.9000      0        "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1500X           
RF_G_S2    0R                   TopLayer    R-0402                 37.7250      4.4000       270      "0R Chip Resistor 0402, 1A"                                                                                                                                        ERJ-2GE0R00X            
R2         "150R 1/10W"         TopLayer    R-0402                 34.3000      32.4500      0        "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1500X           
R7         "150R 1/10W"         TopLayer    R-0402                 44.1000      25.2000      90       "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1500X           
R1         "10k 1/10W"          TopLayer    R-0402                 35.2000      18.6500      180      "10k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             ERJ-2RKF1002X           
R15        "1.2M 1/10W"         TopLayer    R-0402                 41.8000      21.3000      180      "1.2M Chip Resistor 0402, 5% 1/10W 50V"                                                                                                                            ERJ-2GEJ125X            
RF_G_P1    DNF                  TopLayer    R-0402                 39.1750      3.8500       180      "DNF, Chip Resistor 0402"                                                                                                                                          ""                      
R18        "150R 1/10W"         TopLayer    R-0402                 35.4000      10.7500      180      "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1500X           
RF_G_S1    0R                   TopLayer    R-0402                 39.1750      5.8500       0        "0R Chip Resistor 0402, 1A"                                                                                                                                        ERJ-2GE0R00X            
RF_G_P2    DNF                  TopLayer    R-0402                 36.2750      3.8500       180      "DNF, Chip Resistor 0402"                                                                                                                                          ""                      
R17        "150R 1/10W"         TopLayer    R-0402                 37.4000      15.9000      0        "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1500X           
R11        "10R 1/10W"          TopLayer    R-0402                 40.6000      27.4000      0        "10R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             ERJ-2RKF10R0X           
R13        "10k 1/10W"          TopLayer    R-0402                 21.7000      30.4000      0        "10k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             ERJ-2RKF1002X           
R12        "10R 1/10W"          TopLayer    R-0402                 23.9000      30.4000      180      "10R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             ERJ-2RKF10R0X           
R20        "100k 1/10W"         TopLayer    R-0402                 52.8000      9.9000       0        "100k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1003X           
R19        "100k 1/10W"         TopLayer    R-0402                 46.7000      12.8000      90       "100k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1003X           
R9         "10k 1/10W"          TopLayer    R-0402                 44.1500      13.2000      270      "10k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             ERJ-2RKF1002X           
R5         "150R 1/10W"         TopLayer    R-0402                 35.2000      15.9000      180      "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1500X           
