Altium Designer Pick and Place Locations
C:\Users\adria\AppData\Local\TempReleases\Snapshot\1\Fabrication\Pick Place\Pick Place for Manta-C V1.0.txt

========================================================================================================================
File Design Information:

Date:       09/02/24
Time:       16:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator        Comment                    Layer       Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                        "1st Vendor Part No"       
C14               T520                       TopLayer    C-1210                           5.1500       12.6000      270      "Tantalum Chip Capacitor,T520 CASE B"                                                                                                                              T520B227M006ATE045         
C38               "22uF 10V"                 BottomLayer C-0603                           11.1000      28.4500      0        "Chip Cap 0603, 10V X5R"                                                                                                                                           CL10A226MP8NUNE            
R31               "249k 1/10W"               BottomLayer R-0402                           2.0491       15.8250      90       "249k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF2493X              
C37               "33pF 50V"                 BottomLayer C-0402                           8.7500       16.0750      180      "33pF 50V Chip Cap 0402, C0G/NP0 ±5%"                                                                                                                              CL05C330JB5NNNC            
C36               "100nF 50V"                BottomLayer C-0402                           8.7481       13.5500      270      "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
ANT1              "AVX 1004795"              TopLayer    Antenna_AVX_1004795              41.7761      27.3724      270      "Universal Broadband FR4 Embedded LTE / LPWA Antenna"                                                                                                              1004795                    
"Spring contact1" "C Postive Coil Terminal"  BottomLayer Pad_3mm                          -0.0750      10.3500      0        "C positive coil terminal, SWIC, Nickel pre-plated 1-3um, 1.1mm OD"                                                                                                NF11-13-T-12               
RF_R4             0R                         BottomLayer R-0402                           48.8750      3.3250       270      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2GE0R00X               
RF_R3             0R                         BottomLayer R-0402                           47.5500      1.8000       270      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2GE0R00X               
RF_P3             9.1nH                      BottomLayer L-0402                           34.6500      15.8750      0        "9.1nH Unshielded Multilayer Inductor 550mA 170mOhm Max 0402 ±5%"                                                                                                  MHQ1005P9N1JT000           
U13               TPS62901RPJR               BottomLayer QFN_902RPJR_TEX                  3.8624       10.7187      90       "3-V to 17-V, High Efficiency and Low IQ Buck Converter in 1.5-mm × 2-mm QFN Package"                                                                              TPS62901RPJR               
U12               TPS22915CYFPR              TopLayer    FP-YFP0004-IPC_B                 9.9750       4.7750       270      "TPS22915CYFPR Load Switch With Output Discharge, 1.05-5.5V, 2A, 4DSBGA"                                                                                           TPS22915CYFPR              
R36               "150R 1/10W"               BottomLayer R-0402                           25.5000      27.2840      0        "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1500X              
R35               "150R 1/10W"               BottomLayer R-0402                           24.5500      27.2750      0        "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1500X              
R34               "191k 1/10W"               TopLayer    R-0402                           6.2000       8.1250       180      "191k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1913X              
R33               470K                       TopLayer    R-0402                           4.2750       5.3750       90       "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF4703X              
R30               "40.2k 1/10W"              BottomLayer R-0402                           2.0491       13.9000      90       "40.2k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                           ERJ-2RKF4022X              
R19               10K                        TopLayer    R-0402                           1.6250       1.6750       90       "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF1002X              
R17               470K                       TopLayer    R-0402                           4.2750       8.1250       90       "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF4703X              
Q5                ""                         BottomLayer FP-S-03946-MFG                   6.7250       1.5750       270      "SQ2319ADS Series 40 V 4.6 A SMT Automotive P-Channel MOSFET - SOT-23-3"                                                                                           SQ2319ADS-T1_GE3           
Q4                NX3008CBKS,115             TopLayer    NXP-SOT363_N                     6.2750       5.4750       180      "N/P-Channel Trench MOSFET, 30 / -30 V, 350 / -200 mA, -55 to 150 degC, 6-Pin SOT363, Tape and Reel"                                                               NX3008CBKS,115             
L11               2.2uH                      BottomLayer FP-XGL4020-MFG                   5.9250       14.8250      0        "2.2uH Shielded Power Inductor, 8A 23.5mOhm Max, 4x4mm ±20%"                                                                                                       XFL4020-222MEC             
F1                1210L110/16WR              BottomLayer FP-1210L110-16WR-MFG             2.5750       1.4750       0        "PTC RESET FUSE 16V 1.1A 1210"                                                                                                                                     1210L110/16WR              
C81               "100nF 50V"                BottomLayer C-0402                           4.5000       9.1000       0        "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC            
C80               "22uF 25V"                 BottomLayer C-0805_-_V2                      4.6250       7.4000       180      "Chip Cap 0805 25V, X5R"                                                                                                                                           CL21A226MAYNNNE            
C79               "10nF 50V"                 BottomLayer C-0402                           1.9741       14.8450      180      "Chip Cap 0402, 50V X7R"                                                                                                                                           C0402C103M5RAC7867         
C77               "22uF 10V"                 BottomLayer C-0603                           6.2000       10.0250      270      "Chip Cap 0603, 10V X5R"                                                                                                                                           CL10A226MP8NUNE            
C76               "22uF 10V"                 BottomLayer C-0603                           7.5750       10.0250      270      "Chip Cap 0603, 10V X5R"                                                                                                                                           CL10A226MP8NUNE            
