Altium Designer Pick and Place Locations
C:\Users\adria\AppData\Local\TempReleases\Snapshot\2\Fabrication\Pick Place\Pick Place for Oyster-Edge PCB V3.0.txt

========================================================================================================================
File Design Information:

Date:       12/02/24
Time:       12:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator     Comment                 Layer       Footprint                         Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                        "1st Vendor Part No"       
R17            1.2M                    TopLayer    R-0402                            40.2500      26.4000      180      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2GEJ125X               
R15            1.2M                    TopLayer    R-0402                            48.8000      15.7000      180      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2GEJ125X               
Q2             PMF170XP                TopLayer    SC70-LT3_L                        41.8250      28.4500      90       "P-Channel MOSFET, SOT-323 / SC-70"                                                                                                                                PMF170XP,115               
Q1             PMF170XP                TopLayer    SC70-LT3_L                        48.8750      13.7250      270      "P-Channel MOSFET, SOT-323 / SC-70"                                                                                                                                PMF170XP,115               
C57            "47nF 50V"              TopLayer    C-0402                            42.5250      30.4500      180      "Chip Cap 0402, 50V X7R 10%"                                                                                                                                       CL05B473KB5VPNC            
C55            "22uF 10V"              TopLayer    C-0603                            44.1000      28.4250      270      "Chip Cap 0603, 10V X5R"                                                                                                                                           CL10A226MP8NUNE            
ESD1           "ESD LOGO"              TopLayer    Logo_ESD                          -318.8750    -230.4000    0        ""                                                                                                                                                                 ""                         
C22            "47nF 50V"              TopLayer    C-0402                            50.8000      14.5750      270      "Chip Cap 0402, 50V X7R 10%"                                                                                                                                       CL05B473KB5VPNC            
FB3            "Ferrite Bead"          TopLayer    R-0603                            29.1500      4.4567       90       "600 Ohms @ 100 MHz 1 Power Line Ferrite Bead 0603"                                                                                                                BLM18SP601SH1D             
C23            "1nF 50V"               TopLayer    C-0402                            26.5500      39.1750      270      "Chip Cap 0402, 50V X7R"                                                                                                                                           CL05B102JB5NNNC            
U9             BGA824N6E6327XTSA1      TopLayer    FP-PG-TSNP-6-MFG                  24.6250      38.4750      270      "IC AMP GALIL 1.55-1.615GHZ TSNP6"                                                                                                                                 BGA824N6E6327XTSA1         
L6             DNF                     TopLayer    R-0402                            24.1500      35.3000      90       "0201 Inductor, Wire wound, 5% Tol."                                                                                                                               MHQ0603P4N1BT000           
GPS1           9001997                 TopLayer    GPS_PATCH_ANTENNA_T1              22.2000      23.1500      270      "GPS Patch Antenna 25x25x4mm - Multi-band with Polyimide Tape and 2.5mm Pin length."                                                                               9001997                    
C54            "1uF 10V"               TopLayer    C-0402                            25.0750      39.6500      180      "Chip Cap 0402, 6.3V X7R"                                                                                                                                          CL05A105KP5NNNC            
L5             9.5nH                   TopLayer    C-0402                            22.4250      39.6500      180      "9.5 nH Unshielded Multilayer Inductor 500 mA 210mOhm 0402 ±5%"                                                                                                    LQG15WH9N5J02D             
C24            "0.5pF 50V"             TopLayer    C-0402                            22.9000      38.2250      90       "0.5 pF 50V Ceramic Capacitor C0G, NP0 0402 ±0.05pF"                                                                                                               GJM1555C1HR50WB01D         
U3             SAFFB1G56KB0F0A         TopLayer    SAFFB1G56KB0F0A                   27.3837      37.2000      90       "SAW Resonator for GNSS, 1.1 x 0.9mm."                                                                                                                             SAFFB1G56KB0F0A            
C19            0R                      TopLayer    C-0402                            22.6500      35.8500      0        "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2GE0R00X               
R16            10R                     TopLayer    R-0402                            27.4750      39.2500      90       "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF10R0X              
ANT2           "PCB TRACE"             BottomLayer AMW007_TRACE_ANTENNA              4.2750       37.5675      270      "PCB Trace 2.4GHz"                                                                                                                                                 ""                         
C56            DNF                     TopLayer    C-0402                            8.6250       36.3500      90       "Chip Cap 0402, 6.3V X7R"                                                                                                                                          ""                         
R13            0R                      TopLayer    R-0402                            9.1750       34.9500      180      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2GE0R00X               
C6             DNF                     TopLayer    C-0402                            9.7250       36.3500      90       "Chip Cap 0402, 6.3V X7R"                                                                                                                                          ""                         
U5             MAX38640AELT+T          TopLayer    21-0164_L622+1C_MXM               23.1750      5.4250       180      "Tiny 1.8V to 5.5V Input, 330nA IQ, 175mA
nanoPower Buck Converter"                                                                                               MAX38640AELT+T             
R14            20K                     TopLayer    R-0402                            28.0250      5.9250       270      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF2002X              
L12            2.2uH                   TopLayer    FP-DFE201610C-MFG                 26.0750      4.1000       0        Inductor                                                                                                                                                           1285AS-H-2R2M=P2           
C52            "22uF 10V"              TopLayer    C-0603                            30.4500      4.4567       270      "Chip Cap 0603, 10V X5R"                                                                                                                                           CL10A226MP8NUNE            
C51            "22uF 10V"              TopLayer    C-0603                            26.0750      6.3000       180      "Chip Cap 0603, 10V X5R"                                                                                                                                           CL10A226MP8NUNE            
R12            10R                     TopLayer    R-0402                            56.0250      17.5000      270      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF10R0X              
R11            100R                    TopLayer    R-0402                            52.9500      32.0500      270      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF1000X              
L11            7427927110              TopLayer    SMD-0402                          40.2750      30.4500      180      "SMD EMI Suppression Ferrite Bead WE-CBF, Z = 10 Ohm"                                                                                                              7427927110                 
FUD4           Fuducial                TopLayer    Fuducial_1mm                      -318.8750    -230.4000    0        ""                                                                                                                                                                 ""                         
C5             "100nF 50V"             TopLayer    C-0402                            53.0750      14.5766      90       "Chip Cap 0402, 6.3V X7R"                                                                                                                                          CL05B104KB54PNC            
L1             7427927110              TopLayer    SMD-0402                          25.4750      42.2250      270      "SMD EMI Suppression Ferrite Bead WE-CBF, Z = 10 Ohm"                                                                                                              7427927110                 
D1             PESD5V0U1BB,115         TopLayer    ONSC-SOD-523-2-502-01_C_V         59.0250      17.2750      270      "Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-523, Pb-Free, Tape and Reel"                                                     PESD5V0U1BB,115            
D4             PESD5V0U1BB,115         TopLayer    ONSC-SOD-523-2-502-01_C_V         55.8350      14.8000      180      "Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-523, Pb-Free, Tape and Reel"                                                     PESD5V0U1BB,115            
D3             PESD5V0U1BB,115         TopLayer    ONSC-SOD-523-2-502-01_C_V         62.0250      14.8000      0        "Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-523, Pb-Free, Tape and Reel"                                                     PESD5V0U1BB,115            
D2             PESD5V0U1BB,115         TopLayer    ONSC-SOD-523-2-502-01_C_V         62.0250      17.3000      270      "Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-523, Pb-Free, Tape and Reel"                                                     PESD5V0U1BB,115            
C62            "22uF 25V"              TopLayer    FP-GRM21B-0_2-e0_2_0_7-IPC_B      20.3250      4.5500       270      "Chip Cap 0805, 25V X5R 10%"                                                                                                                                       CL21A226MAYNNNE            
C61            "100nF 50V"             TopLayer    C-0402                            28.0188      4.0067       270      "Chip Cap 0402, 50V X7R"                                                                                                                                           CL05B104KB54PNC            
C58            "100nF 50V"             TopLayer    C-0402                            23.1750      3.5250       0        "Chip Cap 0402, 50V X7R"                                                                                                                                           CL05B104KB54PNC            
C50            "10pF 50V"              TopLayer    C-0402                            16.5692      4.0067       270      "Chip Cap 0402, 50V X7R"                                                                                                                                           CL05C100JB5NNNC            
U8             BGM220PC22WGA2          TopLayer    BGM220P                           43.2750      42.7450      0        "BGM220P Wireless Gecko Bluetooth module, +8dBm 352K Flash, 15x12.9mm"                                                                                             BGM220PC22WGA2             
L8             15uH                    TopLayer    FP-LQH2HPN_JR-MFG                 16.5750      48.1250      0        "Wire Wound Ferrite Inductor for Power Lines For Automotive 15µH ±20% 0.66O 710mA 1008"                                                                            LQH2HPZ150MJRL             
TCXO1          TCXO                    TopLayer    FP-NT2016SA-MFG                   27.0500      43.7750      90       "32Mhz TCXO, 1.8V, Clipped Sine Output, 2.0x1.6mm"                                                                                                                 NT2016SA-32.000000MHz-NBG2 
R1             10K                     TopLayer    R-0402                            43.0000      21.1250      0        "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF1002X              
C34            "33pF 50V"              TopLayer    C-0402                            40.1500      32.6000      0        "Chip Cap 0402, 50V C0G"                                                                                                                                           CL05C330JB5NNNC            
C10            "10pF 50V"              TopLayer    C-0402                            40.1500      33.6000      0        "Chip Cap 0402, 50V C0G"                                                                                                                                           CL05C100JB5NNNC            
C9             "22uF 10V"              TopLayer    C-0603                            39.8500      28.4250      270      "Chip Cap 0603, 10V X5R"                                                                                                                                           CL10A226MP8NUNE            
C8             "100nF 50V"             TopLayer    C-0402                            40.1500      31.5750      180      "Chip Cap 0402, 6.3V X7R"                                                                                                                                          CL05B104KB54PNC            
