Altium Designer Pick and Place Locations
C:\Users\jarod\AppData\Local\TempReleases\Snapshot\1\Assembly\Assembly\Pick Place\Pick Place for Oyster3-4G BLE - PCB V2.0.txt

========================================================================================================================
File Design Information:

Date:       12/03/24
Time:       07:48
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                    Layer       Footprint                         Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                        "1st Vendor Part No"       
R16        100R                       TopLayer    R-0402                            32.5907      46.7094      90       "100R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1000X              
R13        100R                       TopLayer    R-0402                            33.5658      46.7094      90       "100R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1000X              
R12        100R                       TopLayer    R-0402                            57.1250      17.5000      270      "100R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1000X              
R11        100R                       TopLayer    R-0402                            58.2000      17.5000      270      "100R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1000X              
GPS1       "GPS Patch"                TopLayer    GPS_PATCH_ANTENNA_T1              22.2000      23.1500      270      "GPS Patch Antenna 25x25x4mm - Multi-band with Polyimide Tape and 2.5mm Pin length."                                                                               9001997                    
U8         BGA524N6E6327XTSA1         TopLayer    FP-PG-TSNP-6-MFG                  14.0502      42.2700      180      "GNSS LNA, 19.6 dB, 1.5-3.3V, 1550 - 1615 MHz"                                                                                                                     BGA524N6E6327XTSA1         
L4         8.2nH                      TopLayer    R-0201                            12.3537      42.3168      0        "Unshielded Thick Film Inductor 250 mA 700mOhm Max 0201 +-5%"                                                                                                      LQP03TN8N2J02D             
R6         10K                        TopLayer    R-0402                            13.7556      4.1074       90       "10k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             ERJ-2RKF1002X              
R5         DNF                        TopLayer    R-0402                            12.0125      6.8320       180      "Chip Resistor 0402 1%"                                                                                                                                            ""                         
Q3         SQ2319ADS-T1_GE3           TopLayer    FP-S-03946-MFG                    11.5778      4.6451       180      "P-Channel 40 V 4.6A (Tc) 2.5W (Tc) Surface Mount SOT-23-3 (TO-236)"                                                                                               SQ2319ADS-T1_GE3           
D5         MM5Z18VT1G                 TopLayer    ONSC-SOD-523-2-502-01_V           13.7556      6.2000       270      "Zener Diode, 18V V(Z), 6.41%, 0.5W, Silicon, Unidirectional"                                                                                                      MM5Z18VT1G                 
U14        TPS22915CYFPR              TopLayer    FP-YFP0004-IPC_B                  27.4750      43.2868      0        "TPS22915CYFPR Load Switch With Output Discharge, 1.05-5.5V, 2A, 4DSBGA"                                                                                           TPS22915CYFPR              
R42        100R                       TopLayer    R-0402                            27.5171      41.5810      270      "100R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                            ERJ-2RKF1000X              
RF_GNSS_S1 "1.2pF 50V"                TopLayer    Capacitor_0201                    11.4450      36.8312      270      "1.2pF 50V Chip Cap, 0201, C0G/NP0 ±0.1pF"                                                                                                                         GJM0335C1H1R2BB01D         
