Altium Designer Pick and Place Locations
C:\Users\jarod\AppData\Local\TempReleases\Snapshot\3\Assembly\Assembly\Pick Place\Pick Place for Oyster3-Global - PCB V1.1.txt

========================================================================================================================
File Design Information:

Date:       09/01/24
Time:       08:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                  Layer       Footprint                                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                        "1st Vendor Part No" 
U7         LENA-R8001M10            TopLayer    LENA-R8001                                      141.2160     185.6240     180      "Multi-mode LTE Cat 1bis + 2G module, With M10 GNSS"                                                                                                               LENA-R8001M10        
R24        0R                       TopLayer    R-0402                                          92.0000      169.6610     0        "0R Chip Resistor 0402, 5% 50V, 1A"                                                                                                                                ERJ-2GE0R00X         
F1         1210L110/16WR            TopLayer    FP-1210L110-16WR-MFG                            94.0647      170.7910     270      "PTC Resettable Fuse, Ih=1.1A, Itr=2.2A, 16V, 0.06ohm, Surface Mount"                                                                                              1210L110/16WR        
RF_R3      0R                       BottomLayer R-0402                                          169.9214     169.8134     0        "0R Chip Resistor 0402, 5% 50V, 1A"                                                                                                                                ERJ-2GE0R00X         
RF_R4      0R                       BottomLayer R-0402                                          171.2214     171.3134     0        "0R Chip Resistor 0402, 5% 50V, 1A"                                                                                                                                ERJ-2GE0R00X         
RF_R1      DNF                      TopLayer    R-0402                                          162.5714     169.6884     0        "DNF, Chip Resistor 0402"                                                                                                                                          ""                   
RF_R2      0R                       TopLayer    R-0402                                          161.4214     171.0634     180      "0R Chip Resistor 0402, 5% 50V, 1A"                                                                                                                                ERJ-2GE0R00X         
C58        "22uF 10V"               TopLayer    C-0603                                          126.2910     175.9546     180      "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                 CL10A226MP8NUNE      
C49        "10nF 50V"               TopLayer    C-0402                                          134.8932     204.5145     180      "10nF 50V Chip Cap 0402, X7R ±20%"                                                                                                                                 C0402C103M5RAC7867   
C54        "100nF 50V"              TopLayer    C-0402                                          123.7790     175.5140     0        "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                CL05B104KB54PNC      
