Altium Designer Pick and Place Locations
C:\Users\adria\AppData\Local\TempReleases\Snapshot\1\Fabrication\Pick Place\Pick Place for Remora3-4G V1.2.txt

========================================================================================================================
File Design Information:

Date:       10/01/24
Time:       17:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                    Layer       Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                        "1st Vendor Part No"       
Y2         NT2016SA-26.000000MHz-NBG2 TopLayer    FP-NT2016SA-MFG           47.1500      45.5750      180      "26 MHz TCXO Clipped Sine Wave Oscillator 1.8V 4-SMD, No Lead, -30 to+85C, 0.5ppm"                                                                                 NT2016SA-26.000000MHZ-NBG2 
U15        TPS22915CYFPR              TopLayer    FP-YFP0004-IPC_B          47.2750      42.0250      180      "IC PWR SWITCH N-CHAN 1:1 4DSBGA"                                                                                                                                  TPS22915CYFPR              
Y1         "NT1612AB-26000MHz (DNF)"  TopLayer    FP-ASCO-MFG               44.6750      45.5750      270      "Crystal Oscillator 32.768MHz ±30ppm CMOS 2.5V SMD 1.6x1.2mm"                                                                                                      NT1612AB-26000MHz          
SIM1       "SIM - Nano"               TopLayer    GCT-SIM8050-6_V           60.4000      7.6000       0        "Nano SIM Card Connect Push-Pull Type,6-Pin"                                                                                                                       0201AAAG06A                
R33        150R                       TopLayer    R-0402                    11.0250      37.1250      90       "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF1500X              
R42        150R                       TopLayer    R-0402                    49.0250      31.1500      180      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF1500X              
C77        "100nF 10V"                TopLayer    C-0201                    48.9250      14.4000      180      "Chip Cap 0201, 6.3V X7R"                                                                                                                                          CL03A104KP3NNNC            
C76        "22uF 25V"                 TopLayer    C-0805_-_V2               52.9250      7.9500       270      "Chip Cap 0805 25V, X5R"                                                                                                                                           CL21A226MAYNNNE            
C75        "33pF 50V"                 TopLayer    C-0201                    51.7250      7.9500       90       "Chip Cap 0201, 50V C0G"                                                                                                                                           GRM0335C1H330JA01D         
R41        10K                        TopLayer    R-0201                    46.6250      40.9000      180      "Chip Resistor 0201 1%"                                                                                                                                            ERJ-1GNF1002C              
R38        150R                       TopLayer    R-0402                    13.0000      41.1250      0        "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF1500X              
R37        150R                       TopLayer    R-0402                    13.0250      38.9000      0        "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF1500X              
R36        150R                       TopLayer    R-0402                    13.0250      39.9000      0        "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF1500X              
C74        "22uF 10V"                 TopLayer    C-0603                    15.7250      30.3000      270      "Chip Cap 0603, 10V X5R"                                                                                                                                           CL10A226MP8NUNE            
R35        "0R (DNF)"                 TopLayer    R-0201                    46.3250      42.0500      90       "Chip Resistor 0201 1%"                                                                                                                                            ""                         
C30        "220pF 16V"                TopLayer    C-0201                    52.9500      39.9750      270      "Chip Cap 0201, 50V X7R"                                                                                                                                           CL03B221KO3NNNC            
C36        "220pF 16V"                TopLayer    C-0201                    57.3750      39.9750      270      "Chip Cap 0201, 50V X7R"                                                                                                                                           CL03B221KO3NNNC            
U5         MAX77324EWTAD+T            TopLayer    FP-W60H1-1-MFG            51.5041      39.9012      0        "Buck Converter (adjustable), 2.5-4.8V, 1.5A with 40µA Iq"                                                                                                         MAX77324EWTAD+T            
R13        60.4K                      TopLayer    R-0201                    57.0750      38.7250      0        "Chip Resistor 0201 1%"                                                                                                                                            ERJ-1GNF6042C              
R12        30.1K                      TopLayer    R-0201                    51.2125      38.7250      180      "Chip Resistor 0201 1%"                                                                                                                                            ERJ-1GNF3012C              
R11        10K                        TopLayer    R-0201                    52.6500      38.7250      0        "Chip Resistor 0201 1%"                                                                                                                                            ERJ-1GNF1002C              
L3         470nH                      TopLayer    FP-DFE18SAN_G0-IPC_C      56.2500      41.4000      0        "470nH Shielded Power Inductor, 2.6A 54mOhm Max, 0603 ±20%"                                                                                                        DFE18SANR47MG0L            
L2         470nH                      TopLayer    FP-DFE18SAN_G0-IPC_C      51.8250      41.4250      0        "470nH Shielded Power Inductor, 2.6A 54mOhm Max, 0603 ±20%"                                                                                                        DFE18SANR47MG0L            
FB3        "Ferrite Bead"             TopLayer    R-0402                    48.2750      41.5500      90       "Ferrite Bead, 120R 0402 1.3A"                                                                                                                                     BLM15PD121SN1D             
C55        "100nF 10V"                TopLayer    C-0201                    43.5816      39.0353      90       "Chip Cap 0201, 6.3V X7R"                                                                                                                                          CL03A104KP3NNNC            
C42        "22uF 10V"                 TopLayer    C-0603                    54.9250      42.9750      180      "Chip Cap 0603, 10V X5R"                                                                                                                                           CL10A226MP8NUNE            
C40        "22uF 10V"                 TopLayer    C-0603                    49.7500      40.7500      90       "Chip Cap 0603, 10V X5R"                                                                                                                                           CL10A226MP8NUNE            
C39        "100nF 10V"                TopLayer    C-0201                    54.1942      38.7250      0        "Chip Cap 0201, 6.3V X7R"                                                                                                                                          CL03A104KP3NNNC            
C37        "22uF 10V"                 TopLayer    C-0603                    54.1500      40.7500      90       "Chip Cap 0603, 10V X5R"                                                                                                                                           CL10A226MP8NUNE            
C35        "100nF 10V"                TopLayer    C-0201                    52.6500      42.7750      180      "Chip Cap 0201, 6.3V X7R"                                                                                                                                          CL03A104KP3NNNC            
C32        "100nF 10V"                TopLayer    C-0201                    42.7750      39.0353      90       "Chip Cap 0201, 6.3V X7R"                                                                                                                                          CL03A104KP3NNNC            
C31        "4.7uF 6.3V"               TopLayer    C-0402                    40.7500      38.3000      90       "Chip Cap 0402, 6.3V X5R"                                                                                                                                          CL05A475KQ5NRNC            
C29        "100nF 10V"                TopLayer    C-0201                    44.4000      39.0353      90       "Chip Cap 0201, 6.3V X7R"                                                                                                                                          CL03A104KP3NNNC            
C27        "1uF 6.3V"                 TopLayer    C-0201                    40.8000      40.1000      90       "Chip Cap 0201, 6.3V X7R"                                                                                                                                          CL03A105MQ3CSNC            
C26        "100nF 10V"                TopLayer    C-0201                    48.0750      43.2750      0        "Chip Cap 0201, 6.3V X7R"                                                                                                                                          CL03A104KP3NNNC            
