Altium Designer Pick and Place Locations
C:\Users\jarod\AppData\Local\TempReleases\Snapshot\1\Assembly\Assembly\Pick Place\Pick Place for Remora3 Dual-Band - PCB V0.2A.txt

========================================================================================================================
File Design Information:

Date:       07/06/24
Time:       10:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator   Comment                    Layer       Footprint                                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                        "1st Vendor Part No"       
FB8          "1K 0.3A"                  TopLayer    FB-0402                                         144.4050     238.3500     0        "1 kOhms @ 100 MHz Ferrite Bead 0402 300mA 650mOhm"                                                                                                                BLM15AG102SN1D             
C80          "10nF 50V"                 TopLayer    C-0402                                          145.4500     236.2800     0        "10nF 50V Chip Cap 0402, X7R ±20%"                                                                                                                                 C0402C103M5RAC7867         
RF_TERM      50R                        TopLayer    R-0402                                          152.3212     238.1611     90       "DNF, Chip Resistor 0402"                                                                                                                                          ""                         
RF_L5        7.5nH                      TopLayer    L-0402                                          150.1530     236.9414     270      "7.5nH Unshielded Wirewound Inductor, 570mA 130mOhm Max, 0402 ±2%"                                                                                                 LQW15AN7N5G00D             
RF_GNSS      4.1nH                      TopLayer    L-0402                                          149.8290     233.1885     90       "4.1nH Unshielded Wirewound Inductor 750mA 70mOhm Max 0402 ±0.1nH"                                                                                                 LQW15AN4N1B00D             
RF_GNSS_ESD  DNF                        TopLayer    R-0402                                          149.8290     232.2075     90       "DNF, Chip Resistor 0402"                                                                                                                                          ""                         
ESD_L1       "ESD LOGO"                 BottomLayer ESD_LOGO                                        0.0000       0.0000       90       "ESD Slikscreen PCB Logo"                                                                                                                                          ""                         
R32          "47mR 1/3W"                TopLayer    R-0603                                          133.5148     217.9210     90       "22mR Chip Resistor 0603, 1% 1/3W, Curent Sense"                                                                                                                   ERJ-3BWFR022V              
F1           1210L110/16WR              TopLayer    FP-1210L110-16WR-MFG                            140.2268     220.2232     0        "PTC Resettable Fuse, Ih=1.1A, Itr=2.2A, 16V, 0.06ohm, Surface Mount"                                                                                              1210L110/16WR              
U22          RCP1500Q03                 TopLayer    RCP1500Q03                                      157.1469     235.1850     270      "GNSS Multi-Band  90deg Hybrid Coupler"                                                                                                                            RCP1500Q03                 
U21          B39162B9973P810            TopLayer    B39162B9973P810                                 149.9910     235.2938     90       "SAW DIPLEXER FOR GNSS L1+L2/L5"                                                                                                                                   B39162B9973P810            
RF_L5_S2     0R                         TopLayer    R-0402                                          162.5171     228.7975     90       "0R Chip Resistor 0402, 1A"                                                                                                                                        ERJ-2GE0R00X               
RF_L5_S2_PRE 0R                         TopLayer    R-0402                                          150.0530     243.0198     0        "0R Chip Resistor 0402, 1A"                                                                                                                                        ERJ-2GE0R00X               
RF_L5_S1     0R                         TopLayer    R-0402                                          164.2657     230.3012     180      "0R Chip Resistor 0402, 1A"                                                                                                                                        ERJ-2GE0R00X               
RF_L5_S1_PRE 0R                         TopLayer    R-0402                                          150.0530     246.2000     0        "0R Chip Resistor 0402, 1A"                                                                                                                                        ERJ-2GE0R00X               
RF_L5_P1     DNF                        TopLayer    R-0402                                          164.8157     228.7975     270      "DNF, Chip Resistor 0402"                                                                                                                                          ""                         
