Altium Designer Pick and Place Locations
C:\Users\jarod\AppData\Local\TempReleases\Snapshot\1\Assembly\Assembly\Pick Place\Pick Place for dma_G70_4G_BLE_V1.0.txt

========================================================================================================================
File Design Information:

Date:       15/07/24
Time:       06:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator    Comment              Layer       Footprint                                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                         
R43           "1.2M 1/10W"         TopLayer    R-0402                                          1159.842      1907.103      180      "1.2M Chip Resistor 0402, 5% 1/10W 50V"                                                                                                                             
R42           "1.2M 1/10W"         TopLayer    R-0402                                          878.440       1918.430      0        "1.2M Chip Resistor 0402, 5% 1/10W 50V"                                                                                                                             
R41           "1.2M 1/10W"         TopLayer    R-0402                                          878.440       2002.953      180      "1.2M Chip Resistor 0402, 5% 1/10W 50V"                                                                                                                             
C44           "22uF 10V"           TopLayer    C-0603                                          144.794       1992.396      0        "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                  
U10           TPS22915CYFPR        TopLayer    FP-YFP0004-IPC_B                                165.354       1911.024      180      "TPS22915CYFPR Load Switch With Output Discharge, 1.05-5.5V, 2A, 4DSBGA"                                                                                            
FB3           "120R 1.3A"          TopLayer    FB-0402                                         244.095       1963.065      90       "Ferrite Bead, 120R 0402 1.3A"                                                                                                                                      
R3            "100k 1/10W"         TopLayer    R-0402                                          1160.025      1987.545      0        "100k Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             
U9            TPS22915CYFPR        TopLayer    FP-YFP0004-IPC_B                                92.825        505.906       90       "TPS22915CYFPR Load Switch With Output Discharge, 1.05-5.5V, 2A, 4DSBGA"                                                                                            
R23           "150R 1/10W"         TopLayer    R-0402                                          166.929       2603.543      180      "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             
R20           "150R 1/10W"         TopLayer    R-0402                                          59.853        2603.543      180      "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             
R4            "150R 1/10W"         TopLayer    R-0402                                          110.236       2603.543      180      "150R Chip Resistor 0402, 1% 1/10W 50V"                                                                                                                             
C40           "22uF 10V"           TopLayer    C-0603                                          96.850        589.764       0        "22uF 10V Chip Cap 0603, X5R ±20%"                                                                                                                                  
C10           "100nF 50V"          TopLayer    C-0402                                          1159.449      2096.201      0        "100nF 50V Chip Cap 0402, X7R ±10%"                                                                                                                                 
L3            18nH                 TopLayer    R-0402                                          741.641       2785.626      270      "18nH Unshielded Multilayer Inductor 400mA 360mOhm Max 0402 ±2%"                                                                                                    
