Altium Designer Pick and Place Locations
C:\Users\jarod\AppData\Local\TempReleases\Snapshot\1\Fabrication\Pick Place\Pick Place for dma_oyster3_V5.1.txt

========================================================================================================================
File Design Information:

Date:       25/11/24
Time:       11:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                    Layer       Footprint                         Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                        "1st Vendor Part No"       
R24        0R                         TopLayer    R-0603                            8.7500       5.3000       90       "0R Chip Resistor 0603, 1A"                                                                                                                                        ERJ-3GEY0R00V              
FUD4       Fuducial                   TopLayer    Fuducial_1mm                      -318.8750    -230.4000    0        ""                                                                                                                                                                 ""                         
F1         DNF                        TopLayer    FP-1210L110-16WR-MFG              8.7500       5.3000       0        "PTC Resettable Fuse, Ih=1.1A, Itr=2.2A, 16V, 0.06ohm, Surface Mount"                                                                                              1210L110/16WR              
U10        DRV5032FBDBZR              TopLayer    FP-DBZ0003A-MFG                   3.8536       44.6463      270      "Ultra-Low-Power Digital-Switch Hall Effect Sensor, SOT-23-3"                                                                                                      DRV5032FBDBZR              
R23        10R                        TopLayer    R-0402                            45.5750      22.4750      180      "Chip Resistor 0402 1%"                                                                                                                                            ERJ-2RKF10R0X              
C58        "100nF 50V"                TopLayer    C-0402                            6.2500       44.6500      270      "Chip Cap 0402, 50V X7R"                                                                                                                                           CL05B104KB54PNC            
M1         nRF9160-SICA-R             TopLayer    nRF9160_SIP                       55.4750      25.9750      0        "IC RF TxRx + MCU Cellular GPS 700MHz ~ 2.2GHz 161-TFLGA Module"                                                                                                   nRF9160-SICA-B1A-R         
RF_GNSS_S1 "0R 0.5A"                  TopLayer    R-0201                            21.2697      38.2735      90       "0R Chip Resistor 0201, 0.5A"                                                                                                                                      ERJ-1GN0R00C               
RF_GNSS_S2 "12pF 25V"                 TopLayer    R-0201                            21.2697      40.4735      90       "12 pF 50V Ceramic Capacitor C0G, NP0 0201 ±1%"                                                                                                                    GJM0335C1E120FB01D         
RF_GNSS_P1 "1.5pF 25V"                TopLayer    R-0201                            20.9895      39.3735      180      "1.5 pF 25V Ceramic Capacitor C0G, NP0 0201 ±0.05pF"                                                                                                               GJM0335C1E1R5WB01D         
RF_GNSS_P2 DNF                        TopLayer    C-0201                            22.2447      40.4985      90       "DNF, Chip Cap, 0201"                                                                                                                                              ""                         
U7         SAFFB1G56KB0F0A            TopLayer    SAFFB1G56KB0F0A                   25.7250      44.3410      0        "SAW Resonator for GNSS, 1.1 x 0.9mm."                                                                                                                             SAFFB1G56KB0F0A            
U6         SAFFB1G56KB0F0A            TopLayer    SAFFB1G56KB0F0A                   22.1785      42.2581      90       "SAW Resonator for GNSS, 1.1 x 0.9mm."                                                                                                                             SAFFB1G56KB0F0A            
U4         CXD5612GF-T2               TopLayer    BGA54C40P8X7_366X315X50           31.2381      43.5581      0        "Multi-constellation GNSS receiver with high sensitivity and ultra-low power fast acquisition engine. 54-Pin XFBGA, 3.66 x 3.14mm"                                 CXD5612GF-T2               
L5         6.8nH                      TopLayer    R-0201                            28.2448      44.7331      0        "0201 Inductor, Wire wound, 5% Tol."                                                                                                                               LQP03TN6N8J02D             
L4         8.2nH                      TopLayer    R-0201                            22.1948      43.7081      0        "Unshielded Thick Film Inductor 250 mA 700mOhm Max 0201 +-5%"                                                                                                      LQP03TN8N2J02D             
FB1        "Ferrite Bead"             TopLayer    R-0402                            24.8448      39.8331      270      "Ferrite Bead, 120R 0402 1.3A"                                                                                                                                     BLM15PD121SN1D             
C47        "3.3pF 50V"                TopLayer    C-0201                            27.1198      45.0331      270      "Chip Cap 0201, 50V C0G"                                                                                                                                           GRM0335C1H3R3BA01D         
