Altium Designer Pick and Place Locations
C:\Users\JAROD_SWART_DME\AppData\Local\Temp\Releases\Snapshot\1\Assembly\Assembly\Pick Place\Pick Place for dma_prov_tool_V0.2.txt

========================================================================================================================
File Design Information:

Date:       17/08/23
Time:       07:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment               Layer       Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                        
R23        1.5k                  TopLayer    R-0402                    19.2000      25.4000      90       "Chip Resistor 0402 1%"                                                                                            
TP8        "TEST POINT"          BottomLayer PAD3_-_1mm                14.8500      21.9500      90       "Solder Pad Point"                                                                                                 
FUD3       Fuducial              TopLayer    Fuducial                  -54.9000     -51.9000     90       ""                                                                                                                 
FUD2       Fuducial              TopLayer    Fuducial                  -54.9000     -51.9000     90       ""                                                                                                                 
FUD1       Fuducial              TopLayer    Fuducial                  -54.9000     -51.9000     90       ""                                                                                                                 
J4         "Header 5X2"          TopLayer    Header_1.27mm_10-Way      77.8150      34.3700      0        "Header, 2x5, 1.27mm (50mil) pitch (ARM JTAG)"                                                                     
TP7        "TEST POINT"          BottomLayer PAD3_-_1mm                24.3500      13.9750      90       "Solder Pad Point"                                                                                                 
TP6        "TEST POINT"          BottomLayer PAD3_-_1mm                75.0000      12.1500      90       "Solder Pad Point"                                                                                                 
TP5        "TEST POINT"          BottomLayer PAD3_-_1mm                28.8250      9.9750       90       "Solder Pad Point"                                                                                                 
TP4        "TEST POINT"          BottomLayer PAD3_-_1mm                22.0000      38.5500      90       "Solder Pad Point"                                                                                                 
TP3        "TEST POINT"          BottomLayer PAD3_-_1mm                75.0000      10.1500      90       "Solder Pad Point"                                                                                                 
TP2        "TEST POINT"          BottomLayer PAD3_-_1mm                15.7000      37.9250      90       "Solder Pad Point"                                                                                                 
TP1        "TEST POINT"          BottomLayer PAD3_-_1mm                22.0500      35.8500      90       "Solder Pad Point"                                                                                                 
R22        10R                   TopLayer    R-1206                    5.9000       13.9250      90       "Chip Resistor 1206 1%"                                                                                            
U2         TLV74033PDBVR         TopLayer    SOT235                    21.5750      13.1000      360      "Low Quiescent Current LDO, 5-Pin SOT-23, 300mA"                                                                   
Y1         "8MHz Crystal"        TopLayer    Crystal_SMT_Low_profile_2 36.4500      24.0250      90       "Crystal SMT, 5.0 x 3.2mm 4-Pin 8MHz"                                                                              
U7         74LVCH1T45GW          TopLayer    TSSOP6                    69.7500      16.5000      360      "1x Dual supply translating transceiver; 3-state, TSSOP-6"                                                         
U6         74LVCH2T45DC          TopLayer    VSSOP8                    69.7000      12.9500      0        "2x Dual supply translating transceiver; 3-state, VSSOP-8"                                                         
