Altium Designer Pick and Place Locations
C:\Workfiles\Projects Altium (cartrack)\CTG addons\TachoDongle\TachoDongle\HW ver 2.0.0\\Release\Pick Place\Pick Place for tachodongle.txt

========================================================================================================================
File Design Information:

Date:       07/02/22
Time:       08:28
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                                          Layer       Footprint                                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                
U15        "NC7SZ86P5X <Fairchild>"                         TopLayer    SC-88-5_/_SOT-353                             716.370       120.409       270      "logic single XOR gate"                                                                    
TP6        Gnd                                              BottomLayer TP_ARROW_S                                    1317.000      -858.000      90       "Testpad (not a part on BOM)"                                                              
TP5        Gnd                                              BottomLayer TP_ARROW_S                                    -358.000      -602.000      90       "Testpad (not a part on BOM)"                                                              
C38        "100nF X7R 16V ±10% 0402"                        BottomLayer 0402_CAP                                      671.158       720.685       90       "Capacitor, ceramic"                                                                       
RP4        "respack dual 0404 [DNF]"                        BottomLayer EXB-24V[DNF]                                  538.220       555.781       180      "do not fit - nothing to order"                                                            
RP3        "respack dual 0404 [DNF]"                        BottomLayer EXB-24V[DNF]                                  537.779       629.299       0        "do not fit - nothing to order"                                                            
Z6         "BZB84-B5V6, 215 <NXP>"                          TopLayer    SOT-23-123                                    618.598       209.693       180      "Zener Dual [5.5V-5.7V] 300mW cont 40W surge"                                              
Z5         "SMF51A RQG <Taiwan Semi>"                       TopLayer    SMF/DO-219AB                                  649.000       -166.000      90       "TVS 51V, unidirectional [51 to 56.7V, 82.4V peak] 1W cont, 200W for 10/1000us"            
U14        "NTB0102GT,115 <NXP>"                            BottomLayer XSON8_SOT833-1_1x1.95mm                       538.189       797.472       270      "level shifter, dual supply 2 bit 3state , auto direction sensing"                         
U13        "ISL31472EIBZ-T7A <Intersil>"                    TopLayer    SO-8                                          620.000       453.000       180      "RS485 Transceiver, Fault protected"                                                       
U12        "NTB0102GT,115 <NXP>"                            BottomLayer XSON8_SOT833-1_1x1.95mm                       537.811       704.528       90       "level shifter, dual supply 2 bit 3state , auto direction sensing"                         
U11        "NCP114ASN330T1G <ON semi>"                      TopLayer    SOT-23-5                                      822.968       247.772       180      "regulator, LDO, 3.3V, 300mA"                                                              
U10        "E-L9637D013TR <STmicro>"                        TopLayer    SO-8_VSON8_DUAL_FOOTPRINT                     797.000       -66.268       180      "ISO9141 K-Line Transceiver"                                                               
RP2        "EXB24V224JX <Panasonic>"                        BottomLayer EXB-24V                                       409.621       755.779       90       "respack dual 0404, 220k 5% 0.063W each, 50V max , convex"                                 
RP1        "EXB24V223JX <Panasonic>"                        BottomLayer EXB-24V                                       718.701       558.779       90       "respack dual 0404, 22k 5% 0.063W each, 50V max , convex"                                  
R42        "15k ±1% 0.063W 0402"                            BottomLayer 0402_RES                                      352.283       230.000       180      "resistor, thickfilm"                                                                      
R41        "15k ±1% 0.063W 0402"                            BottomLayer 0402_RES                                      352.283       319.870       180      "resistor, thickfilm"                                                                      
R40        "33k ±1% 0.1W 0402"                              BottomLayer 0402_RES                                      429.748       229.426       0        "resistor, thickfilm"                                                                      
R39        "33k ±1% 0.1W 0402"                              BottomLayer 0402_RES                                      429.087       318.870       0        "resistor, thickfilm"                                                                      
R38        "4k7 ±1% 0.063W 0402"                            BottomLayer 0402_RES                                      431.717       654.000       0        "resistor, thickfilm"                                                                      
R37        "4k7 ±1% 0.063W 0402"                            BottomLayer 0402_RES                                      650.472       447.473       225      "resistor, thickfilm"                                                                      
R36        "47R ±1% 0.1W"                                   BottomLayer 0603_RES                                      434.488       -786.000      180      "resistor, thickfilm"                                                                      
R35        "47R ±1% 0.1W"                                   BottomLayer 0603_RES                                      434.488       -656.000      180      "resistor, thickfilm"                                                                      
R34        "4k7 ±1% 0.063W 0402"                            BottomLayer 0402_RES                                      573.472       407.000       180      "resistor, thickfilm"                                                                      
R33        "open 0402_res"                                  BottomLayer 0402_RES                                      873.000       -36.283       90       "do not fit - nothing to order"                                                            
