PartType	RefDes	PartDecal	Pins	Layer	Orient.	X	Y	SMD	Glued
C-0805-X7R-100NF	+3V3D	TEST-POINT-ICT-TH	1	Top	180	4140,945	797,835	No	No
C-0805-X7R-470NF	BUZ1	BUZZER	4	Bottom	0	4051,181	2578,74	No	No
C-0603-X7R-100NF	C1	RND10X2E	2	Bottom	90	1338,583	1919,291	No	No
C-0603-X7R-22NF	C2	CAP-0603	2	Bottom	90	1222	1209,06	Yes	No
C-0603-X7R-100NF	C3	CAP-0603	2	Bottom	0	2965,35	2995,63	Yes	No
C-0603-X7R-100NF	C4	CAP-0603	2	Bottom	0	2640,16	2995,63	Yes	No
C-0603-X7R-10NF	C5	CAP-0603	2	Bottom	90	3625,37	2374,844	Yes	No
C-0805-X7R-4U7F	C6	CAP-0603	2	Bottom	270	3415,354	2703,15	Yes	No
C-0603-X7R-100NF	C7	0805-CAP	2	Bottom	0	1551,562	1527,323	Yes	No
C-0805-X7R-470NF	C8	CAP-0603	2	Bottom	180	1770,324	1461,016	Yes	No
C-0603-X7R-100NF	C9	CAP-0603	2	Bottom	0	1573,727	1614,396	Yes	No
C-0603-X7R-10NF	C10	0805-CAP	2	Bottom	90	2344,425	1299,213	Yes	No
C-0603-X7R-100NF	C11	RND8XPPM3.5	2	Bottom	90	2589,173	1224,409	No	Yes
C-EL-RAD-5MM-25V-470UF	C12	0805-CAP	2	Bottom	270	2344,42	1492,126	Yes	No
C-POLY-X2-300V-560NF	C13	RND8XPPM3.5	2	Bottom	90	2588,95	1555,118	No	Yes
C-TH-Y1-680PF	C14	CAP-0603	2	Bottom	0	2058,914	1496,136	Yes	No
C-EL-RAD-5MM-25V-470UF	C15	CAP-0603	2	Bottom	270	1947,379	1540,742	Yes	No
C-EL-RAD-2.5MM-25V-100UF	C16	CAP-0603	2	Bottom	90	2797,638	1274,803	Yes	No
C-EL-RAD-5MM-16V-1000UF	C17	RND8XPPM3.5	2	Bottom	90	2293,307	962,598	No	No
C-EL-RAD-2.5MM-25V-100UF	C18	0805-CAP	2	Bottom	90	1987,795	317,717	Yes	No
C-EL-RAD-5MM-35V-470UF	C19	0805-CAP	2	Bottom	90	2085,919	314,816	Yes	No
C-0805-X7R-4U7F	C20	CAP-CC15-12	2	Bottom	270	1358,268	2692,913	No	No
C-0603-X7R-1NF	C21	0805-CAP	2	Bottom	270	1777,69	229,934	Yes	No
C-0805-X7R-470NF	C22	CAP-0603	2	Bottom	180	2254,724	1720,866	Yes	No
C-0603-X7R-100NF	C23	CAP-0603	2	Bottom	180	3846,8	1242,3	Yes	No
DIO-SMD-SM4007	C27	CAP-0603	2	Bottom	270	2733,071	472,441	Yes	No
DIO-SMD-SM4007	C28	CAP-0603	2	Bottom	0	2092,913	1785,039	Yes	No
D-SMD-DUAL-KA-BAV99	C29	CAP-0603	2	Bottom	90	2959,6	877,9	Yes	No
D-SMD-PMLL4148	C30	CAP-0603	2	Bottom	180	3846,85	1148,031	Yes	No
D-SMD-PMLL4148	C31	CAP-TANT-7343-43-CASE-X	2	Bottom	90	1383,363	1089,204	Yes	No
DIO-SMD-SM4007	C32	RND10X2E	2	Bottom	90	1122,047	1583,399	No	No
BAT54S	C33	CAP-0603	2	Bottom	90	3030	1274,803	Yes	No
D-SMD-DUAL-KA-BAV99	C35	CAP-0603	2	Bottom	270	2381,89	2003,15	Yes	No
D-SMD-DUAL-KK-1SP181	C36	CAP-0603	2	Bottom	270	525	1474,8	Yes	No
D-SMD-PMLL4148	C37	CAP-0603	2	Bottom	90	3817,717	1365,748	Yes	No
D-SMD-DUAL-KA-BAV99	C38	CAP-0603	2	Bottom	270	3022	1128,6	Yes	No
D-SMD-DUAL-KA-BAV99	C39	CAP-0603	2	Bottom	180	3720,2	1554,8	Yes	No
D-SMD-DUAL-KA-BAV99	C40	0805-CAP	2	Bottom	90	2645	437,008	Yes	No
DZ_SMD-SOD-123_400MW_5V1	C41	CAP-0603	2	Bottom	90	3473,7	1590,8	Yes	No
DZ_SMD-SOD-123_400MW_5V1	C42	CAP-0603	2	Bottom	0	2842	1635	Yes	No
DZ-1W3-18V	C43	0805-CAP	2	Bottom	0	2861	1723	Yes	No
DZ_SMD-SOD-123_400MW_5V1	C44	CAP-0603	2	Bottom	90	3513,084	739,476	Yes	No
