Designator;Value;1st Vendor Part No;Center-X;Center-Y;Rotation
ANT1;1004795;1004795;75.5011;30.8974;270
C10;100NF-0402-50V;CL05B104KB54PNC;38.0250;10.8000;270
C22;100NF-0402-50V;CL05B104KB54PNC;57.5065;35.1750;0
C62;100NF-0402-50V;CL05B104KB54PNC;61.1000;40.5000;90
C65;100NF-0402-50V;CL05B104KB54PNC;48.9781;47.5390;0
C69;100NF-0402-50V;CL05B104KB54PNC;51.0250;13.0500;90
C11;1NF-0402-50V;CL05B102JB5NNNC;51.9500;6.1750;270
C13;22UF-0805-25V;CL21A226MAYNNNE;12.4875;8.7366;180
C15;22UF-0805-25V;CL21A226MAYNNNE;12.9250;5.3750;90
C43;22UF-0805-25V;CL21A226MAYNNNE;14.8750;5.3750;90
C56;22UF-0805-25V;CL21A226MAYNNNE;25.8085;9.4773;0
C14;100PF-0402-50V;CL05C101JB5NNNC;6.6918;5.6161;90
C16;100NF-0201-10V;CL03A104KP3NNNC;20.0450;44.6444;180
C18;100NF-0201-10V;CL03A104KP3NNNC;15.3950;40.4047;90
C20;100NF-0201-10V;CL03A104KP3NNNC;16.7450;46.5444;270
C23;100NF-0201-10V;CL03A104KP3NNNC;18.6700;40.4047;90
C26;100NF-0201-10V;CL03A104KP3NNNC;21.4950;44.6444;0
C29;100NF-0201-10V;CL03A104KP3NNNC;17.8200;40.4047;90
C32;100NF-0201-10V;CL03A104KP3NNNC;16.1950;40.4047;90
C35;100NF-0201-10V;CL03A104KP3NNNC;28.5750;43.2771;270
C44;100NF-0201-10V;CL03A104KP3NNNC;24.2439;41.5771;0
C55;100NF-0201-10V;CL03A104KP3NNNC;17.0016;40.4047;90
C72;100NF-0201-10V;CL03A104KP3NNNC;12.8200;42.5944;270
C73;100NF-0201-10V;CL03A104KP3NNNC;13.9200;42.8944;0
C17;4.7UF-0402-6.3V;CL05A475KQ5NRNC;15.9450;39.1944;0
C25;4.7UF-0402-6.3V;CL05A475KQ5NRNC;13.2450;39.6694;270
C31;4.7UF-0402-6.3V;CL05A475KQ5NRNC;14.1700;39.6694;90
C19;22UF-0603-10V;CL10A226MP8NUNE;32.7123;38.8626;180
C34;22UF-0603-10V;CL10A226MP8NUNE;26.5250;44.7725;0
C40;22UF-0603-10V;CL10A226MP8NUNE;25.7750;42.5771;90
C24;33PF-0402-50V;CL05C330JB5NNNC;51.9750;13.0500;90
C71;33PF-0402-50V;CL05C330JB5NNNC;55.2396;13.0500;90
C74;33PF-0402-50V;CL05C330JB5NNNC;66.9788;33.3886;180
C27;1UF-0201-6.3V;CL03A105MQ3CSNC;14.2200;41.4694;90
C28;5.6PF-0402-50V;GJM1555C1H5R6BB01D;18.6750;9.8000;270
C3;100NF-0402-50V;CL05B104KB54PNC;46.5814;42.5905;0
C5;100NF-0402-50V;CL05B104KB54PNC;46.5814;40.5500;0
C36;100NF-0402-50V;CL05B104KB54PNC;57.5065;39.1250;180
C77;100NF-0402-50V;CL05B104KB54PNC;46.5814;41.5632;0
C33;22UF-0603-10V;CL10A226MP8NUNE;35.0330;43.1201;90
C58;22UF-0603-10V;CL10A226MP8NUNE;32.9531;47.2882;180
C38;100NF-0402-50V;CL05B104KB54PNC;22.3404;6.0826;0
C39;22PF-0402-50V;GRM1555C1H220GA01D;16.3500;7.4750;270
C4;22UF-0603-10V;CL10A226MP8NUNE;46.7594;43.7340;0
C41;1NF-0201-25V;GRM0335C1E102JA01D;15.9450;46.5444;90
C45;10NF-0402-50V;C0402C103M5RAC7867;10.0700;41.2444;0
C46;15PF-0402-50V;GJM1555C1H150FB01D;9.6200;39.6694;90
C47;3.3PF-0201-50V;GJM0335C1H3R3BB01D;12.8200;44.9444;270
C48;33PF-0402-50V;CL05C330JB5NNNC;28.2516;9.5280;270
C49;1UF-0603-25V;CL10A105KB8NNNC;48.4281;45.7720;90
C50;22UF-0603-10V;CL10A226MP8NUNE;51.5779;47.3640;0
C52;220UF-6.3V 6.3V;T520B227M006ATE045;60.6000;6.0250;180
C66;220UF-6.3V 6.3V;T520B227M006ATE045;63.8770;36.4735;0
C67;220UF-6.3V 6.3V;T520B227M006ATE045;60.6000;12.4750;180
C68;220UF-6.3V 6.3V;T520B227M006ATE045;60.6000;9.2500;180
C59;1UF-0603-50V;CL10A105KB8NNNC;22.2846;8.7500;90
C6;10UF-0603-6.3V;CL10A106KQ8NNNC;44.3764;40.4500;0
C37;10UF-0603-6.3V;CL10A106KQ8NNNC;57.7315;37.8383;180
C78;10UF-0603-6.3V;CL10A106KQ8NNNC;44.3764;41.6771;0
C63;10UF-0603-6.3V;CL10A106KQ8NNNC;59.0000;42.6676;0
C64;10UF-0603-6.3V;CL10A106KQ8NNNC;59.8974;40.0500;270
C7;47NF-0402-50V;CL05B473KB5VPNC;62.1500;40.5000;90
C8;10PF-0402-50V;CL05C100JB5NNNC;38.0250;13.0500;270
C21;10PF-0402-50V;CL05C100JB5NNNC;38.0250;6.0500;270
C70;10PF-0402-50V;CL05C100JB5NNNC;66.9788;34.4762;180
C76;10PF-0402-50V;CL05C100JB5NNNC;56.2000;13.0500;90
C9;100NF-0402-50V;CL05B104KB54PNC;33.0623;40.1897;0
C12;100NF-0402-50V;CL05B104KB54PNC;11.5750;10.2500;0
C42;100NF-0402-50V;CL05B104KB54PNC;16.3534;4.9000;90
C51;100NF-0402-50V;CL05B104KB54PNC;43.4887;35.6136;270
C53;100NF-0402-50V;CL05B104KB54PNC;38.0398;35.6443;270
C54;100NF-0402-50V;CL05B104KB54PNC;29.3363;9.5280;270
C57;100NF-0402-50V;CL05B104KB54PNC;34.8606;40.7621;90
C60;100NF-0402-50V;CL05B104KB54PNC;20.8750;9.8000;270
C75;100NF-0402-50V;CL05B104KB54PNC;54.2792;13.0426;90
D1;PESD5V0U1BB;PESD5V0U1BB,115;51.9500;4.0000;270
D2;PESD5V0U1BB;PESD5V0U1BB,115;38.0250;8.3000;270
D3;PESD5V0U1BB;PESD5V0U1BB,115;38.0250;4.0000;270
D4;PESD5V0U1BB;PESD5V0U1BB,115;39.1000;13.1000;90
DS1;APHHS1005LSECK-J3-PF;APHHS1005LSECK-J3-PF;58.6279;44.9896;0
FB1;120R-0402;BLM15PD121SN1D;10.5450;39.7444;270
FB3;120R-0402;BLM15PD121SN1D;21.6950;42.9194;90
FB6;120R-0402;BLM15PD121SN1D;12.6950;41.2444;0
FB7;120R-0402;BLM15PD121SN1D;12.1450;39.7444;270
FB8;120R-0402;BLM15PD121SN1D;18.0450;39.1944;180
