Designator	Value	1st Vendor Part No	Center-X	Center-Y	Rotation
Battery Pack1	UB2261 1100MAH	BATTERY-UB2261			
C1	4.7UF-0402-6.3V	CL05A475KQ5NRNC	13.4750	50.2000	0
C3	4.7UF-0402-6.3V	CL05A475KQ5NRNC	14.9750	49.7000	90
C40	4.7UF-0402-6.3V	CL05A475KQ5NRNC	18.2000	8.5000	270
C12	33PF-0201-50V	GRM0335C1H330JA01D	21.8000	65.9500	270
C15	33PF-0201-50V	GRM0335C1H330JA01D	21.8000	60.3250	270
C16	33PF-0201-50V	GRM0335C1H330JA01D	21.8000	63.1500	270
C20	33PF-0201-50V	GRM0335C1H330JA01D	40.0000	50.7750	90
C31	33PF-0201-50V	GRM0335C1H330JA01D	3.6750	61.8000	90
C34	33PF-0201-50V	GRM0335C1H330JA01D	4.1250	9.6000	0
C39	33PF-0201-50V	GRM0335C1H330JA01D	15.1000	2.6250	90
C17	100NF-0402-50V	CL05B104KB54PNC	31.8000	53.8000	180
C19	22UF-0603-10V	CL10A226MP8NUNE	39.3051	47.8700	270
C21	22UF-0603-10V	CL10A226MP8NUNE	40.6814	47.8700	270
C29	22UF-0603-10V	CL10A226MP8NUNE	24.1750	46.0500	180
C30	22UF-0603-10V	CL10A226MP8NUNE	24.2500	51.4000	180
C37	22UF-0603-10V	CL10A226MP8NUNE	16.5000	3.3500	270
C38	22UF-0603-10V	CL10A226MP8NUNE	18.1000	3.3500	270
C2	100NF-0201-6.3V	CL03A104KQ3NNNC	15.8750	49.9500	90
C4	100NF-0201-6.3V	CL03A104KQ3NNNC	7.6750	51.6750	90
C7	100NF-0201-6.3V	CL03A104KQ3NNNC	21.7750	50.8500	180
C13	100NF-0201-6.3V	CL03A104KQ3NNNC	21.8000	57.5000	90
C14	100NF-0201-6.3V	CL03A104KQ3NNNC	21.0000	57.5000	90
C33	100NF-0201-6.3V	CL03A104KQ3NNNC	3.6750	60.4000	270
C35	100NF-0201-6.3V	CL03A104KQ3NNNC	17.2000	8.2250	270
C36	100NF-0201-6.3V	CL03A104KQ3NNNC	17.8500	5.2750	180
C46	100NF-0201-6.3V	CL03A104KQ3NNNC	4.9000	47.1000	0
C48	100NF-0201-6.3V	CL03A104KQ3NNNC	11.1250	47.1000	0
C22	10UF-1206-50V	CL31A106MBHNNNE	36.1250	46.2500	180
C23	10UF-1206-50V	CL31A106MBHNNNE	36.1250	43.7500	180
C24	4.7UF-0805-50V	CL21A475KBQNNNE	25.2250	53.1000	180
C25	33PF-0603-50V	CL10C330JB8NNNC	32.7000	45.8500	90
C26	470PF-0402-50V	CL05B471KB5NNNC	30.1250	48.1000	0
C27	1UF-0402-10V	CL05A105KP5NNNC	34.7750	41.1500	90
C28	1UF-0402-10V	CL05A105KP5NNNC	40.9750	36.9750	0
C41	10NF-0201-10V	CL03A103KP3NNNC	5.8500	6.4000	90
C42	1NF-0402-50V	CL05B102JB5NNNC	21.3250	44.4000	270
C43	220PF-0603-50V	CL10C221JB81PNC	8.2250	39.2500	90
C45	220PF-0603-50V	CL10C221JB81PNC	14.7250	39.2500	90
C47	220PF-0603-50V	CL10C221JB81PNC	21.2250	39.2500	90
C44	0R-0201	ERJ-1GN0R00C	3.1250	8.5000	270
C49	8.2NF-0402-50V	CL05B822KB5NNNC	27.5000	48.6500	90
C5	10UF-0603-6.3V	CL10A106KQ8NNNC	6.5750	51.0500	270
C6	10UF-0603-6.3V	CL10A106KQ8NNNC	21.3250	51.9500	0
C11	10UF-0603-6.3V	CL10A106KQ8NNNC	3.2750	52.0500	270
C32	10UF-0603-6.3V	CL10A106KQ8NNNC	4.8750	61.2250	90
C8	3.9PF-0402-50V	GJM1555C1H3R9BB01D	17.5500	69.7250	0
C9	0.5PF-0402-50V	GJM1555C1HR50WB01D	12.6500	69.7250	180
D1	ESDL031-1BF4	ESDL031-1BF4	6.4776	65.2986	90
D2	ESDL031-1BF4	ESDL031-1BF4	6.4776	66.6736	90
D3	ESDL031-1BF4	ESDL031-1BF4	6.4776	63.9236	90
D4	ESDL031-1BF4	ESDL031-1BF4	21.7974	61.7014	270
D5	ESDL031-1BF4	ESDL031-1BF4	21.7974	58.9014	270
D6	ESDL031-1BF4	ESDL031-1BF4	21.7974	64.5514	270
D7	ESDL031-1BF4	ESDL031-1BF4	21.7974	67.3764	270
D10	SLD8S33A	SLD8S33A	32.3250	34.5500	180
D11	PMEG10010ELRX	PMEG10010ELRX	39.3250	39.5750	90
D12	3V3	MMSZ3V3T1G	24.1000	42.7000	0
