Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
C1,100NF-X7R,1276-2923-2-ND,TopLayer,1081.716,-186.020,180
C2,100NF-X7R,1276-2923-2-ND,TopLayer,1080.716,-85.020,180
C6,100NF-X7R,1276-2923-2-ND,TopLayer,1036.716,426.980,180
C10,CL31X226KQHNNNE-,1276-3303-2-ND,TopLayer,1210.913,513.000,180
C11,CL31X226KQHNNNE-,1276-3303-2-ND,TopLayer,1211.913,605.000,180
C113,1UF-X5R,399-4873-2-ND,BottomLayer,272.315,814.868,180
C12,220PF-NP0-C0G,587-1215-2-ND,BottomLayer,927.842,560.315,270
C13,100NF-X7R,1276-1001-2-ND,TopLayer,898.315,434.842,180
C14,100NF-X7R,1276-1001-2-ND,TopLayer,954.528,802.842,180
C15,2.2UF-X5R,490-10451-2-ND,TopLayer,954.315,844.842,180
C36,2.2UF-X5R,490-10451-2-ND,BottomLayer,861.528,219.228,90
C27,100NF-X7R,1276-1001-2-ND,BottomLayer,492.842,3.756,270
C32,100NF-X7R,1276-1001-2-ND,BottomLayer,764.842,37.315,270
C27,DO-NOT-FIT,,BottomLayer,492.842,3.756,270
C32,DO-NOT-FIT,,BottomLayer,764.842,37.315,270
C29,PCV1J5R6MCL1GS-,493-4397-2-ND,TopLayer,1192.543,258.000,180
C3,470NF-X7R,1276-1062-2-ND,TopLayer,1074.527,848.000,0
C30,10UF-X5R,490-13238-2-ND,BottomLayer,566.685,24.842,0
C30,DO-NOT-FIT,,BottomLayer,566.685,24.842,0
C31,220PF-X7R,490-8260-2-ND,BottomLayer,943.842,-840.685,270
C34,220PF-X7R,490-8260-2-ND,BottomLayer,825.842,-840.685,270
C43,220PF-X7R,490-8260-2-ND,BottomLayer,354.158,-764.315,90
C44,220PF-X7R,490-8260-2-ND,BottomLayer,353.842,-680.685,270
C33,100NF-X5R,490-10458-2-ND,BottomLayer,798.685,-184.158,0
C33,DO-NOT-FIT,,BottomLayer,798.685,-184.158,0
C39,GRM1555C2A180JA01D-,490-7302-2-ND,BottomLayer,572.685,361.842,0
C41,GRM1555C2A180JA01D-,490-7302-2-ND,BottomLayer,667.685,361.842,0
C4,10NF-X7R,1276-1925-2-ND,TopLayer,67.000,-444.473,90
C5,10NF-X7R,1276-1925-2-ND,TopLayer,-115.000,-442.473,90
C21,10NF-X7R,1276-1925-2-ND,TopLayer,-171.000,-440.473,90
C22,10NF-X7R,1276-1925-2-ND,TopLayer,-348.000,-441.496,90
C40,2.2NF-X7R,1276-1992-2-ND,TopLayer,520.000,235.472,270
C42,2.2NF-X7R,1276-1992-2-ND,TopLayer,718.000,236.528,90
C47,8.2PF-NP0-C0G,1276-1730-2-ND,TopLayer,-253.903,330.704,225
C48,8.2PF-NP0-C0G,1276-1730-2-ND,TopLayer,-316.090,268.963,45
C7,100NF-X7R,1276-1001-2-ND,BottomLayer,573.685,-491.158,0
C8,100NF-X7R,1276-1001-2-ND,BottomLayer,617.315,-353.842,180
C16,100NF-X7R,1276-1001-2-ND,BottomLayer,902.315,390.772,180
C17,100NF-X7R,1276-1001-2-ND,TopLayer,125.158,-300.685,270
C18,100NF-X7R,1276-1001-2-ND,BottomLayer,178.000,-305.674,270
C19,100NF-X7R,1276-1001-2-ND,BottomLayer,178.000,-389.403,270
C20,100NF-X7R,1276-1001-2-ND,BottomLayer,179.315,-472.033,90
C23,100NF-X7R,1276-1001-2-ND,BottomLayer,414.559,-113.315,90
C24,100NF-X7R,1276-1001-2-ND,BottomLayer,323.158,-83.315,90
C25,100NF-X7R,1276-1001-2-ND,BottomLayer,414.315,-31.315,90
C26,100NF-X7R,1276-1001-2-ND,BottomLayer,414.000,52.315,270
C28,100NF-X7R,1276-1001-2-ND,BottomLayer,630.158,-39.315,90
C37,100NF-X7R,1276-1001-2-ND,BottomLayer,440.315,707.158,180
C38,100NF-X7R,1276-1001-2-ND,BottomLayer,671.158,720.685,90
C45,100NF-X7R,1276-1001-2-ND,BottomLayer,504.476,885.631,90
