Designator,Value,Layer,Center-X,Center-Y,Rotation
C1,22uF-10V,TopLayer,34.0000,21.8000,0
C2,22uF-10V,TopLayer,32.5000,21.8000,0
C8,22uF-10V,BottomLayer,25.6750,20.3500,180
C19,22uF-10V,TopLayer,10.4000,9.3000,0
C20,22uF-10V,TopLayer,11.8000,9.3000,0
C21,22uF-10V,TopLayer,11.1000,3.2000,270
C15,10pF-50V,BottomLayer,20.3250,22.2500,90
C16,10pF-50V,BottomLayer,17.9750,19.7500,90
C23,10pF-50V,TopLayer,4.7000,9.7500,180
C3,100nF-50V,TopLayer,32.8000,19.6000,270
C10,100nF-50V,BottomLayer,21.5250,16.2250,90
C13,100nF-50V,BottomLayer,25.0250,16.3500,270
C18,100nF-50V,TopLayer,13.2000,9.7000,180
C24,100nF-50V,TopLayer,4.7000,6.7000,180
C26,100nF-50V,TopLayer,6.6000,10.2000,270
C30,100nF-50V,TopLayer,7.2000,13.9000,90
C4,1uF-10V,BottomLayer,18.4750,17.9500,90
C5,1uF-10V,BottomLayer,18.4750,13.7500,90
C6,1uF-10V,BottomLayer,18.4750,15.8500,90
C9,1uF-10V,BottomLayer,21.5250,17.9500,90
C12,1uF-10V,BottomLayer,25.0250,15.4500,270
C25,1uF-10V,TopLayer,9.1000,9.7000,180
C7,33pF-50V,BottomLayer,20.5250,12.3000,270
C11,33pF-50V,BottomLayer,25.0250,18.1500,270
C14,33pF-50V,BottomLayer,25.0250,17.2500,270
C17,33pF-50V,TopLayer,14.3000,9.7000,180
C22,33pF-50V,TopLayer,7.0250,2.5000,0
D1,PESD5V0U1BB,TopLayer,3.4000,9.8000,180
DS1,APHHS1005LSECK-J3-PF,TopLayer,37.7000,24.5000,90
FB1,BLM18SP601SH1D,BottomLayer,18.0000,12.4750,0
FB2,BLM18SP601SH1D,TopLayer,3.4000,7.2000,270
FB3,BLM15PD121SN1D,TopLayer,15.4000,9.7000,180
L1,2.2uH,BottomLayer,23.6750,20.4500,180
L2,2.2uH,TopLayer,11.1000,5.7000,180
Q1,NX3008CBKS,TopLayer,14.4000,5.7000,270
R1,150R,TopLayer,41.5000,24.5000,0
R2,150R,TopLayer,40.2000,24.5000,0
R3,150R,TopLayer,42.7000,24.5000,0
R4,150R,TopLayer,38.9500,24.5000,180
R10,270k,TopLayer,16.4000,7.2000,180
R12,10R,TopLayer,7.2000,15.0000,90
R5,0R,BottomLayer,26.1250,22.3500,90
R13,0R,TopLayer,3.2500,22.6430,90
R6,1.2M,TopLayer,32.8000,18.5000,90
R8,1.2M,TopLayer,7.5000,7.9000,90
R11,1.2M,TopLayer,14.4250,3.1000,90
R7,768k,TopLayer,7.5000,6.9000,90
R9,768k,TopLayer,14.3500,7.7000,90
U1,BGM240PA22VNA3,TopLayer,42.7500,16.0000,270
U2,A121-001-T&R,TopLayer,20.7250,15.8500,90
U3,MAX38641AELT,TopLayer,7.9500,4.9000,180
U4,TPS22915CYFPR,TopLayer,7.9000,9.1000,270
U6,DRV5032FBDBZR,TopLayer,2.7730,15.9750,90
Y1,24MHz-9pF-50R,BottomLayer,20.3250,20.4000,90
