Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
Battery Pack1,300MAH,UB2629,,,,
C1,100NF-0402-50V,CL05B104KB54PNC,TopLayer,53.7500,35.1000,180
C3,100NF-0402-50V,CL05B104KB54PNC,TopLayer,53.6000,20.5000,270
C6,100NF-0402-50V,CL05B104KB54PNC,TopLayer,52.8000,25.2000,270
C11,100NF-0402-50V,CL05B104KB54PNC,TopLayer,38.6000,21.3000,90
C12,100NF-0402-50V,CL05B104KB54PNC,TopLayer,70.3750,19.4500,90
C17,100NF-0402-50V,CL05B104KB54PNC,TopLayer,29.7000,10.7000,0
C37,100NF-0402-50V,CL05B104KB54PNC,TopLayer,22.5000,32.4000,90
C39,100NF-0402-50V,CL05B104KB54PNC,TopLayer,22.9000,40.8000,180
C43,100NF-0402-50V,CL05B104KB54PNC,TopLayer,65.5000,42.8500,0
C45,100NF-0402-50V,CL05B104KB54PNC,TopLayer,61.8500,48.2000,270
C48,100NF-0402-50V,CL05B104KB54PNC,TopLayer,61.2500,36.7000,270
C53,100NF-0402-50V,CL05B104KB54PNC,TopLayer,55.0000,17.8000,270
C14,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,63.7750,19.4500,270
C15,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,66.0250,19.4500,270
C16,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,68.2250,19.4500,270
C23,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,29.7000,8.5000,180
C44,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,66.7000,42.8000,0
C49,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,61.2500,37.8000,270
C54,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,55.0000,16.9000,270
C18,10UF-1206-50V,CL31A106MBHNNNE,TopLayer,9.6000,14.4000,0
C24,10UF-1206-50V,CL31A106MBHNNNE,TopLayer,26.7000,17.1000,270
C19,4.7UF-0805-50V,CL21A475KBQNNNE,TopLayer,23.1000,17.8000,0
C2,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,55.0500,35.5000,0
C4,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,56.2000,20.4000,270
C47,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,63.8000,37.6000,270
C50,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,47.5750,20.6000,0
C20,33PF-0603-50V,CL10C330JB8NNNC,TopLayer,21.3000,17.4000,0
C21,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,31.3000,4.8000,180
C22,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,29.8000,4.8000,180
C30,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,32.9000,12.5000,0
C31,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,35.2000,15.4000,270
C40,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,68.5000,38.6000,180
C41,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,67.5000,45.6500,0
C42,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,66.0000,45.6500,0
C51,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,57.9750,18.3250,270
C55,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,51.7000,16.9264,90
C25,8.2NF-0402-50V,CL05B822KB5NNNC,TopLayer,23.1000,15.3000,270
C26,470PF-0402-50V,CL05B471KB5NNNC,TopLayer,23.1000,13.1000,90
C28,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,37.8000,8.5000,180
C29,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,35.4000,6.3000,90
C32,1NF-0402-50V,CL05B102JB5NNNC,TopLayer,6.6000,44.5000,180
C33,1UF-0603-50V,CL10A105KB8NNNC,TopLayer,19.9000,24.5000,180
C34,1UF-0603-50V,CL10A105KB8NNNC,TopLayer,15.2000,24.6000,180
C35,220PF-0603-50V,CL10C221JB81PNC,TopLayer,20.6000,22.3000,90
C36,220PF-0603-50V,CL10C221JB81PNC,TopLayer,20.6000,40.5000,90
C38,220PF-0603-50V,CL10C221JB81PNC,TopLayer,20.6000,34.5000,90
C5,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,52.8000,27.4000,270
C7,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,52.8000,26.3000,270
D1,PESD5V0U1BB,PESD5V0U1BB,TopLayer,70.4750,20.5500,90
D2,PESD5V0U1BB,PESD5V0U1BB,TopLayer,68.1750,20.5500,270
D3,PESD5V0U1BB,PESD5V0U1BB,TopLayer,65.9750,20.5500,270
D4,PESD5V0U1BB,PESD5V0U1BB,TopLayer,63.6750,20.5500,270
