Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
BT1,,,,,,
C1,22UF-0603-6.3V,CL10A226MP8NUNE,TopLayer,7.5000,9.5500,270
C11,1UF-0603-6.3V,CL10A105KB8NNNC,TopLayer,48.0250,4.3000,90
C13,1UF-0603-6.3V,CL10A105KB8NNNC,TopLayer,35.2250,12.1750,0
C17,?,GJM1555C1H2R5CB01D,TopLayer,50.2250,21.6000,270
C18,?,GJM1555C1H2R5CB01D,TopLayer,53.2750,21.6000,270
C2,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,8.8000,9.1000,270
C3,47NF-0402-50V,CL05B473KB5VPNC,TopLayer,9.9000,9.1000,270
C4,22PF-0402-50V,CL05C220JB5NNNC,TopLayer,42.5250,4.7500,90
C5,22PF-0402-50V,CL05C220JB5NNNC,TopLayer,49.3250,4.7500,90
C12,22PF-0402-50V,CL05C220JB5NNNC,TopLayer,35.6750,14.7250,180
C6,100NF-0402-50V,CL05B104KB54PNC,TopLayer,43.6250,4.7500,90
C7,100NF-0402-50V,CL05B104KB54PNC,TopLayer,50.4250,4.7500,90
C8,100NF-0402-50V,CL05B104KB54PNC,TopLayer,45.9250,21.3500,180
C14,100NF-0402-50V,CL05B104KB54PNC,TopLayer,35.6750,13.5250,0
C15,100NF-0402-50V,CL05B104KB54PNC,TopLayer,30.0000,13.8500,270
C16,100NF-0402-50V,CL05B104KB54PNC,TopLayer,33.1500,18.1750,270
C9,10UF-0603-6.3V,CL10A106KP8NNNC,TopLayer,44.9250,4.3000,90
C10,10UF-0603-6.3V,CL10A106KP8NNNC,TopLayer,46.5250,4.3000,90
DS1,LTST-C190KGKT,LTST-C190KGKT,TopLayer,37.8000,12.7750,270
Guppy Housing,GUPPY-PA6-GF15-BLACK,GUPPY-HOUSING,,,,
JP1,,,BottomLayer,2.9000,18.1500,90
L1,?,LQW15AN12NG00,TopLayer,51.7750,21.0500,0
PCB1,GUPPY-LORAWAN-V1,,,,,
PP_Sleeve1,A01-PAC-PE-003,A01-PAC-PE-003,,,,
R1,150R-0402,ERJ-2RKF1500X,TopLayer,39.2750,14.6250,270
R2,10K-0402,ERJ-2RKF1002X,TopLayer,43.8250,21.3500,180
R5,10K-0402,ERJ-2RKF1002X,TopLayer,30.0250,16.1500,270
R6,10K-0402,ERJ-2RKF1002X,TopLayer,32.0500,18.2000,270
R3,0R-0402,ERJ-2GE0R00X,TopLayer,39.3250,12.3250,90
R4,10R-1-10W-0603,ERJ-3EKF10R0V,TopLayer,35.9250,16.8000,90
R7,10R-1-10W-0603,ERJ-3EKF10R0V,TopLayer,5.9000,9.6000,270
R8,1.5K-0402,ERJ-2RKF1501X,TopLayer,54.0000,14.3500,90
R9,1.5K-0402,ERJ-2RKF1501X,TopLayer,54.0000,12.2000,270
U1,CMWX1ZZABZ-078,CMWX1ZZABZ-078,TopLayer,46.6250,13.2750,90
U2,MMA8451QR1,MMA8451QR1,TopLayer,32.6250,15.0500,270
