Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,,,TopLayer,41.7761,27.3724,270
C1,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,15.9750,26.7340,270
C4,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,15.4750,13.0250,90
C7,100NF-0402-50V,CL05B104KB54PNC,TopLayer,1.9741,20.7000,270
C9,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,32.4750,-0.2180,180
C10,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,33.4750,-0.2180,180
C24,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,7.8000,33.2250,270
C30,100NF-0402-50V,CL05B104KB54PNC,TopLayer,18.6500,8.1000,180
C33,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,25.1750,9.2500,0
C36,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,8.7481,13.5500,270
C40,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,11.8000,24.9000,180
C43,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,12.4500,19.4500,90
C51,100NF-0402-50V,CL05B104KB54PNC,TopLayer,18.4250,57.7841,90
C65,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,25.8050,33.6456,90
C81,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,4.5000,9.1000,0
C13,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,5.8000,1.1000,270
C45,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,20.8500,55.4591,0
C46,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,14.1874,55.0091,270
C47,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,20.3750,58.8091,90
C48,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,16.5734,58.8091,90
C55,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,26.8574,37.5706,180
C67,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,33.6300,32.6205,270
C68,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,33.6324,31.5206,270
C71,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,33.6300,34.6205,270
C72,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,33.0824,36.6206,0
C14,220UF-6.3V,T520B227M006ATE045,TopLayer,5.1500,12.6000,270
C75,220UF-6.3V,T520B227M006ATE045,BottomLayer,11.0250,15.0000,90
C15,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,9.9750,7.0750,180
C17,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,9.9750,8.4500,180
C38,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,11.1000,28.4500,0
C76,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,7.5750,10.0250,270
C77,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,6.2000,10.0250,270
C16,100NF-0402-6.3V,CL05B104KB54PNC,TopLayer,15.1250,8.1000,90
C18,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,14.1125,8.1000,270
C19,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,13.1000,8.1000,270
C2,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,13.6500,13.9500,180
C3,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,13.6500,27.7000,180
C23,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,11.1000,32.9500,0
C25,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,11.0913,34.4107,0
C31,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,20.5000,5.3750,180
C32,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,6.2500,3.3250,90
C34,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,24.0250,8.8000,180
C41,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,9.1750,24.7250,180
C42,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,9.1500,20.5708,180
C44,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,9.1587,19.1537,180
C50,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,18.8750,56.6591,270
C61,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,13.6500,33.6500,180
C20,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,7.2750,3.8750,0
