Designator,Value,Center-X,Center-Y,Rotation
ANT1,,41.7761,27.3724,270
C1,100nF-50V,15.9750,26.7340,270
C4,100nF-50V,15.4750,13.0250,90
C7,100nF-50V,1.9741,20.7000,270
C9,100nF-50V,32.4750,-0.2180,180
C10,100nF-50V,33.4750,-0.2180,180
C24,100nF-50V,7.8000,33.2250,270
C30,100nF-50V,18.6500,8.1000,180
C33,100nF-50V,25.1750,9.2500,0
C36,100nF-50V,8.7481,13.5500,270
C40,100nF-50V,11.8000,24.9000,180
C43,100nF-50V,12.4500,19.4500,90
C51,100nF-50V,18.4250,57.7841,90
C65,100nF-50V,25.8050,33.6456,90
C81,100nF-50V,4.5000,9.1000,0
C13,1uF-10V,5.8000,1.1000,270
C45,1uF-10V,20.8500,55.4591,0
C48,1uF-10V,16.5734,58.8091,90
C55,1uF-10V,26.8574,37.5706,180
C67,1uF-10V,33.6300,32.6205,270
C68,1uF-10V,33.6324,31.5206,270
C71,1uF-10V,33.6300,34.6205,270
C72,1uF-10V,33.0824,36.6206,0
C14,220uF-6.3V,5.1500,12.6000,270
C75,220uF-6.3V,11.0250,15.0000,90
C15,22uF-10V,9.9750,7.0750,180
C17,22uF-10V,9.9750,8.4500,180
C38,22uF-10V,11.1000,28.4500,0
C76,22uF-10V,7.5750,10.0250,270
C77,22uF-10V,6.2000,10.0250,270
C16,100nF-50V,15.1250,8.1000,90
C18,10pF-50V,14.1125,8.1000,270
C19,33pF-50V,13.1000,8.1000,270
C2,22uF-10V,13.6500,13.9500,180
C3,22uF-10V,13.6500,27.7000,180
C23,22uF-10V,11.1000,32.9500,0
C25,22uF-10V,11.0913,34.4107,0
C31,22uF-10V,20.5000,5.3750,180
C32,22uF-10V,6.2500,3.3250,90
C34,22uF-10V,24.0250,8.8000,180
C41,22uF-10V,9.1750,24.7250,180
C42,22uF-10V,9.1500,20.5708,180
C44,22uF-10V,9.1587,19.1537,180
C50,22uF-10V,18.8750,56.6591,270
C61,22uF-10V,13.6500,33.6500,180
C20,100nF-50V,7.2750,3.8750,0
C22,22uF-25V,7.3250,6.4750,270
C28,22uF-25V,4.6250,5.5500,180
C80,22uF-25V,4.6250,7.4000,180
C29,47nF-50V,7.2000,1.5750,0
C59,47nF-50V,18.1000,30.5750,90
C35,100pF-50V,4.2750,1.5750,180
C5,4.7uF-6.3V,13.6750,19.4500,180
C6,4.7uF-6.3V,13.6750,21.3250,0
C26,4.7uF-6.3V,15.9437,30.5750,270
C27,4.7uF-6.3V,16.0000,33.8750,270
C46,4.7uF-6.3V,14.1874,55.0091,270
C47,4.7uF-6.3V,20.3750,58.8091,90
C62,4.7uF-6.3V,19.6000,27.2000,180
C64,4.7uF-6.3V,22.5654,30.1000,0
C53,10pF-50V,14.9000,58.3341,180
