Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,,,TopLayer,75.5011,30.8974,270
C1,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,45.6500,26.1250,0
C3,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,45.6500,25.0250,0
C17,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,30.2448,39.2831,0
C25,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,27.5448,39.7581,270
C31,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,28.4698,39.7581,90
C13,100NF-0402-50V,CL05B104KB54PNC,TopLayer,14.0250,8.0750,90
C50,100NF-0402-50V,CL05B104KB54PNC,TopLayer,16.9250,4.2000,180
C14,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,16.2750,8.1000,180
C15,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,19.0000,7.1750,270
C49,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,20.8750,7.1750,270
C19,100PF-0201-50V,GRM0335C1H101JA01D,TopLayer,12.2000,8.6000,180
C2,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,45.9000,24.1500,0
C4,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,48.9750,32.8750,270
C7,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,48.9750,19.0750,90
C9,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,63.9250,14.5250,180
C10,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,62.5250,14.5250,0
C16,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,34.3448,44.7331,180
C18,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,29.6948,40.4934,90
C20,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,31.0448,46.6331,270
C21,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,25.5500,8.6000,180
C22,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,44.0000,30.4000,90
C23,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,32.9698,40.4934,90
C26,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,35.7948,44.7331,0
C29,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,32.1198,40.4934,90
C32,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,30.4948,40.4934,90
C35,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,40.3697,44.2331,180
C39,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,41.9139,40.1831,0
