Designator,Value,Center-X,Center-Y,Rotation
ANT1,,209.2863,231.2770,0
C1,100nF-50V,150.8560,224.1496,270
C3,100nF-50V,161.2819,224.1496,90
C5,100nF-50V,161.1982,214.1020,90
C6,100nF-50V,147.3768,215.5301,0
C7,100nF-50V,148.4084,215.5301,0
C11,100nF-50V,138.0000,236.2850,180
C16,100nF-50V,178.1268,216.0272,180
C19,100nF-50V,178.3180,217.8272,270
C22,100nF-50V,188.0352,215.7482,270
C24,100nF-50V,186.5436,218.2000,0
C29,100nF-50V,174.3430,215.4772,180
C32,100nF-50V,167.1999,220.2396,180
C36,100nF-50V,190.7278,257.0837,0
C45,100nF-50V,200.7827,226.6265,90
C50,100nF-50V,178.1000,256.9627,0
C51,100nF-50V,174.5000,256.9627,0
C55,100nF-50V,171.1250,217.4000,270
C58,100nF-50V,145.7500,244.1204,0
C68,100nF-50V,136.2681,245.0448,270
C72,100nF-50V,136.4803,220.4165,270
C79,100nF-50V,133.1358,248.3242,270
C12,22uF-25V,141.3190,228.1857,0
C14,22uF-25V,144.0726,229.1107,90
C23,22uF-25V,187.1602,214.2533,90
C28,22uF-25V,171.8000,214.2522,90
C13,33pF-50V,139.8385,227.3107,180
C17,33pF-50V,179.7173,213.8272,90
C18,33pF-50V,178.3180,218.9272,90
C31,33pF-50V,166.1434,220.2396,180
C40,33pF-50V,156.6000,244.2976,270
C52,33pF-50V,168.9085,222.0740,180
C53,33pF-50V,168.9240,219.9040,0
C54,33pF-50V,178.3180,221.6240,270
C57,33pF-50V,144.6876,244.1204,0
C63,33pF-50V,134.0358,250.8041,270
C66,33pF-50V,133.1358,247.2258,270
C67,33pF-50V,136.2681,244.0648,270
C71,33pF-50V,144.4050,236.2800,0
C76,33pF-50V,151.7093,242.4351,180
C15,100pF-50V,143.0818,223.0184,180
C2,10uF-6.3V,161.7319,223.0251,270
C4,10uF-6.3V,150.4060,223.0251,90
C33,10uF-6.3V,164.9755,220.6896,0
C34,10uF-6.3V,193.1140,256.6337,180
C35,10uF-6.3V,189.5232,256.6337,180
C20,22uF-10V,181.6888,222.3390,0
C21,22uF-10V,180.2169,222.3390,0
C25,22uF-10V,183.9091,217.7500,180
C26,22uF-10V,185.3091,217.7500,180
C37,22uF-10V,172.5191,256.6337,180
C39,22uF-10V,170.7871,254.4464,270
C61,22uF-10V,137.7960,251.7393,270
C62,22uF-10V,133.5858,249.5610,90
C65,22uF-10V,133.5858,245.9872,90
C69,22uF-10V,139.2504,243.7898,270
C70,22uF-10V,139.2504,245.0698,270
C27,47nF-50V,190.8057,217.6000,90
C38,10nF-50V,152.6874,242.4351,180
C46,10nF-50V,200.7827,225.5525,90
C80,10nF-50V,145.4500,236.2800,0
C41,10pF-50V,158.5000,244.2976,90
C64,10pF-50V,134.0358,251.7793,270
RF_S1,10pF-50V,201.5137,240.8015,180
C42,220uF-6.3V,192.0338,223.2502,270
C43,220uF-6.3V,197.0537,219.7152,90
C44,220uF-6.3V,197.0537,223.2252,90
C47,56pF-50V,200.7827,227.6900,90
C49,8.2pF-50V,200.7827,228.7525,90
C56,4.7uF-6.3V,142.6320,244.1204,180
C78,4.7uF-6.3V,136.4803,219.3432,270
C59,2.2uF-10V,143.0570,249.6520,270
C73,220nF-16V,150.5671,248.2500,90
C75,220nF-16V,150.5671,249.2226,90
C8,1uF-10V,149.4401,215.5301,0
C30,1uF-10V,175.3180,213.8272,90
C60,1uF-10V,144.8889,251.6938,180
C74,1uF-10V,147.7117,251.6938,180
C77,1uF-10V,146.6535,251.6938,180
C9,15pF-50V,147.1541,219.1628,90
C10,15pF-50V,147.1901,220.5628,90
C48,15pF-50V,200.7827,229.8525,90
D1,MM5Z18VT1G,140.5727,225.6250,0
DS1,APHHS1005LSECK-J3-PF,146.8268,214.0499,0
F1,1210L110-16WR,140.2268,220.2232,0
FB1,BLM15PD121SN1D,148.8901,216.9990,90
FB6,BLM15PD121SN1D,134.6809,247.7664,0
FB2,BLM18SP221SN1D,144.4976,227.1357,0
FB3,BLM18PG181SN1D,169.9871,256.6337,270
FB4,BLM18EG221SN1,193.7294,219.6400,90
FB5,BLM15AG102SN1D,143.6500,244.0454,180
FB7,BLM15AG102SN1D,153.6874,242.5101,0
FB8,BLM15AG102SN1D,144.4050,238.3500,0
J2,,132.0000,214.2000,270
L1,2.2uH,186.8650,221.9287,270
L2,10uH,181.3180,217.5028,180
L3,2.2uH,137.4181,249.2210,90
L4,6.8nH,147.2980,235.2588,0
L5,6.8nH,149.6030,238.4912,0
