Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
C1,15PF-0402-50V,CL05C150JB5NNNC,BottomLayer,17.6000,38.2000,270
C2,15PF-0402-50V,CL05C150JB5NNNC,BottomLayer,17.6000,39.6000,270
C13,100PF-0402-50V,CL05C101JB5NNNC,BottomLayer,5.4000,7.8000,180
C15,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,8.5000,8.2000,180
C16,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,14.1086,4.8000,90
C17,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,11.1951,9.9600,270
C20,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,22.0216,4.8000,90
C21,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,19.0216,9.9600,270
C25,4.7UF-0402-6.3V,CL05A475KQ5NRNC,BottomLayer,22.6000,22.8000,270
C39,4.7UF-0402-6.3V,CL05A475KQ5NRNC,BottomLayer,29.2000,23.2000,90
C40,4.7UF-0402-6.3V,CL05A475KQ5NRNC,BottomLayer,32.5600,15.3297,270
C26,3PF-0402-50V,GJM1555C1H3R0BB01D,BottomLayer,36.5228,20.4057,90
C3,10UF-0603-6.3V,CL10A106KQ8NNNC,BottomLayer,20.2000,34.4000,270
C5,10UF-0603-6.3V,CL10A106KQ8NNNC,BottomLayer,33.8000,43.1000,90
C27,10UF-0603-6.3V,CL10A106KQ8NNNC,BottomLayer,33.8000,26.6500,180
C33,10UF-0603-6.3V,CL10A106KQ8NNNC,BottomLayer,25.2750,22.6000,180
C36,10UF-0603-6.3V,CL10A106KQ8NNNC,BottomLayer,36.0000,22.6000,90
C41,10UF-0603-6.3V,CL10A106KQ8NNNC,BottomLayer,25.2500,19.7000,0
C45,10UF-0603-6.3V,CL10A106KQ8NNNC,BottomLayer,27.5000,10.6000,0
C30,10PF-0402-50V,GJM1555C1H100FB01D,BottomLayer,30.5560,24.9000,180
C31,10PF-0402-50V,GJM1555C1H100FB01D,BottomLayer,30.5560,26.9000,0
C4,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,19.7600,35.7000,90
C6,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,33.4000,41.8000,270
C10,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,19.7600,42.2663,90
C19,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,14.3951,9.6000,180
C23,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,21.1216,9.6000,180
C29,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,36.2000,26.4000,0
C35,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,27.6750,22.2000,0
C38,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,36.2000,24.3000,0
C43,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,27.6500,20.1000,180
RF_S2,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,40.0000,18.4000,180
C9,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,19.7600,43.1663,90
C11,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,33.4000,37.3000,270
C12,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,10.2400,24.1709,270
C14,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,5.4000,10.0000,0
C18,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,13.2951,9.6000,180
C22,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,22.2216,9.6000,180
C24,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,18.9100,22.6597,90
C28,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,35.1000,26.4000,0
C34,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,26.5750,22.2000,0
C37,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,35.1000,24.3000,0
C42,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,26.5500,20.1000,180
C44,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,27.5000,13.1000,0
DS1,-0402-2.9V,APG1005VBC-A1-5MAV,BottomLayer,25.0500,45.6252,0
FB1,BLM18PG181SN1D,BLM18PG181SN1D,BottomLayer,6.9746,8.2000,270
FB2,BLM15PD121SN1D,BLM15PD121SN1D,BottomLayer,22.6000,21.7000,270
FB4,BLM15PD121SN1D,BLM15PD121SN1D,BottomLayer,20.5216,11.2000,270
J3,,62201021121,TopLayer,28.8600,2.0350,0
L1,1285AS-H-2R2M,1285AS-H-2R2M=P2,BottomLayer,11.0811,7.6000,0
L2,1285AS-H-2R2M,1285AS-H-2R2M=P2,BottomLayer,18.9216,7.6000,0
Q1,NX3008CBKS,"NX3008CBKS,115",BottomLayer,7.4000,3.7000,0
R1,150R-0402-0402-50V,ERJ-2RKF1500X,BottomLayer,33.4000,38.8000,90
R2,150R-0402-0402-50V,ERJ-2RKF1500X,BottomLayer,31.0000,33.0000,0
R3,150R-0402-0402-50V,ERJ-2RKF1500X,BottomLayer,30.1000,33.0000,0
R4,150R-0402-0402-50V,ERJ-2RKF1500X,BottomLayer,27.2100,45.6252,270
R6,150R-0402-0402-50V,ERJ-2RKF1500X,BottomLayer,33.4000,40.6000,270
R7,150R-0402-0402-50V,ERJ-2RKF1500X,BottomLayer,33.4000,39.7000,270
R17,150R-0402-0402-50V,ERJ-2RKF1500X,BottomLayer,25.6000,33.0000,180
R18,150R-0402-0402-50V,ERJ-2RKF1500X,BottomLayer,27.4000,33.0000,0
R19,150R-0402-0402-50V,ERJ-2RKF1500X,BottomLayer,24.7000,33.0000,180
R20,150R-0402-0402-50V,ERJ-2RKF1500X,BottomLayer,26.5000,33.0000,0
R21,150R-0402-0402-50V,ERJ-2RKF1500X,BottomLayer,29.2000,33.0000,180
R22,150R-0402-0402-50V,ERJ-2RKF1500X,BottomLayer,28.3000,33.0000,180
R12,470K-0402-0402-50V,ERJ-2RKF4703X,BottomLayer,5.3000,3.2000,0
R14,768K-0402,ERJ-2RKF7683X,BottomLayer,16.4000,7.0000,180
R15,324K-0402-0402-50V,ERJ-2RKF3243X,BottomLayer,24.4000,7.7000,180
R23,100K-0402-0402-50V,ERJ-2RKF1003X,BottomLayer,32.5000,24.9000,0
R25,100K-0402-0402-50V,ERJ-2RKF1003X,BottomLayer,32.5600,14.0000,270
R24,150K-0402-0402-50V,ERJ-2RKF1503X,BottomLayer,32.5000,27.0000,180
R5,10R-0402-0402-50V,ERJ-2RKF10R0X,BottomLayer,10.2400,25.2710,270
R8,1.2M-0402-0402-50V,ERJ-2GEJ125X,BottomLayer,9.5000,3.7000,0
R10,1.2M-0402-0402-50V,ERJ-2GEJ125X,BottomLayer,5.3000,5.4000,0
R13,1.2M-0402-0402-50V,ERJ-2GEJ125X,BottomLayer,24.4000,5.4000,0
R16,1.2M-0402-0402-50V,ERJ-2GEJ125X,BottomLayer,18.9100,21.5597,270
R9,0R-0402,ERJ-2GE0R00X,BottomLayer,3.6500,9.2500,270
R11,0R-0402,ERJ-2GE0R00X,BottomLayer,3.3000,45.9000,270
RF_S1,0R-0402,ERJ-2GE0R00X,BottomLayer,40.5000,15.9000,270
RF_S3,0R-0402,ERJ-2GE0R00X,BottomLayer,39.4750,21.0340,270
U1,STM32L072CZT6,STM32L072CZT6,BottomLayer,26.6750,40.0750,0
U2,DRV5032FBDBZR,DRV5032FBDBZR,BottomLayer,3.9750,23.2250,270
U3,MAX38640AELT,MAX38640AELT+T,BottomLayer,14.1086,6.9000,0
U4,MAX38640AELT,MAX38640AELT+T,BottomLayer,22.0216,6.9000,0
U5,TPS22915CYFPR-2291-5.5V,TPS22915CYFPR,BottomLayer,20.8100,22.4597,180
U6,UBI206,UBI206,BottomLayer,31.8000,19.6000,90
U8,W25Q80EWSNIG,W25Q80EWSNIG,BottomLayer,32.5000,10.7000,180
XTAL1,32.768KHZ,ECS-.327-9-12R-TR,BottomLayer,19.8000,38.9000,270
Y1,80MHZ-8PF-25R,XTL501-M118-191,BottomLayer,28.7560,25.5400,90
