Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,P622301,P622301,TopLayer,61.6889,19.4983,270
C1,220UF-6.3V,T520B227M006ATE045,TopLayer,30.6750,32.7000,90
C10,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,3.7750,3.1500,0
C12,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,35.4500,16.8000,270
C53,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,43.2750,14.3750,180
C57,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,51.9250,5.9900,180
C58,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,51.9250,4.9667,180
C13,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,34.5500,15.6500,270
C15,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,40.6000,32.3250,90
C16,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,13.7250,36.1250,270
C20,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,13.7000,29.0000,90
C22,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,31.5500,29.2750,180
C24,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,17.8250,31.8000,270
C26,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,14.5250,34.7250,90
C27,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,16.7500,31.7987,90
C29,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,22.9000,30.8000,270
C31,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,20.1250,29.0000,90
C32,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,17.8250,33.2000,90
C33,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,16.7500,33.2000,90
C43,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,14.5250,29.0000,90
C44,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,8.7103,28.9991,270
C49,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,34.5500,17.0500,90
C52,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,34.5500,30.9500,90
C54,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,51.6750,3.0750,180
