Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,YC0017BA,YC0017BA,TopLayer,46.3750,16.4750,270
ANT2,YC0009AA,YC0009AA,TopLayer,4.9880,30.0125,180
C1,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,13.8250,18.1000,90
C6,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,16.5750,28.1250,90
C9,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,17.8750,28.1250,90
C22,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,24.4750,5.1000,90
C23,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,25.8250,5.1000,90
C10,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,26.7250,2.8250,270
C19,4.7UF-0402,CL05A475KQ5NRNC,TopLayer,7.7000,17.2250,0
C2,100NF-0402-50V,CL05B104KB54PNC,TopLayer,12.2500,17.2250,0
C5,100NF-0402-50V,CL05B104KB54PNC,TopLayer,22.2750,28.5750,90
C11,100NF-0402-50V,CL05B104KB54PNC,TopLayer,7.7000,16.3250,180
C12,100NF-0402-50V,CL05B104KB54PNC,TopLayer,12.3750,27.5000,270
C18,100NF-0402-50V,CL05B104KB54PNC,TopLayer,16.3500,4.2500,270
C21,100NF-0402-50V,CL05B104KB54PNC,TopLayer,19.1750,2.8250,0
C24,100NF-0402-50V,CL05B104KB54PNC,TopLayer,24.7750,2.8250,180
C27,100NF-0402-50V,CL05B104KB54PNC,TopLayer,4.9750,23.0500,270
C20,LQG15HN4N7S02D,LQG15HN4N7S02D,TopLayer,7.9250,25.2250,90
C25,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,21.0500,30.6000,180
C3,220UF-6.3V-1210-6.3V,T520B227M006ATE045,TopLayer,20.6750,4.9750,180
C30,1.3PF-0402-50V,GJM1555C1H1R3WB01D,TopLayer,10.2750,24.7250,180
C31,1.6PF-0402-50V,GJM1555C1H1R6BB01D,TopLayer,10.7500,27.5000,270
C32,0.7PF-0402-50V,GJM1555C1HR70WB01D,TopLayer,10.2500,29.0500,180
C7,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,21.0500,28.5750,270
C13,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,15.4000,4.2500,270
C14,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,12.6500,14.6250,270
C15,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,10.3500,14.6250,270
C16,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,7.2250,14.6250,270
C28,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,4.0500,23.0500,270
C29,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,8.8500,28.5750,90
C8,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,2.7000,6.4250,270
D1,PESD5V0U1BB,"PESD5V0U1BB,115",TopLayer,3.1250,4.7000,180
D2,PESD5V0U1BB,"PESD5V0U1BB,115",TopLayer,3.1250,3.6000,180
D3,PESD5V0U1BB,"PESD5V0U1BB,115",TopLayer,16.3500,6.4500,270
