Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
C13,10NF-0402,C0402C103M5RAC7867,TopLayer,22.2250,6.1250,180
C14,10NF-0402,C0402C103M5RAC7867,TopLayer,65.9500,21.3500,270
C17,22PF-0402,GRM1555C1H220GA01D,TopLayer,36.9750,27.9250,180
C18,22PF-0402,GRM1555C1H220GA01D,TopLayer,33.4750,24.1000,90
C19,22PF-0402,GRM1555C1H220GA01D,TopLayer,21.3500,24.2500,270
C20,22PF-0402,GRM1555C1H220GA01D,TopLayer,24.8500,34.5000,360
C2,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,69.2500,26.2000,0
C3,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,67.5750,27.0750,270
C12,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,24.0500,9.8000,90
C4,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,24.3750,13.1500,90
C5,100NF-0402,CL05B104KB54PNC,TopLayer,24.3500,15.2000,0
C6,100NF-0402,CL05B104KB54PNC,TopLayer,18.6750,13.6000,270
C9,100NF-0402,CL05B104KB54PNC,TopLayer,18.6750,8.8750,270
C11,100NF-0402,CL05B104KB54PNC,TopLayer,25.5500,9.8000,90
C15,100NF-0402,CL05B104KB54PNC,TopLayer,66.0000,26.1000,90
C16,100NF-0402,CL05B104KB54PNC,TopLayer,16.8000,34.7500,270
C21,100NF-0402,CL05B104KB54PNC,TopLayer,33.3250,28.9750,270
C22,100NF-0402,CL05B104KB54PNC,TopLayer,22.4250,24.2250,270
C23,100NF-0402,CL05B104KB54PNC,TopLayer,30.3500,22.8750,180
C24,100NF-0402,CL05B104KB54PNC,TopLayer,34.4000,29.0000,270
C25,100NF-0402,CL05B104KB54PNC,TopLayer,68.5500,11.2000,360
C26,100NF-0402,CL05B104KB54PNC,TopLayer,68.5500,14.7500,360
C27,100NF-0402,CL05B104KB54PNC,TopLayer,67.7000,17.7000,90
C28,100NF-0402,CL05B104KB54PNC,TopLayer,70.6250,11.2000,180
C29,100NF-0402,CL05B104KB54PNC,TopLayer,70.6250,14.7500,180
C30,100NF-0402,CL05B104KB54PNC,TopLayer,69.3500,18.3000,180
C7,4.7UF-0805-50V,CL21A475KBQNNNE,TopLayer,16.7000,13.2000,270
C10,4.7UF-0805-50V,CL21A475KBQNNNE,TopLayer,16.7000,8.2000,270
D1,USBLC6-4SC6 SOT-23,USBLC6-4SC6 SOT-23,TopLayer,15.9500,27.8500,270
D2,USBLC6-4SC6 SOT-23,USBLC6-4SC6 SOT-23,TopLayer,69.0250,21.9250,90
DS1,LTST-C190KRKT,LTST-C190KRKT,TopLayer,37.2000,4.6500,270
DS2,LTST-C191TBKT-5A,LTST-C191TBKT-5A,TopLayer,50.0000,4.6500,270
DS3,LTST-C190KGKT,LTST-C190KGKT,TopLayer,62.8000,4.6500,270
FB1,180R-0603,BLM18PG181SN1,TopLayer,15.1750,20.1750,270
J1,USB-001-BW-L,USB-001-BW-L,TopLayer,8.2495,25.0002,270
J2,HEADER 6WAY D/ROW STR 2.54MM,HEADER 6WAY D-ROW STR 2.54MM,TopLayer,77.9300,22.4600,270
J4,3220-10-0100-00,3220-10-0100-00,TopLayer,77.8150,34.3700,0
J5,53253-0470,53253-0470,TopLayer,77.5250,11.1500,270
R1,0R-0402,ERJ-2GE0R00X,TopLayer,18.7000,27.9500,360
R4,0R-0402,ERJ-2GE0R00X,TopLayer,18.7000,27.0000,360
R10,20K-0402,ERJ-2RKF2002X,TopLayer,25.5750,7.1000,360
R13,150R-0402,ERJ-2RKF1500X,TopLayer,74.1750,9.7250,90
R14,150R-0402,ERJ-2RKF1500X,TopLayer,74.1500,12.3250,270
R17,150R-0402,ERJ-2RKF1500X,TopLayer,37.2000,7.5000,270
R18,150R-0402,ERJ-2RKF1500X,TopLayer,50.0000,7.5000,270
R19,150R-0402,ERJ-2RKF1500X,TopLayer,62.8000,7.5000,270
R20,100R-0402,CRCW0402100RJNEDC,TopLayer,30.3750,34.7250,180
R22,10R-1206,ERJ-P08J100V,TopLayer,5.9000,13.9250,90
R23,1.5K-0402,ERJ-2RKF1501X,TopLayer,19.2000,25.4000,90
R3,10K-0402,ERJ-2RKF1002X,TopLayer,70.8250,27.7250,270
R11,10K-0402,ERJ-2RKF1002X,TopLayer,33.8750,30.7750,180
R12,10K-0402,ERJ-2RKF1002X,TopLayer,63.7750,26.8000,90
