Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
C1,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,13.475,50.2,0.0
C3,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,14.975,49.7,90.0
C40,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,18.2,8.5,270.0
C12,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,21.8,65.95,270.0
C15,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,21.8,60.325,270.0
C16,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,21.8,63.15,270.0
C20,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,40.0,50.775,90.0
C31,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,3.675,61.8,90.0
C34,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,4.125,9.6,0.0
C39,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,15.1,2.625,90.0
C17,100NF-0402-50V,CL05B104KB54PNC,TopLayer,31.8,53.8,180.0
C19,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,39.3051,47.87,270.0
C21,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,40.6814,47.87,270.0
C29,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,24.175,46.05,180.0
C30,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,24.25,51.4,180.0
C37,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,16.5,3.35,270.0
C38,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,18.1,3.35,270.0
C2,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,15.875,49.95,90.0
C4,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,7.675,51.675,90.0
C7,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,21.775,50.85,180.0
C13,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,21.8,57.5,90.0
C14,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,21.0,57.5,90.0
C33,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,3.675,60.4,270.0
C35,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,17.2,8.225,270.0
C36,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,17.85,5.275,180.0
C46,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,4.9,47.1,0.0
C48,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,11.125,47.1,0.0
C22,10UF-1206-50V,CL31A106MBHNNNE,TopLayer,36.125,46.25,180.0
C23,10UF-1206-50V,CL31A106MBHNNNE,TopLayer,36.125,43.75,180.0
C24,4.7UF-0805-50V,CL21A475KBQNNNE,TopLayer,25.225,53.1,180.0
C25,33PF-0603-50V,CL10C330JB8NNNC,TopLayer,32.7,45.85,90.0
C26,470PF-0402-50V,CL05B471KB5NNNC,TopLayer,30.125,48.1,0.0
