Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,1004795,1004795,TopLayer,75.5011,30.8974,270
C1,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,46.3,16.575,0
C3,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,45.525,14.1266,270
C4,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,52.0,14.125,90
C6,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,44.1,28.425,270
C9,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,39.85,28.425,270
C13,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,46.3,17.875,180
C39,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,46.275,31.725,180
C51,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,27.375,6.3,180
C52,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,31.75,4.4567,270
C10,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,40.15,33.6,0
C50,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,9.55,4.1169,270
C11,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,40.15,32.6,0
C19,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,66.975,4.4,180
C21,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,60.0,14.8,0
C42,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,57.85,14.8,180
C12,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,45.825,25.1,0
C37,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,45.825,24.15,0
C16,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,24.52,43.3158,180
C18,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,19.87,39.0761,90
C20,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,21.22,45.2158,270
C23,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,23.145,39.0761,90
C26,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,25.97,43.3158,0
C29,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,22.295,39.0761,90
C32,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,20.67,39.0761,90
C35,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,35.15,42.6909,270
C44,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,30.7596,41.0351,0
C55,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,21.4766,39.0761,90
C72,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,17.295,41.2658,270
C73,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,18.395,41.5658,0
C17,4.7UF-0402-6.3V,GRM155R60J475ME47D,TopLayer,20.42,37.8658,0
C25,4.7UF-0402-6.3V,GRM155R60J475ME47D,TopLayer,17.72,38.3408,270
C31,4.7UF-0402-6.3V,GRM155R60J475ME47D,TopLayer,18.645,38.3408,90
C2,100NF-0402-50V,CL05B104KB54PNC,TopLayer,46.875,14.575,270
C5,100NF-0402-50V,CL05B104KB54PNC,TopLayer,53.075,14.5766,90
C7,100NF-0402-50V,CL05B104KB54PNC,TopLayer,42.525,26.4,0
C8,100NF-0402-50V,CL05B104KB54PNC,TopLayer,40.15,31.575,180
C14,100NF-0402-50V,CL05B104KB54PNC,TopLayer,48.525,17.575,90
C15,100NF-0402-50V,CL05B104KB54PNC,TopLayer,66.975,3.45,180
C24,100NF-0402-50V,CL05B104KB54PNC,TopLayer,17.6999,5.155,270
C36,100NF-0402-50V,CL05B104KB54PNC,TopLayer,45.825,23.225,0
C38,100NF-0402-50V,CL05B104KB54PNC,TopLayer,48.525,32.025,270
C58,100NF-0402-50V,CL05B104KB54PNC,TopLayer,24.475,3.525,0
C61,100NF-0402-50V,CL05B104KB54PNC,TopLayer,29.3188,4.0067,270
C22,47NF-0402-50V,CL05B473KB5VPNC,TopLayer,50.8,14.575,270
C57,47NF-0402-50V,CL05B473KB5VPNC,TopLayer,42.525,30.45,180
C27,1UF-0201-6.3V,CL03A105MQ3CSNC,TopLayer,18.695,40.1408,90
C34,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,33.0907,44.1659,0
C40,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,32.2657,41.9659,90
C41,1NF-0201-25V,GRM0335C1E102JA01D,TopLayer,20.42,45.2158,90
C45,10NF-0402-50V,C0402C103M5RAC7867,TopLayer,14.545,39.9158,0
C46,15PF-0402,CL05C150JB5NNNC,TopLayer,14.095,38.3408,90
C47,3.3PF-0201,GRM0335C1H3R3CA01D,TopLayer,17.295,43.6158,270
C48,22UF 25V,CL21A226MAYNNNE,TopLayer,15.65,4.55,270
C49,22UF 25V,CL21A226MAYNNNE,TopLayer,19.45,4.55,270
C62,22UF 25V,CL21A226MAYNNNE,TopLayer,21.625,4.55,270
C53,220UF-6.3V-1210-6.3V,T520B227M006ATE045,TopLayer,35.15,4.65,0
D1,PESD5V0U1BB,PESD5V0U1BB,TopLayer,60.2501,17.275,270
D2,PESD5V0U1BB,PESD5V0U1BB,TopLayer,62.025,17.3,270
D3,PESD5V0U1BB,PESD5V0U1BB,TopLayer,62.025,14.8,0
D4,PESD5V0U1BB,PESD5V0U1BB,TopLayer,55.835,14.8,180
DS1,APHHS1005LSECK/J3-PF,APHHS1005LSECK-J3-PF,TopLayer,51.95,32.05,90
FB1,120R-0402,BLM15PD121SN1D,TopLayer,15.02,38.4158,270
FB3,120R-0402,BLM15PD121SN1D,TopLayer,26.17,41.5908,90
FB6,120R-0402,BLM15PD121SN1D,TopLayer,17.17,39.9158,0
FB7,120R-0402,BLM15PD121SN1D,TopLayer,16.62,38.4158,270
FB8,120R-0402,BLM15PD121SN1D,TopLayer,22.52,37.8658,180
FB2,600R-0603,BLM18SP601SH1D,TopLayer,30.45,4.4567,90
FB4,180R-0603,BLM18PG181SN1D,TopLayer,18.4999,6.8553,0
GPS1,9001997,9001997,TopLayer,22.2,23.15,270
L11,10R-0402,7427927110,TopLayer,40.275,30.45,180
L12,1285AS-H-2R2M,1285AS-H-2R2M,TopLayer,27.375,4.1,0
L2,1285AS-H-2R2M,1285AS-H-2R2M,TopLayer,30.497,42.8409,90
L4,LQP03TN8N2J02D,LQP03TN8N2J02D,TopLayer,12.3537,42.3168,0
L5,LQP03TN6N8J02D,LQP03TN6N8J02D,TopLayer,18.42,43.3158,0
M1,NRF9160-SICA-B1A-R,nRF9160-SICA-B1A-R,TopLayer,55.775,24.8,0
Q1,PMF170XP,PMF170XP,TopLayer,48.875,13.725,270
Q2,PMF170XP,PMF170XP,TopLayer,41.825,28.45,90
Q3,SQ2319ADS-T1_GE3,SQ2319ADS-T1_GE3,TopLayer,11.5778,4.6451,180
R1,10K-0402,ERJ-2RKF1002X,TopLayer,43.025,22.185,0
R14,20K-0402,ERJ-2RKF2002X,TopLayer,29.325,5.925,270
R15,1.2M-0402,ERJ-2GEJ125X,TopLayer,48.8,15.7,180
R17,1.2M-0402,ERJ-2GEJ125X,TopLayer,40.25,26.4,180
R2,10R-0402,ERJ-2RKF10R0X,TopLayer,56.025,17.5,270
R3,100R-0402,ERJ-2RKF1000X,TopLayer,52.95,32.05,270
R7,100R-0402,ERJ-2RKF1000X,TopLayer,55.05,17.5,90
R8,100R-0402,ERJ-2RKF1000X,TopLayer,53.075,17.5,90
R9,100R-0402,ERJ-2RKF1000X,TopLayer,54.05,17.5,90
R10,100R-0402,ERJ-2RKF1000X,TopLayer,50.975,32.05,90
R11,100R-0402,ERJ-2RKF1000X,TopLayer,58.2,17.5,270
R12,100R-0402,ERJ-2RKF1000X,TopLayer,57.125,17.5,270
R13,100R-0402,ERJ-2RKF1000X,TopLayer,33.5658,46.7094,90
R16,100R-0402,ERJ-2RKF1000X,TopLayer,32.5907,46.7094,90
R42,100R-0402,ERJ-2RKF1000X,TopLayer,27.5171,41.581,270
R4,10K-0402,ERJ-2RKF1002X,TopLayer,49.95,32.05,90
R6,10K-0402,ERJ-2RKF1002X,TopLayer,13.7556,4.1074,90
R41,10K-0201,ERJ-1GNF1002C,TopLayer,24.52,40.9408,180
RF_GNSS_S1,1.2PF-0201-50V,GJM0335C1H1R2BB01D,TopLayer,11.445,36.8312,270
RF_GNSS_S2,LQP03TN5N6H02D,LQP03TN5N6H02D,TopLayer,11.445,39.0812,270
RF_P1,LQW15AN6N8G00D,LQW15AN6N8G00D,TopLayer,68.3,20.4929,270
RF_P4,1.2PF-0402-50V,GJM1555C1H1R2BB01D,TopLayer,65.15,24.85,270
RF_S1,5.1PF-0402-50V,500R07S5R1BV4T,TopLayer,66.8076,19.9429,180
RF_S2,MHQ1005P1N0BT000,MHQ1005P1N0BT000,TopLayer,66.2576,23.75,270
SIM1,0201AAAG06A,0201AAAG06A,TopLayer,59.075,7.175,0
U1,M95P32-IXMNT-E,M95P32-IXMNT-E,TopLayer,41.67,17.2481,270
U14,TPS22915CYFPR,TPS22915CYFPR,TopLayer,27.475,43.2868,0
U15,TPS22915CYFPR,TPS22915CYFPR,TopLayer,25.17,42.0658,180
U2,LIS2DH12TR,LIS2DH12TR,TopLayer,50.775,17.475,270
U3,BGM220PC22WGA2,BGM220PC22WGA2,TopLayer,43.275,42.745,0
U4,CXD5612GF-T2,CXD5612GF-T2,TopLayer,21.4134,42.1408,0
U5,MAX38640AENT,MAX38640AENT+,TopLayer,33.8658,42.4159,90
U6,SAFFB1G56KB0F0A,SAFFB1G56KB0F0A,TopLayer,12.3537,40.8408,90
U7,SAFFB1G56KB0F0A,SAFFB1G56KB0F0A,TopLayer,15.9003,42.9237,0
U8,BGA524N6E6327XTSA1,BGA524N6E6327XTSA1,TopLayer,14.0502,42.27,180
U9,MAX38640AELT,MAX38640AELT+T,TopLayer,24.475,5.425,180
Y2,NT2016SA-26.000000MHz-NBG2,NT2016SA-26.000000MHz-NBG2,TopLayer,25.045,45.6158,180
