Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,1004795,1004795,TopLayer,75.5011,30.8974,270
C1,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,45.6500,26.1250,0
C3,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,45.6500,25.0250,0
C19,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,29.3500,46.2250,90
C25,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,29.3500,40.0000,270
C34,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,28.3750,40.0000,90
C42,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,31.9000,40.0000,90
C12,100NF-0402-50V,CL05B104KB54PNC,TopLayer,14.0250,8.0750,90
C54,100NF-0402-50V,CL05B104KB54PNC,TopLayer,16.9250,4.2000,180
C13,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,16.2750,8.1000,180
C15,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,19.0000,7.1750,270
C56,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,20.8750,7.1750,270
C14,100PF-0201-50V,GRM0335C1H101JA01D,TopLayer,12.2000,8.6000,180
C17,100PF-0201-50V,GRM0335C1H101JA01D,TopLayer,28.3500,45.9750,270
C2,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,45.9000,24.1500,0
C4,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,48.9750,32.8750,270
C7,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,48.9750,19.0750,90
C9,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,62.5250,14.5250,0
C16,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,30.2500,47.3750,270
C20,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,30.2250,40.2500,90
C21,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,63.9250,14.5250,180
C22,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,44.0000,30.4000,90
C24,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,34.3500,43.0500,270
C26,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,31.0500,45.9750,90
C27,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,33.2750,43.0487,90
C29,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,39.4250,42.0500,270
C31,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,36.6500,40.2500,90
C32,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,34.3500,44.4500,90
C33,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,33.2750,44.4500,90
C43,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,31.0500,40.2500,90
C44,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,25.2353,40.2492,270
C48,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,25.5500,8.6000,180
C55,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,37.5500,40.2500,90
C62,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,48.9750,15.9000,270
C65,100NF-0201-10V,CL03A104KP3NNNC,TopLayer,56.5000,34.8000,180
C23,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,39.0750,46.6750,270
C30,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,40.4250,46.6750,270
C35,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,33.1250,46.6750,270
C36,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,34.5000,46.6750,270
C39,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,41.3000,42.0750,0
C40,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,42.0500,46.6750,270
C50,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,53.9250,33.5750,270
C59,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,23.2750,8.3510,180
C60,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,23.2750,7.0510,180
C28,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,38.4500,40.0000,270
C37,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,39.3750,40.0000,270
C38,10NF-0402-50V,C0402C103M5RAC7867,TopLayer,18.7500,4.2000,0
C45,10NF-0402-50V,C0402C103M5RAC7867,TopLayer,24.0750,40.4750,90
C41,1NF-0201-25V,GRM0335C1E102JA01D,TopLayer,26.7000,41.9250,0
C46,15PF-0402-50V,CL05C150JB5NNNC,TopLayer,22.9750,40.4750,90
C47,3.3PF-0201-50V,GJM0335C1H3R3BB01D,TopLayer,26.9250,43.9750,90
C5,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,47.9000,33.5750,90
C6,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,47.9000,18.3750,270
C63,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,52.4250,15.8500,180
C64,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,53.0750,18.3750,270
C51,47NF-0201-10V,GRM033R61A473KE84D,TopLayer,50.3250,15.9000,270
C57,220UF-6.3V-1210-6.3V,T520B227M006ATE045,TopLayer,45.0000,34.6250,90
C8,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,60.4500,14.5250,0
C10,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,56.0000,14.5250,180
C11,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,58.5000,14.5250,180
C18,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,30.2500,45.9750,270
C49,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,27.0000,8.6000,0
D1,PESD5V0U1BB,PESD5V0U1BB,TopLayer,58.7250,18.7000,270
D2,PESD5V0U1BB,PESD5V0U1BB,TopLayer,62.3250,18.7000,270
D3,PESD5V0U1BB,PESD5V0U1BB,TopLayer,60.1500,18.7000,270
D4,PESD5V0U1BB,PESD5V0U1BB,TopLayer,61.2375,18.7000,270
DS1,APHHS1005LSECK/J3-PF,APHHS1005LSECK-J3-PF,TopLayer,56.6750,18.7500,90
FB1,120R-0402,BLM15PD121SN1D,TopLayer,23.5201,41.8500,180
FB2,120R-0402,BLM15PD121SN1D,TopLayer,35.7250,39.9250,90
FB3,120R-0402,BLM15PD121SN1D,TopLayer,31.9000,46.3000,90
FB4,BLM18PG181SN1D,BLM18PG181SN1D,TopLayer,16.4000,6.0000,0
GPS1,9001997,9001997,TopLayer,21.2697,25.6904,270
L1,XFL4020-222MEC,XFL4020-222MEC,TopLayer,27.0500,5.8500,90
L2,VLS201610CX-2R2M-1,VLS201610CX-2R2M-1,TopLayer,36.8000,46.3500,180
L3,VLS201610CX-2R2M-1,VLS201610CX-2R2M-1,TopLayer,41.2000,43.8750,180
L4,LQP03TN6N8J02D,LQP03TN6N8J02D,TopLayer,21.2750,43.5625,0
L5,LQP03TN10NJ02D,LQP03TN10NJ02D,TopLayer,28.1000,44.2750,0
M1,NRF9160-SICA-B1A-R,nRF9160-SICA-B1A-R,TopLayer,55.4750,25.9750,0
Q1,NX3008CBKS,NX3008CBKS,TopLayer,30.6750,6.5000,270
Q2,SQ2319ADS-T1_GE3,SQ2319ADS-T1_GE3,TopLayer,12.2750,5.3000,180
Q3,PMF170XP,PMF170XP,TopLayer,50.9750,18.3000,90
R1,10K-0201,ERJ-1GNF1002C,TopLayer,48.9750,34.2750,90
R12,10K-0201,ERJ-1GNF1002C,TopLayer,34.3500,41.6500,90
R13,10K-0201,ERJ-1GNF1002C,TopLayer,33.2750,41.6500,90
R22,10K-0201,ERJ-1GNF1002C,TopLayer,47.8750,15.9000,90
R10,100K-0201,ERJ-1GNF1003C,TopLayer,34.3500,40.2500,90
R11,100K-0201,ERJ-1GNF1003C,TopLayer,33.2750,40.2500,270
R15,200K-0402,ERJ-2RKF2003X,TopLayer,33.7250,6.3750,270
R25,200K-0402,ERJ-2RKF2003X,TopLayer,45.5750,30.6250,180
R16,40.2K-0402,ERJ-2RKF4022X,TopLayer,20.7500,4.2000,0
R17,1.2M-0201,ERJ-1GNJ125C,TopLayer,48.9750,17.6750,270
R18,249K-0201,ERJ-1GNF2493C,TopLayer,25.5500,3.1000,0
R2,100R-0402,ERJ-2RKF1000X,TopLayer,51.7263,33.2000,90
R3,100R-0402,ERJ-2RKF1000X,TopLayer,50.7138,33.2000,90
R4,100R-0402,ERJ-2RKF1000X,TopLayer,53.3987,11.4750,90
R5,100R-0402,ERJ-2RKF1000X,TopLayer,51.4487,11.4750,90
R6,100R-0402,ERJ-2RKF1000X,TopLayer,52.4237,11.4750,90
R24,10K-0402,ERJ-2RKF1002X,TopLayer,14.9750,4.2000,180
R26,10R-0402,ERJ-2RKF10R0X,TopLayer,52.7250,33.2000,90
R7,150R-0402,ERJ-2RKF1500X,TopLayer,55.7250,18.7500,270
R8,470K-0402,ERJ-2RKF4703X,TopLayer,30.6750,4.2000,180
R14,470K-0402,ERJ-2RKF4703X,TopLayer,33.2250,4.2000,180
R9,1M-0402,ERJ-2RKF1004X,TopLayer,32.6750,6.3750,270
RF_GNSS_P1,0.4PF-0201-50V,GJM0335C1HR40WB01D,TopLayer,20.0750,39.1500,0
RF_GNSS_S1,2PF-0201-50V,GJM0335C1H2R0BB01D,TopLayer,20.3750,40.2492,90
RF_GNSS_S2,0R-0201,ERJ-1GN0R00C,TopLayer,20.3750,38.0500,90
RF_P1,LQW15AN6N8G00D,LQW15AN6N8G00D,TopLayer,67.6250,19.3000,90
RF_P4,1.2PF-0402-50V,QSCF500Q1R2B1GV001T,TopLayer,65.2000,25.9250,225
RF_R1,0R-0402,ERJ-2GE0R00X,TopLayer,73.8000,6.6000,270
RF_R2,0R-0402,ERJ-2GE0R00X,TopLayer,72.7750,5.2250,270
RF_S1,5.1PF-0402-50V,QSCF500Q5R1B1GV001T,TopLayer,67.6250,21.2750,90
RF_S2,MHQ1005P1N0BT000,MHQ1005P1N0BT000,TopLayer,65.8500,24.5000,135
SIM1,0201AAAG06A,0201AAAG06A,TopLayer,59.4500,7.3000,0
U1,LSF0102DQER,LSF0102DQER,TopLayer,45.5750,29.0500,90
U11,SST26VF064BT-104I-MF,SST26VF064BT-104I-MF,TopLayer,46.7000,12.2150,0
U2,TPS62901RPJR,TPS62901RPJR,TopLayer,23.3039,4.9886,0
U3,LIS2DH12TR,LIS2DH12TR,TopLayer,56.4750,33.2125,90
U4,CXD5605AGF-T2,CXD5605AGF-T2,TopLayer,30.6500,43.1000,0
U5,CXA3846GF-T2,CXA3846GF-T2,TopLayer,37.0000,43.0750,90
U6,SAFFB1G56KB0F0A,SAFFB1G56KB0F0A,TopLayer,21.2837,42.0250,90
U7,SAFFB1G56KB0F0A,SAFFB1G56KB0F0A,TopLayer,25.3000,43.9663,0
U8,BGA824N6E6327XTSA1,BGA824N6E6327XTSA1,TopLayer,23.1750,43.5625,180
XTAL1,32.768KHZ 6PF,TFX-04C-32.768KJ14482,TopLayer,41.0750,40.0500,270
Y1,26.000000M-2016,NT2016SA-26.000000MHZ-NBG2,TopLayer,26.7250,40.2250,90
