Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
C1,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,34.0000,21.8000,0
C2,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,32.5000,21.8000,0
C8,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,25.6750,20.3500,180
C19,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,10.4000,9.3000,0
C20,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,11.8000,9.3000,0
C21,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,11.1000,3.2000,270
C15,10PF-0402-50V,CL05C100JB5NNNC,BottomLayer,20.3250,22.2500,90
C16,10PF-0402-50V,CL05C100JB5NNNC,BottomLayer,17.9750,19.7500,90
C23,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,4.7000,9.7500,180
C3,100NF-0402-50V,CL05B104KB54PNC,TopLayer,32.8000,19.6000,270
C10,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,21.5250,16.2250,90
C13,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,25.0250,16.3500,270
C18,100NF-0402-50V,CL05B104KB54PNC,TopLayer,13.2000,9.7000,180
C24,100NF-0402-50V,CL05B104KB54PNC,TopLayer,4.7000,6.7000,180
C26,100NF-0402-50V,CL05B104KB54PNC,TopLayer,6.6000,10.2000,270
C30,100NF-0402-50V,CL05B104KB54PNC,TopLayer,7.2000,13.9000,90
C4,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,18.4750,17.9500,90
C5,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,18.4750,13.7500,90
C6,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,18.4750,15.8500,90
C9,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,21.5250,17.9500,90
C12,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,25.0250,15.4500,270
C25,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,9.1000,9.7000,180
C7,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,20.5250,12.3000,270
C11,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,25.0250,18.1500,270
C14,33PF-0402-50V,CL05C330JB5NNNC,BottomLayer,25.0250,17.2500,270
C17,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,14.3000,9.7000,180
C22,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,7.0250,2.5000,0
D1,PESD0U1BB,"PESD5V0U1BB,115",TopLayer,3.4000,9.8000,180
DS1,-0402-1.8V,APHHS1005LSECK/J3-PF,TopLayer,37.7000,24.5000,90
FB1,BLM18SP601SH1D,BLM18SP601SH1D,BottomLayer,18.0000,12.4750,0
FB2,BLM18SP601SH1D,BLM18SP601SH1D,TopLayer,3.4000,7.2000,270
FB3,BLM15PD121SN1D,BLM15PD121SN1D,TopLayer,15.4000,9.7000,180
L1,1285AS-H-2R2M,1285AS-H-2R2M=P2,BottomLayer,23.6750,20.4500,180
L2,1285AS-H-2R2M,1285AS-H-2R2M=P2,TopLayer,11.1000,5.7000,180
Q1,NX3008CBKS,"NX3008CBKS,115",TopLayer,14.4000,5.7000,270
R1,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,41.5000,24.5000,0
R2,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,40.2000,24.5000,0
R3,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,42.7000,24.5000,0
R4,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,38.9500,24.5000,180
R10,270K-0402-0402-50V,ERJ-2RKF2703X,TopLayer,16.4000,7.2000,180
R12,10R-0402-0402-50V,ERJ-2RKF10R0X,TopLayer,7.2000,15.0000,90
R5,0R-0402,ERJ-2GE0R00X,BottomLayer,26.1250,22.3500,90
R13,0R-0402,ERJ-2GE0R00X,TopLayer,3.2500,22.6430,90
R6,1.2M-0402-0402-50V,ERJ-2GEJ125X,TopLayer,32.8000,18.5000,90
R8,1.2M-0402-0402-50V,ERJ-2GEJ125X,TopLayer,7.5000,7.9000,90
R11,1.2M-0402-0402-50V,ERJ-2GEJ125X,TopLayer,14.4250,3.1000,90
R7,768K-0402,ERJ-2RKF7683X,TopLayer,7.5000,6.9000,90
R9,768K-0402,ERJ-2RKF7683X,TopLayer,14.3500,7.7000,90
U1,BGM240PANA3-1536-22V,BGM240PA22VNA3,TopLayer,42.7500,16.0000,270
U2,A121-001-T&R,A121-001-T&R,TopLayer,20.7250,15.8500,90
U3,MAX38641AELT,MAX38641AELT+T,TopLayer,7.9500,4.9000,180
U4,TPS22915CYFPR-2291-5.5V,TPS22915CYFPR,TopLayer,7.9000,9.1000,270
U6,DRV5032FBDBZR,DRV5032FBDBZR,TopLayer,2.7730,15.9750,90
Y1,24MHZ-9PF-50R,FCX-06-24MJ32408,BottomLayer,20.3250,20.4000,90
