Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,YC0017BA,YC0017BA,TopLayer,46.375,16.475,270
ANT2,YC0009AA,YC0009AA,TopLayer,4.988,30.0125,180
C1,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,13.825,18.1,90
C6,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,16.575,28.125,90
C9,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,17.875,28.125,90
C22,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,24.475,5.1,90
C23,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,25.825,5.1,90
C10,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,26.725,2.825,270
C19,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,7.7,17.225,0
C2,100NF-0402-50V,CL05B104KB54PNC,TopLayer,12.25,17.225,0
C5,100NF-0402-50V,CL05B104KB54PNC,TopLayer,22.275,28.575,90
C11,100NF-0402-50V,CL05B104KB54PNC,TopLayer,7.7,16.325,180
C12,100NF-0402-50V,CL05B104KB54PNC,TopLayer,12.375,27.5,270
C18,100NF-0402-50V,CL05B104KB54PNC,TopLayer,16.35,4.25,270
C21,100NF-0402-50V,CL05B104KB54PNC,TopLayer,19.175,2.825,0
C24,100NF-0402-50V,CL05B104KB54PNC,TopLayer,24.775,2.825,180
C27,100NF-0402-50V,CL05B104KB54PNC,TopLayer,4.975,23.05,270
C20,LQG15HN4N7S02D,LQG15HN4N7S02D,TopLayer,7.925,25.225,90
C25,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,21.05,30.6,180
C3,220UF-6.3V,T520B227M006ATE045,TopLayer,20.675,4.975,180
C30,1.3PF-0402-50V,GJM1555C1H1R3WB01D,TopLayer,10.275,24.725,180
C31,1.6PF-0402-50V,GJM1555C1H1R6BB01D,TopLayer,10.75,27.5,270
C32,0.7PF-0402-50V,GJM1555C1HR70WB01D,TopLayer,10.25,29.05,180
C7,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,21.05,28.575,270
C13,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,15.4,4.25,270
C14,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,12.65,14.625,270
C15,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,10.35,14.625,270
C16,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,7.225,14.625,270
C28,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,4.05,23.05,270
C29,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,8.85,28.575,90
C8,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,2.7,6.425,270
D1,PESD0U1BB,"PESD5V0U1BB,115",TopLayer,3.125,4.7,180
D2,PESD0U1BB,"PESD5V0U1BB,115",TopLayer,3.125,3.6,180
D3,PESD0U1BB,"PESD5V0U1BB,115",TopLayer,16.35,6.45,270
D4,PESD0U1BB,"PESD5V0U1BB,115",TopLayer,8.225,14.725,270
DS1,-0402-1.8V,APHHS1005LSECK/J3-PF,TopLayer,27.725,5.1,180
FB1,BLM15PD121SN1D,BLM15PD121SN1D,TopLayer,9.975,17.225,180
L1,0R-0402,ERJ-2GE0R00X,TopLayer,8.4,27.025,0
RF_S1,0R-0402,ERJ-2GE0R00X,TopLayer,33.05,7.5,0
RF_S3,0R-0402,ERJ-2GE0R00X,TopLayer,33.675,5.45,270
L2,LQG15HN3N6S02D,LQG15HN3N6S02D,TopLayer,10.275,25.75,180
L3,LQG15HN3N6S02D,LQG15HN3N6S02D,TopLayer,9.8,27.5,270
R1,10R-0402-0402-50V,ERJ-2RKF10R0X,TopLayer,12.15,16.3,0
