Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
Battery Pack1,300MAH-5106-3.7V,UB2629,,,,
C1,100NF-0402-50V,CL05B104KB54PNC,TopLayer,53.75,35.1,180.0
C3,100NF-0402-50V,CL05B104KB54PNC,TopLayer,53.6,20.5,270.0
C6,100NF-0402-50V,CL05B104KB54PNC,TopLayer,52.8,25.2,270.0
C11,100NF-0402-50V,CL05B104KB54PNC,TopLayer,38.6,21.3,90.0
C12,100NF-0402-50V,CL05B104KB54PNC,TopLayer,70.375,19.45,90.0
C17,100NF-0402-50V,CL05B104KB54PNC,TopLayer,29.7,10.7,0.0
C37,100NF-0402-50V,CL05B104KB54PNC,TopLayer,22.5,32.4,90.0
C39,100NF-0402-50V,CL05B104KB54PNC,TopLayer,22.9,40.8,180.0
C43,100NF-0402-50V,CL05B104KB54PNC,TopLayer,65.5,42.85,0.0
C45,100NF-0402-50V,CL05B104KB54PNC,TopLayer,61.85,48.2,270.0
C48,100NF-0402-50V,CL05B104KB54PNC,TopLayer,61.25,36.7,270.0
C53,100NF-0402-50V,CL05B104KB54PNC,TopLayer,55.0,17.8,270.0
C14,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,63.775,19.45,270.0
C15,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,66.025,19.45,270.0
C16,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,68.225,19.45,270.0
C23,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,29.7,8.5,180.0
C44,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,66.7,42.8,0.0
C49,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,61.25,37.8,270.0
C54,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,55.0,16.9,270.0
C18,10UF-1206-50V,CL31A106MBHNNNE,TopLayer,9.6,14.4,0.0
C24,10UF-1206-50V,CL31A106MBHNNNE,TopLayer,26.7,17.1,270.0
C19,4.7UF-0805-50V,CL21A475KBQNNNE,TopLayer,23.1,17.8,0.0
C2,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,55.05,35.5,0.0
C4,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,56.2,20.4,270.0
C47,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,63.8,37.6,270.0
C50,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,47.575,20.6,0.0
C20,33PF-0603-50V,CL10C330JB8NNNC,TopLayer,21.3,17.4,0.0
C21,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,31.3,4.8,180.0
C22,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,29.8,4.8,180.0
C30,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,32.9,12.5,0.0
C31,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,35.2,15.4,270.0
C40,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,68.5,38.6,180.0
C41,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,67.5,45.65,0.0
C42,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,66.0,45.65,0.0
C51,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,57.975,18.325,270.0
C55,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,51.7,16.9264,90.0
C25,8.2NF-0402-50V,CL05B822KB5NNNC,TopLayer,23.1,15.3,270.0
C26,470PF-0402-50V,CL05B471KB5NNNC,TopLayer,23.1,13.1,90.0
C28,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,37.8,8.5,180.0
C29,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,35.4,6.3,90.0
C32,1NF-0402-50V,CL05B102JB5NNNC,TopLayer,6.6,44.5,180.0
C33,1UF-0603-50V,CL10A105KB8NNNC,TopLayer,19.9,24.5,180.0
C34,1UF-0603-50V,CL10A105KB8NNNC,TopLayer,15.2,24.6,180.0
C35,220PF-0603-50V,CL10C221JB81PNC,TopLayer,20.6,22.3,90.0
C36,220PF-0603-50V,CL10C221JB81PNC,TopLayer,20.6,40.5,90.0
C38,220PF-0603-50V,CL10C221JB81PNC,TopLayer,20.6,34.5,90.0
C5,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,52.8,27.4,270.0
C7,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,52.8,26.3,270.0
D1,PESD0U1BB,PESD5V0U1BB,TopLayer,70.475,20.55,90.0
D2,PESD0U1BB,PESD5V0U1BB,TopLayer,68.175,20.55,270.0
D3,PESD0U1BB,PESD5V0U1BB,TopLayer,65.975,20.55,270.0
D4,PESD0U1BB,PESD5V0U1BB,TopLayer,63.675,20.55,270.0
D10,7,MMSZ4688T1G,TopLayer,16.8,20.1,0.0
D11,7,MMSZ4688T1G,TopLayer,16.8,32.5,0.0
D12,7,MMSZ4688T1G,TopLayer,16.8,40.5,0.0
D13,7,MMSZ4688T1G,TopLayer,16.8,34.5,0.0
D14,7,MMSZ4688T1G,TopLayer,16.8,27.1,0.0
D5,STPS3L60U,STPS3L60U,TopLayer,8.9,7.065,90.0
D6,DFLS160-7,DFLS160-7,TopLayer,23.1,5.2,270.0
D7,SLD8S33A-7000-53.3V,SLD8S33A,TopLayer,16.25,10.7,270.0
D8,PMEG10010ELRX,PMEG10010ELRX,TopLayer,33.0,8.1,90.0
D9,BAV99WT1G,BAV99WT1G,TopLayer,4.8,41.8,90.0
DS1,-0402-1.85V,QBLP595-R5-2897,TopLayer,7.0,13.55,0.0
F1,TRF250-183-2,TRF250-183-2,TopLayer,4.75,7.5,270.0
FB1,BLM18PG331SN1D,BLM18PG331SN1D,TopLayer,19.8,17.4,270.0
FB2,BLM15PD121SN1D,BLM15PD121SN1D,TopLayer,67.9,42.8,180.0
FB3,BLM15PD121SN1D,BLM15PD121SN1D,TopLayer,55.0,18.7,90.0
G_RF_P1,MHQ1005P9N1JT000,MHQ1005P9N1JT000,TopLayer,51.7,42.475,180.0
G_RF_S1,2.7PF-0402-50V,GJM1555C1H2R7BB01D,TopLayer,51.7,44.4,180.0
G_RF_S2,0R-0402,ERJ-2GE0R00X,TopLayer,53.125,43.025,270.0
G_RF_S3,0R-0402,ERJ-2GE0R00X,TopLayer,56.025,43.025,270.0
RF_P1,0R-0402,ERJ-2GE0R00X,TopLayer,78.1,22.145,90.0
J1,PCS.06A,PCS.06A,TopLayer,85.65,27.0,270.0
J3,,532530370,TopLayer,41.3,5.4,0.0
J4,OC-500-10011-RS1-12,OC-500-10011-RS1-12,TopLayer,7.125,27.0,270.0
L2,XFL4020-332MEC,XFL4020-332MEC,TopLayer,26.7,5.6,0.0
M1,NRF9160-SICA-B1A-R,NRF9160-SICA-B1A-R,TopLayer,62.8,27.3,0.0
PATCH1,,9001997,TopLayer,39.7,40.2,270.0
Q1,PMF170XP,PMF170XP,TopLayer,35.4,8.5,270.0
R1,10K-0402-0402-50V,ERJ-2RKF1002X,TopLayer,56.35,35.1,180.0
R20,10K-0402-0402-50V,ERJ-2RKF1002X,TopLayer,37.8,10.7,180.0
R11,1M-0402-0402-50V,ERJ-2RKF1004X,TopLayer,25.4,19.1,270.0
