Designator,Value,Center-X,Center-Y,Rotation
Battery Pack1,UB2261-1100mAH,,,
C1,4.7uF-6.3V,13.4750,50.2000,0
C3,4.7uF-6.3V,14.9750,49.7000,90
C40,4.7uF-6.3V,18.2000,8.5000,270
C12,33pF-50V,21.8000,65.9500,270
C15,33pF-50V,21.8000,60.3250,270
C16,33pF-50V,21.8000,63.1500,270
C20,33pF-50V,40.0000,50.7750,90
C31,33pF-50V,3.6750,61.8000,90
C34,33pF-50V,4.1250,9.6000,0
C39,33pF-50V,15.1000,2.6250,90
C17,100nF-50V,31.8000,53.8000,180
C19,22uF-10V,39.3051,47.8700,270
C21,22uF-10V,40.6814,47.8700,270
C29,22uF-10V,24.1750,46.0500,180
C30,22uF-10V,24.2500,51.4000,180
C37,22uF-10V,16.5000,3.3500,270
C38,22uF-10V,18.1000,3.3500,270
C2,100nF-6.3V,15.8750,49.9500,90
C4,100nF-6.3V,7.6750,51.6750,90
C7,100nF-6.3V,21.7750,50.8500,180
C13,100nF-6.3V,21.8000,57.5000,90
C14,100nF-6.3V,21.0000,57.5000,90
C33,100nF-6.3V,3.6750,60.4000,270
C35,100nF-6.3V,17.2000,8.2250,270
C36,100nF-6.3V,17.8500,5.2750,180
C46,100nF-6.3V,4.9000,47.1000,0
C48,100nF-6.3V,11.1250,47.1000,0
C22,10uF-50V,36.1250,46.2500,180
C23,10uF-50V,36.1250,43.7500,180
C24,4.7uF-50V,25.2250,53.1000,180
C25,33pF-50V,32.7000,45.8500,90
C26,470pF-50V,30.1250,48.1000,0
C27,1uF-10V,34.7750,41.1500,90
C28,1uF-10V,40.9750,36.9750,0
C41,10nF-10V,5.8500,6.4000,90
C42,1nF-50V,21.3250,44.4000,270
C43,220pF-50V,8.2250,39.2500,90
C45,220pF-50V,14.7250,39.2500,90
C47,220pF-50V,21.2250,39.2500,90
C44,0R-0.5A,3.1250,8.5000,270
C49,8.2nF-50V,27.5000,48.6500,90
C5,10uF-6.3V,6.5750,51.0500,270
C6,10uF-6.3V,21.3250,51.9500,0
C11,10uF-6.3V,3.2750,52.0500,270
C32,10uF-6.3V,4.8750,61.2250,90
C8,3.9pF-50V,17.5500,69.7250,0
C9,0.5pF-50V,12.6500,69.7250,180
D1,ESDL031-1BF4,6.4776,65.2986,90
D2,ESDL031-1BF4,6.4776,66.6736,90
D3,ESDL031-1BF4,6.4776,63.9236,90
D4,ESDL031-1BF4,21.7974,61.7014,270
D5,ESDL031-1BF4,21.7974,58.9014,270
D6,ESDL031-1BF4,21.7974,64.5514,270
D7,ESDL031-1BF4,21.7974,67.3764,270
D10,SLD8S33A,32.3250,34.5500,180
D11,PMEG10010ELRX,39.3250,39.5750,90
D12,3V3,24.1000,42.7000,0
D13,4V7,11.3250,40.7000,180
D14,4V7,17.9250,40.7000,180
D15,4V7,17.9250,42.6000,180
D16,4V7,24.1250,40.8000,180
D17,4V7,5.3250,40.9500,180
D8,STPS3L60U,28.4500,42.9750,90
D9,DFLS160-7,36.7500,53.3750,0
DS1,APHHS1005LSECK-J3-PF,7.5750,65.8000,90
FB1,BLM18PG331SN1D,31.4250,44.1500,90
FB2,BLM15PD121SN1D,16.5000,5.9000,270
GPS1,,12.3250,21.8000,0
J1,SR4L002,20.6000,78.4000,90
L1,3.3nH,14.6500,69.7250,0
L2,27nH,23.1000,71.5000,90
L3,12nH,18.6500,70.6250,180
L4,3.3uH,36.3150,49.8000,0
L7,8.2nH,3.5750,6.7000,0
P1,,42.5500,31.7250,270
P2,SM10B-PASS,31.9500,14.0250,270
PTC1,TRF250-183,28.1000,-0.7000,0
Q1,PMF170XP,36.8500,41.1750,180
Q2,NCV8402ASTT1G,23.7750,6.0500,0
R1,10k,7.5750,52.7500,180
R15,10k,37.9750,39.3000,270
R23,10k,4.1250,4.7500,90
R11,82k,32.6000,48.9250,270
R13,82k,39.2000,52.3750,90
R12,47k,39.2000,50.7750,90
R16,1.1k,38.2000,36.2250,90
R19,10R,2.6500,60.7000,270
R2,100k,5.1750,52.4250,90
R8,100k,30.1000,49.1250,0
R10,100k,28.6000,48.5500,90
R14,100k,39.0000,30.9000,270
R17,100k,39.0000,28.2500,270
R18,100k,36.9500,38.8500,270
R24,100k,6.9250,38.9000,270
R25,100k,23.0250,44.2000,0
R29,100k,13.4250,38.9000,270
R32,100k,14.9250,43.1703,90
R35,100k,19.9250,38.9000,270
R20,1.5k,12.2000,1.8000,0
R22,1.5k,10.8750,1.8000,0
R26,10k,10.8250,38.7750,0
R30,10k,17.4250,38.7500,0
R33,10k,17.6500,44.5250,0
R36,10k,23.9250,38.8000,0
R28,4.7k,21.3250,42.3000,90
R38,2.2k,2.5250,39.1500,270
R39,150R,4.6208,39.1694,0
R5,150R,7.5750,63.8000,270
R21,150R,15.4500,5.9000,90
R27,150R,17.2500,49.6000,270
R31,150R,18.1500,49.6000,270
R34,150R,10.5250,49.6000,90
R37,150R,19.0500,49.6000,270
R40,150R,9.6250,49.6000,90
R6,1M,29.6000,46.8000,180
R7,430k,33.4250,48.9250,90
R9,51k,27.2000,46.8000,0
SIM HOLDER1,78800-0001,,,
U1,nRF9160-SICA-B1A-R,14.0750,59.5000,90
U10,EVA-M8Q-0-10,10.6000,5.9000,0
U11,SN74LVC14ARGYR,11.0251,44.3001,270
U12,SN74LVC125ARGYR,4.7751,44.3001,270
U2,SST26VF032BT-104I-MF,4.7000,56.3500,180
U3,TPS54160DGQ,30.5000,51.5000,0
U4,LTC4065LEDC-4.1#TRMPBF,38.8000,34.1000,90
U5,ADP162AUJZ-3.3-R7,24.1000,48.7000,270
U6,LIS2DH12TR,6.7750,61.0000,180
U7,TPS22915CYFPR,17.9750,6.6500,0
U8,SAFFB1G56KB0F0A,2.2413,7.1250,270
U9,BGA824N6E6327XTSA1,4.6500,6.7000,180
Y1,32.768kHz,5.7000,3.7000,270
