Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,P622301,P622301,TopLayer,44.4740,23.2560,270
ANT2,YC0009AA,YC0009AA,TopLayer,21.7875,46.6875,180
C1,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,14.6000,12.8000,0
C3,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,16.2000,27.9000,270
C7,100NF-0402-50V,CL05B104KB54PNC,TopLayer,3.6000,20.9000,270
C8,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,34.2000,30.5500,180
C13,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,24.9000,30.8000,0
C18,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,16.9000,38.6000,0
C22,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,8.1000,35.1000,0
C24,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,31.0250,9.8500,0
C26,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,33.0884,3.2884,180
C27,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,35.1134,11.7000,0
C28,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,36.5000,6.4000,180
C30,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,35.4884,2.7884,270
C33,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,34.2134,11.7000,0
C34,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,28.3250,11.7000,0
C35,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,29.2250,11.7000,0
C37,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,16.0000,9.8000,270
C39,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,11.4000,5.1000,90
C40,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,31.5250,11.7000,180
C46,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,3.5000,2.5000,180
C51,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,10.7000,3.2000,0
C54,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,3.5000,17.5000,90
C58,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,10.9000,7.7000,180
C62,100NF-0402-50V,CL05B104KB54PNC,BottomLayer,29.1250,33.9500,180
C15,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,14.4000,36.2000,90
C19,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,11.7100,34.5400,0
C31,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,35.4884,3.6884,270
C41,1UF-0402-10V,CL05A105KP5NNNC,BottomLayer,27.7000,6.2000,90
C2,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,15.8000,11.1000,90
C4,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,16.6000,26.7000,90
C12,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,26.2000,31.3000,180
C17,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,15.7000,38.9000,180
C21,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,6.1000,33.2000,270
C36,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,15.6000,8.6000,90
C38,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,15.0000,5.1000,90
C52,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,8.3500,18.7000,180
C53,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,9.8500,18.7000,180
C56,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,9.3000,16.3000,270
C57,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,8.0000,10.1000,180
C59,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,8.8000,6.7000,270
C61,22UF-0603-10V,CL10A226MP8NUNE,BottomLayer,35.1000,42.0000,90
C42,10NF-0402-50V,C0402C103M5RAC7867,BottomLayer,26.3000,4.0000,0
C60,10NF-0402-50V,C0402C103M5RAC7867,BottomLayer,3.5000,13.9000,90
C44,1NF-0402-50V,CL05B102JB5NNNC,BottomLayer,29.6000,6.2000,90
C45,100PF-0402-50V,CL05C101JB5NNNC,BottomLayer,3.6000,6.9000,0
C47,22UF-0805-25V,CL21A226MAYNNNE,BottomLayer,6.2000,1.2000,90
C48,22UF-0805-25V,CL21A226MAYNNNE,BottomLayer,10.3500,1.2000,270
C50,22UF-0805-25V,CL21A226MAYNNNE,BottomLayer,4.4500,11.5000,90
C49,220UF-6.3V,T520B227M006ATE045,BottomLayer,11.6000,24.4000,90
C5,4.7UF-0402-6.3V,CL05A475KQ5NRNC,BottomLayer,13.0000,19.5000,90
