Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,,,TopLayer,75.5011,30.8974,270
C1,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,46.3000,16.5750,0
C9,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,39.8500,28.4250,270
C12,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,22.6500,42.5250,270
C39,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,46.2750,31.7250,180
C40,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,46.2750,17.8750,180
C51,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,26.0750,6.3000,180
C52,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,30.4500,4.4567,270
C55,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,44.1000,28.4250,270
C10,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,40.1500,33.6000,0
C11,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,21.5000,42.0750,90
C30,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,27.0250,45.8750,180
C13,100NF-0402-50V,CL05B104KB54PNC,TopLayer,14.5250,48.1500,270
C31,100NF-0402-50V,CL05B104KB54PNC,TopLayer,27.0250,41.6000,180
C47,100NF-0402-50V,CL05B104KB54PNC,TopLayer,15.6692,4.0067,270
C58,100NF-0402-50V,CL05B104KB54PNC,TopLayer,23.1750,3.5250,0
C61,100NF-0402-50V,CL05B104KB54PNC,TopLayer,28.0188,4.0067,270
C14,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,20.5000,42.0750,90
C25,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,11.1000,35.8500,0
C34,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,40.1500,32.6000,0
C42,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,57.8500,14.8000,180
C44,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,66.9750,4.4000,180
C45,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,60.0000,14.8000,0
C15,1.5PF-0402-50V,GJM1555C1H1R5WB01D,TopLayer,18.4750,38.7000,180
C16,12PF-0402-50V,GJM1555C1H120FB01D,TopLayer,20.5000,39.6500,180
C18,470NF-0402-16V,CL05A474KP5NNNC,TopLayer,18.5750,48.1500,270
