Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,,,TopLayer,80.0509,29.7243,270
C1,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,49.1000,25.3250,0
C3,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,49.1000,24.3750,0
C17,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,42.5250,37.8250,0
C25,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,39.8250,38.3000,270
C31,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,40.7500,38.3000,90
C59,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,13.1000,10.1750,0
C13,100NF-0402-50V,CL05B104KB54PNC,TopLayer,8.9000,25.0250,270
C52,100NF-0402-50V,CL05B104KB54PNC,TopLayer,32.6250,3.9500,270
C57,100NF-0402-50V,CL05B104KB54PNC,TopLayer,45.9250,6.0750,270
C58,100NF-0402-50V,CL05B104KB54PNC,TopLayer,52.4250,3.9500,90
C62,100NF-0402-50V,CL05B104KB54PNC,TopLayer,53.3500,3.9500,270
C16,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,46.6250,43.2750,180
C18,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,41.9750,39.0353,90
C20,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,43.3250,45.1750,270
C21,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,59.0000,35.2750,90
C22,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,47.5000,28.6750,90
C23,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,45.2500,39.0353,90
C26,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,48.0750,43.2750,0
C29,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,44.4000,39.0353,90
C32,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,42.7750,39.0353,90
C35,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,52.6500,42.7750,180
C39,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,54.1942,38.7250,0
C43,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,57.0250,42.7750,180
C44,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,49.7750,38.7250,0
C55,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,43.5816,39.0353,90
C61,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,12.5500,11.3500,270
C72,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,39.4000,41.2250,270
C73,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,40.5000,41.5250,0
C77,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,48.9250,14.4000,180
C2,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,49.3500,23.4750,0
C4,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,51.6000,18.4750,90
C7,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,51.6250,32.5250,270
C9,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,70.4750,15.6750,90
C10,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,69.6250,15.6750,90
C70,100NF-0201-6.3V,CL03A104KP3NNNC,TopLayer,70.3750,36.5750,270
C27,1UF-0201-6.3V,CL03A105MQ3CSNC,TopLayer,40.8000,40.1000,90
C30,220PF-0201-50V,CL03B221KO3NNNC,TopLayer,52.9500,39.9750,270
C36,220PF-0201-50V,CL03B221KO3NNNC,TopLayer,57.3750,39.9750,270
C34,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,50.5000,43.0000,180
C37,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,54.1500,40.7500,90
C38,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,17.2000,30.3000,270
C40,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,49.7500,40.7500,90
C42,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,54.9250,42.9750,180
C50,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,12.5750,36.7592,90
C65,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,49.0000,11.8000,270
C66,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,47.4750,11.8000,270
C69,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,61.9250,40.7500,270
C71,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,69.3000,35.8750,270
C74,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,15.7250,30.3000,270
C41,1NF-0201-25V,GRM0335C1E102JA01D,TopLayer,42.5250,45.1750,90
C45,10NF-0402-50V,C0402C103M5RAC7867,TopLayer,36.6500,39.8750,0
C46,15PF-0402-50V,CL05C150JB5NNNC,TopLayer,36.2000,38.3000,90
C47,3.3PF-0201-50V,GRM0335C1H3R3BA01D,TopLayer,39.4000,43.5750,270
C49,10PF-0201-50V,GRM0335C1H100JA01D,TopLayer,17.1500,32.1250,0
C5,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,52.6500,33.2250,90
C6,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,52.6500,17.7750,270
C15,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,57.0750,33.2250,270
C51,47NF-0402-50V,CL05B473KB5VPNC,TopLayer,11.0250,33.5000,270
C68,47NF-0402-50V,CL05B473KB5VPNC,TopLayer,66.1000,39.3000,270
C53,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,31.3250,4.8250,90
C54,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,35.9604,4.8000,90
C60,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,48.6500,8.8750,180
C76,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,52.9250,7.9500,270
C56,100PF-0201-50V,GRM0335C1H101JA01D,TopLayer,26.3750,6.5000,270
C63,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,45.9250,3.9500,270
C64,220UF-6.3V,T520B227M006ATE045,TopLayer,48.4000,18.9000,90
C8,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,58.1250,14.7500,0
C11,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,67.9250,15.6750,270
C12,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,68.7500,15.6750,270
C14,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,59.8500,35.2750,90
C48,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,15.7750,32.1250,180
C67,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,47.5250,14.4000,180
C75,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,51.7250,7.9500,90
D4,PESD0U1BB,PESD5V0U1BB,TopLayer,62.7250,18.1750,270
D5,PESD0U1BB,PESD5V0U1BB,TopLayer,66.3750,18.1750,270
D6,PESD0U1BB,PESD5V0U1BB,TopLayer,63.9750,18.1750,270
D7,PESD0U1BB,PESD5V0U1BB,TopLayer,65.2250,18.1750,270
D8,MM5Z18VT1G,MM5Z18VT1G,TopLayer,29.8000,6.0500,270
DS1,-0402-2.9V,IN-S42BT5B,TopLayer,54.8000,32.8500,270
F1,-1210-16V,1210L110/16WR,TopLayer,23.7250,4.3000,0
FB1,BLM15PD121SN1D,BLM15PD121SN1D,TopLayer,37.1250,38.3750,270
FB3,BLM15PD121SN1D,BLM15PD121SN1D,TopLayer,48.2750,41.5500,90
FB6,BLM15PD121SN1D,BLM15PD121SN1D,TopLayer,39.2750,39.8750,0
FB7,BLM15PD121SN1D,BLM15PD121SN1D,TopLayer,38.7250,38.3750,270
FB8,BLM15PD121SN1D,BLM15PD121SN1D,TopLayer,44.6250,37.8250,180
FB4,BLM18PG181SN1D,BLM18PG181SN1D,TopLayer,16.4625,33.2000,0
FB5,BLM18PG181SN1D,BLM18PG181SN1D,TopLayer,33.6250,5.9750,0
GPS1,,,TopLayer,33.5500,22.8500,180
JP1,,,TopLayer,17.2000,4.3750,270
L1,XFL4020-222MEC,XFL4020-222MEC,TopLayer,52.0500,12.6000,90
L2,DFE18SANR47MG0L,DFE18SANR47MG0L,TopLayer,51.8250,41.4250,0
L3,DFE18SANR47MG0L,DFE18SANR47MG0L,TopLayer,56.2500,41.4000,0
L4,LQP03TN8N2J02D,LQP03TN8N2J02D,TopLayer,34.4750,42.2500,0
L5,LQP03TN6N8J02D,LQP03TN6N8J02D,TopLayer,40.5250,43.2750,0
Q1,PMF170XP,PMF170XP,TopLayer,12.9250,33.5750,270
Q4,PMF170XP,PMF170XP,TopLayer,64.1000,40.7500,270
Q2,NX3008CBKS,NX3008CBKS,TopLayer,38.4500,4.8000,180
Q3,SQ2319ADS-T1-GE3,SQ2319ADS-T1_GE3,TopLayer,27.7250,4.5500,180
R1,10K-0201,ERJ-1GNF1002C,TopLayer,51.6250,33.9250,270
R8,10K-0201,ERJ-1GNF1002C,TopLayer,13.6981,37.4592,90
R11,10K-0201,ERJ-1GNF1002C,TopLayer,52.6500,38.7250,0
R21,10K-0201,ERJ-1GNF1002C,TopLayer,13.6500,11.3500,270
R22,10K-0201,ERJ-1GNF1002C,TopLayer,13.6500,12.8000,270
R26,10K-0201,ERJ-1GNF1002C,TopLayer,61.9750,38.7500,180
R27,10K-0201,ERJ-1GNF1002C,TopLayer,63.4000,38.7500,0
R41,10K-0201,ERJ-1GNF1002C,TopLayer,46.6250,40.9000,180
R12,30.1K-0201,ERJ-1GNF3012C,TopLayer,51.2125,38.7250,180
R32,30.1K-0201,ERJ-1GNF3012C,TopLayer,55.6346,38.7250,180
R13,60.4K-0201,ERJ-1GNF6042C,TopLayer,57.0750,38.7250,0
R15,1M-0402,ERJ-2RKF1004X,TopLayer,40.5000,6.0000,90
R18,1M-0402,ERJ-2RKF1004X,TopLayer,34.0750,3.4750,180
R16,470K-0402,ERJ-2RKF4703X,TopLayer,34.0750,4.4250,0
R17,10K-0402,ERJ-2RKF1002X,TopLayer,29.8104,4.0250,90
R19,200K-0402,ERJ-2RKF2003X,TopLayer,40.5000,4.0250,270
R23,200K-0402,ERJ-2RKF2003X,TopLayer,13.0250,14.0000,0
R25,200K-0402,ERJ-2RKF2003X,TopLayer,49.0250,30.2000,180
R2,150R-0402,ERJ-2RKF1500X,TopLayer,61.4750,18.2000,270
R3,150R-0402,ERJ-2RKF1500X,TopLayer,60.5250,18.2000,270
R4,150R-0402,ERJ-2RKF1500X,TopLayer,53.7750,32.8500,90
R9,150R-0402,ERJ-2RKF1500X,TopLayer,29.7000,47.7500,270
R28,150R-0402,ERJ-2RKF1500X,TopLayer,58.7000,18.2000,90
R29,150R-0402,ERJ-2RKF1500X,TopLayer,56.7500,18.2000,90
R30,150R-0402,ERJ-2RKF1500X,TopLayer,57.7250,18.2000,90
R33,150R-0402,ERJ-2RKF1500X,TopLayer,11.0250,37.1250,90
R36,150R-0402,ERJ-2RKF1500X,TopLayer,13.0250,39.9000,0
R37,150R-0402,ERJ-2RKF1500X,TopLayer,13.0250,38.9000,0
R38,150R-0402,ERJ-2RKF1500X,TopLayer,13.0000,41.1250,0
R42,150R-0402,ERJ-2RKF1500X,TopLayer,49.0250,31.1500,180
R20,160MR-0603,ERJ-3BSFR16V,TopLayer,23.7250,6.6000,180
R5,10R-0402,ERJ-2RKF10R0X,TopLayer,9.4500,26.6250,180
R6,10R-0402,ERJ-2RKF10R0X,TopLayer,55.8750,32.8500,270
R7,1.2M-0201-0201-25V,ERJ-1GNJ125C,TopLayer,13.6981,36.0591,270
R24,1.2M-0201-0201-25V,ERJ-1GNJ125C,TopLayer,64.8000,38.7500,0
RF_GNSS_S1,3PF-0201-50V,GJM0335C1H3R0BB01D,TopLayer,33.5500,36.8154,90
RF_GNSS_S2,0R-0.5A-0201,ERJ-1GN0R00C,TopLayer,33.5500,39.0154,90
RF_P2,0.8PF-0402-50V,GJM1555C1HR80WB01D,TopLayer,71.4500,21.7250,0
RF_P4,0.8PF-0402-50V,GJM1555C1HR80WB01D,TopLayer,70.2139,25.3889,225
RF_P3,LQG15HS8N2J02D,LQG15HS8N2J02D,TopLayer,72.3750,23.2500,225
RF_R2,0R-0402,ERJ-2GE0R00X,TopLayer,77.3500,5.4250,270
RF_S1,0R-0402,ERJ-2GE0R00X,TopLayer,72.0000,20.2500,90
RF_S2,MLG1005S1N8BT000,MLG1005S1N8BT000,TopLayer,70.8750,23.9500,135
SIM1,0201AAAG06A,0201AAAG06A,TopLayer,60.4000,7.6000,0
U1,LSF0102DQER,LSF0102DQER,TopLayer,49.0250,28.5500,90
U10,BGM220PC22HNA2R,BGM220PC22HNA2R,TopLayer,21.6250,42.8300,0
U11,MAXY,MAX25223ATPB/VY+T,TopLayer,49.1750,5.0000,180
U12,STC3100IST,STC3100IST,TopLayer,16.5250,12.0000,270
U13,SSTF064BT-104I-MF,SST26VF064BT-104I/MF,TopLayer,64.4750,34.5750,0
U15,TPS22915CYFPR,TPS22915CYFPR,TopLayer,47.2750,42.0250,180
U2,NRF9160-SICA-B1A-R,nRF9160-SICA-B1A-R,TopLayer,59.4750,25.5000,0
U3,DRV5032FBDBZR,DRV5032FBDBZR,TopLayer,6.3500,25.5000,270
U4,CXD5612GF-T2,CXD5612GF-T2,TopLayer,43.5184,42.1000,0
U5,MAX77324EWTAD,MAX77324EWTAD+T,TopLayer,51.5041,39.9012,0
U14,MAX77324EWTAD,MAX77324EWTAD+T,TopLayer,55.9250,39.9000,0
U6,SAFFB1G56KB0F0A,SAFFB1G56KB0F0A,TopLayer,34.4587,40.8000,90
U7,SAFFB1G56KB0F0A,SAFFB1G56KB0F0A,TopLayer,38.0052,42.8830,0
U8,BGA524N6E6327XTSA1-1550-3.3V,BGA524N6E6327XTSA1,TopLayer,36.1552,42.2292,180
U9,LIS2DH12TR,LIS2DH12TR,TopLayer,59.4750,32.9250,90
Y2,NT2016SA-26.000000MHZ-NBG2,NT2016SA-26.000000MHZ-NBG2,TopLayer,47.1500,45.5750,180
