Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,,,TopLayer,3151.591,1170.236,0
C1,100NF-0402-50V,CL05B104KB54PNC,TopLayer,588.583,1323.819,90
C3,100NF-0402-50V,CL05B104KB54PNC,TopLayer,155.512,1694.881,270
C6,100NF-0402-50V,CL05B104KB54PNC,TopLayer,649.606,1580.709,0
C7,100NF-0402-50V,CL05B104KB54PNC,TopLayer,155.512,1444.882,270
C10,100NF-0402-50V,CL05B104KB54PNC,TopLayer,344.488,990.158,0
C19,100NF-0402-50V,CL05B104KB54PNC,TopLayer,756.890,145.669,90
C21,100NF-0402-50V,CL05B104KB54PNC,TopLayer,662.401,478.347,180
C23,100NF-0402-50V,CL05B104KB54PNC,TopLayer,465.551,736.220,270
C27,100NF-0402-50V,CL05B104KB54PNC,TopLayer,855.315,499.016,0
C31,100NF-0402-50V,CL05B104KB54PNC,TopLayer,611.475,1071.172,270
C35,100NF-0402-50V,CL05B104KB54PNC,TopLayer,1128.937,716.535,0
C44,100NF-0402-50V,CL05B104KB54PNC,TopLayer,1677.166,836.614,90
C50,100NF-0402-50V,CL05B104KB54PNC,TopLayer,1540.354,173.228,180
C59,100NF-0402-50V,CL05B104KB54PNC,TopLayer,2452.295,1841.214,180
C61,100NF-0402-50V,CL05B104KB54PNC,TopLayer,708.661,297.244,270
C12,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,305.118,506.890,180
C14,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,438.976,506.890,0
C18,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,595.472,187.008,0
C24,22UF-0805-25V,CL21A226MAYNNNE,TopLayer,441.929,677.165,90
C13,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,305.118,605.315,90
C20,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,705.709,478.347,0
C30,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,611.475,1028.849,270
C39,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,1329.725,716.535,0
C49,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,1540.354,255.905,0
C52,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,1540.354,420.276,180
C53,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,1540.354,337.598,180
C60,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,2408.988,1841.214,180
C62,33PF-0402-50V,CL05C330JB5NNNC,TopLayer,708.661,383.858,270
C15,100PF-0402-50V,CL05C101JB5NNNC,TopLayer,213.583,677.165,90
C2,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,606.299,1274.606,270
C4,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,173.228,1746.063,90
C32,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,642.716,949.803,180
C33,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,876.968,604.331,180
C34,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,1140.748,843.504,0
C22,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,611.220,461.614,0
C28,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,804.134,515.748,180
C29,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,755.905,515.748,180
C36,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,1196.851,843.504,0
C37,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,1313.976,815.945,90
C38,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,1313.976,873.032,90
C56,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,2291.339,1823.504,0
C57,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,2562.531,1823.504,0
C58,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,2504.461,1823.504,0
C64,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,552.165,461.614,0
C25,47NF-0402-50V,CL05B473KB5VPNC,TopLayer,567.913,596.457,0
C40,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,1286.418,716.535,0
RF_S1,10PF-0402-50V,CL05C100JB5NNNC,TopLayer,2784.449,452.756,90
C41,220UF-6.3V,T520B227M006ATE045,TopLayer,1438.976,802.165,90
C42,220UF-6.3V,T520B227M006ATE045,TopLayer,1584.646,582.677,270
C43,220UF-6.3V,T520B227M006ATE045,TopLayer,1570.866,802.165,90
C46,56PF-0402-50V,GRM1555C1H560GA01D,TopLayer,1677.166,706.693,90
C48,8.2PF-0402-50V,GJM1555C1H8R2BB01D,TopLayer,1677.166,793.307,90
C5,10NF-0402-50V,C0402C103M5RAC7867,TopLayer,1987.205,1740.157,270
C45,10NF-0402-50V,C0402C103M5RAC7867,TopLayer,1677.166,879.921,90
C8,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,135.826,1380.906,0
C63,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,774.606,219.488,180
C9,15PF-0402-50V,CL05C150JB5NNNC,TopLayer,155.512,1507.874,270
C11,15PF-0402-50V,CL05C150JB5NNNC,TopLayer,155.512,1649.606,270
C16,15PF-0402-50V,CL05C150JB5NNNC,TopLayer,1904.527,1740.157,270
C47,15PF-0402-50V,CL05C150JB5NNNC,TopLayer,1677.166,750.000,90
D1,MM5Z18VT1G,MM5Z18VT1G,TopLayer,305.118,646.654,0
D2,PESD0U1BB,PESD5V0U1BB,TopLayer,1584.646,173.228,180
D3,PESD0U1BB,PESD5V0U1BB,TopLayer,1584.646,420.276,180
D4,PESD0U1BB,PESD5V0U1BB,TopLayer,1584.646,255.905,0
D5,PESD0U1BB,PESD5V0U1BB,TopLayer,1584.646,337.598,180
DS1,-0402-1.8V,APHHS1005LSECK-J3-PF,TopLayer,712.598,823.819,180
F1,1210L110-16WR,1210L110-16WR,TopLayer,141.732,433.071,90
FB1,BLM15PD121SN1D,BLM15PD121SN1D,TopLayer,179.134,1380.906,180
FB5,BLM15PD121SN1D,BLM15PD121SN1D,TopLayer,2431.614,1778.228,90
