Location,Component,COMP_DEVICE_TYPE,SYM_MIRROR,SYM_X,SYM_Y,SYM_ROTATE
BC10,1120-00023,C0603_C1005_100NF/16V,T,40.2183,69.8258,135.0
BC11,1120-00023,C0603_C1005_100NF/16V,T,36.3983,55.9088,225.0
BC12,1120-00023,C0603_C1005_100NF/16V,T,34.3513,58.3638,180.0
BC13,1120-00023,C0603_C1005_100NF/16V,T,36.5103,65.9268,135.0
BC14,1120-00023,C0603_C1005_100NF/16V,T,35.1263,64.6188,180.0
BC15,1120-00168,C0603_C1005_1UF/10V,T,37.5263,67.5138,135.0
BC17,1120-00168,C0603_C1005_1UF/10V,T,44.5113,49.0358,270.0
BC18,1120-00168,C0603_C1005_1UF/10V,B,51.2983,63.5038,135.0
BC19,1120-00168,C0603_C1005_1UF/10V,T,33.6633,59.5718,180.0
BC2,1120-00016,C0603_C1005_1NF/50V,B,51.4483,57.6538,315.0
BC20,1120-00168,C0603_C1005_1UF/10V,T,42.95,40.9,90.0
BC21,1120-00168,C0603_C1005_1UF/10V,T,40.6253,51.5878,225.0
BC23,1120-00168,C0603_C1005_1UF/10V,T,51.4983,52.3038,315.0
BC24,1120-00023,C0603_C1005_100NF/16V,B,53.6483,58.3038,315.0
BC26,1120-00023,C0603_C1005_100NF/16V,B,53.0983,64.6538,315.0
BC27,1120-00023,C0603_C1005_100NF/16V,B,57.0483,59.7538,315.0
BC29,1120-00023,C0603_C1005_100NF/16V,T,41.5753,74.4788,180.0
BC30,1120-00170,C0603_C1608_1UF/25V,T,44.0723,73.2858,135.0
BC32,1120-00023,C0603_C1005_100NF/16V,B,56.2483,63.1538,45.0
BC35,1120-00023,C0603_C1005_100NF/16V,T,49.3983,73.1568,0.0
BC37,1120-00023,C0603_C1005_100NF/16V,B,58.2983,58.5038,135.0
BC38,1120-00023,C0603_C1005_100NF/16V,T,41.3443,50.8698,225.0
BC4,1120-00097,C0603_C1005_33PF/50V,T,57.5483,51.1038,135.0
BC40,1120-00023,C0603_C1005_100NF/16V,T,43.2413,49.0358,270.0
BC41,1120-00023,C0603_C1005_100NF/16V,T,53.5538,98.3517,180.0
BC48,1120-00023,C0603_C1005_100NF/16V,T,18.7813,53.1328,270.0
BC49,1120-00023,C0603_C1005_100NF/16V,T,17.4343,53.1148,270.0
BC5,1120-00035,C0603_C1608_10UF/6.3V,B,49.6483,54.0038,225.0
BC50,1120-00023,C0603_C1005_100NF/16V,T,17.6213,65.7998,90.0
BC51,1120-00023,C0603_C1005_100NF/16V,T,18.8853,65.7998,90.0
BC54,1120-00023,C0603_C1005_100NF/16V,B,48.3,35.4,0.0
BC55,1120-00023,C0603_C1005_100NF/16V,T,43.4462,106.5983,0.0
BC59,1120-00464,C0603_C1608_10UF/10V,T,56.5712,98.6293,0.0
BC60,1120-00035,C0603_C1608_10UF/6.3V,T,40.15,42.0,270.0
BC61,1120-00035,C0603_C1608_10UF/6.3V,T,41.75,41.0,90.0
BC63,1120-00023,C0603_C1005_100NF/16V,T,22.5403,66.3078,0.0
BC64,1120-00023,C0603_C1005_100NF/16V,T,21.9053,67.9588,90.0
BC65,1120-00023,C0603_C1005_100NF/16V,T,9.7133,58.0528,180.0
BC66,1120-00023,C0603_C1005_100NF/16V,T,9.7133,56.7828,180.0
BC67,1120-00464,C0603_C1608_10UF/10V,T,56.5712,100.0983,0.0
BC68,1120-00464,C0603_C1608_10UF/10V,T,57.0462,95.2983,90.0
BC7,1120-00023,C0603_C1005_100NF/16V,T,50.7483,51.5538,315.0
BC8,1120-00168,C0603_C1005_1UF/10V,B,50.8983,66.8038,315.0
BC9,1120-00023,C0603_C1005_100NF/16V,T,39.4443,53.4118,225.0
C155,1120-00016,CAP_C1005_DISCRETE_1NF/50V,T,82.175,76.1,90.0
C290,1120-00035,C3225_5_C1608_10UF/6.3V,T,75.8,45.95,180.0
C291,1120-00023,C1608_C1005_100NF,T,75.65,44.45,0.0
C349,1120-00016,C3225_5_C1005_1NF/50V,T,16.7962,97.0983,90.0
C350,1120-00013,C3225_5_C1005_100PF/50V,T,17.6962,97.0983,90.0
C41,1120-00160,C1608_C3225_10UF/35V/3225,T,92.9038,75.3,90.0
C5088,1120-00016,C0603_C1005_1NF/50V,T,76.6,11.65,180.0
C5089,1120-00016,C0603_C1005_1NF/50V,T,64.5,11.45,90.0
C5092,1120-00016,C_C1005_DISCRETE_1NF/50V,T,93.4142,103.1493,180.0
C5093,1120-00016,C_C1005_DISCRETE_1NF/50V,T,103.7957,83.1462,0.0
C5094,1120-00016,C_C1005_DISCRETE_1NF/50V,T,103.7957,85.1462,0.0
C5098,1120-00016,CAP_C1005_DISCRETE_1NF/50V,T,27.3212,85.0793,0.0
C5099,1120-00016,C0603_C1005_1NF/50V,T,89.9,11.25,0.0
C5107,1120-00374,C1608_C1005_100NF/50V,T,99.5962,67.7293,0.0
C5108,1120-00374,C1608_C1005_100NF/50V,T,101.0,68.85,0.0
C5109,1120-00165,C1608_C1005_10NF/50V,T,102.9462,67.0793,180.0
C5110,1120-00374,C1608_C1005_100NF/50V,T,103.7957,84.1462,180.0
C5111,1120-00165,C1608_C1005_10NF/50V,T,104.1462,59.6793,180.0
C5116,1120-00035,CAP NP_0_C1608_10UF/6.3V,T,79.0,43.6,90.0
C5117,1120-00023,CAP NP_0_C1005_100NF,T,80.4,43.4,90.0
C65,1120-00023,C0603_C1005_100NF/16V,T,69.8,28.225,0.0
C7,1120-00023,CAP_C1005_DISCRETE_100NF/16V,T,61.0712,90.8983,0.0
C743,1120-00160,C1608_C3225_10UF/35V/3225,T,91.65,52.3,270.0
C864,1120-00016,C0402/22PF/50V/NPO/J_C1005__1NF,T,15.8962,97.0983,270.0
