Designator,Value,1st Vendor Part No,Center-X,Center-Y,Rotation
BASE Screw1,M3.5X20-BN82429,BN82429 3.5 x 20,,,
BASE Screw2,M3.5X20-BN82429,BN82429 3.5 x 20,,,
BASE Screw3,M3.5X20-BN82429,BN82429 3.5 x 20,,,
BASE Screw4,M3.5X20-BN82429,BN82429 3.5 x 20,,,
Battery Pack1,UB2261 1100MAH,UB2261,,,
C1,4.7UF-0402-6.3V,CL05A475KQ5NRNC,530.905,1997.048,0
C3,4.7UF-0402-6.3V,CL05A475KQ5NRNC,574.802,1997.048,0
C11,10UF-0603-10V,GRM188R61A106KE69D,82.677,2133.858,270
C12,33PF-0402-50V,CL05C330JB5NNNC,858.991,2714.567,270
C15,33PF-0402-50V,CL05C330JB5NNNC,858.991,2383.858,270
C16,33PF-0402-50V,CL05C330JB5NNNC,858.991,2468.504,270
C20,33PF-0402-50V,CL05C330JB5NNNC,1255.457,1378.818,90
C31,33PF-0402-50V,CL05C330JB5NNNC,89.572,2424.943,270
C57,33PF-0402-50V,CL05C330JB5NNNC,108.662,332.284,90
C19,22UF-0603-10V,CL10A226MP8NUNE,1270.747,1475.394,270
C21,22UF-0603-10V,CL10A226MP8NUNE,1270.747,1421.260,270
C29,22UF-0603-10V,CL10A226MP8NUNE,683.070,1911.417,270
C30,22UF-0603-10V,CL10A226MP8NUNE,683.070,1707.677,270
C40,22UF-0603-10V,CL10A226MP8NUNE,96.850,589.764,0
C55,22UF-0603-10V,CL10A226MP8NUNE,96.060,254.638,180
C2,100NF-0402-50V,CL05B104KB54PNC,612.205,1997.048,0
C4,100NF-0402-50V,CL05B104KB54PNC,858.991,2096.651,90
C7,100NF-0402-50V,CL05B104KB54PNC,244.094,2055.118,270
C10,100NF-0402-50V,CL05B104KB54PNC,1163.386,2096.201,0
C13,100NF-0402-50V,CL05B104KB54PNC,858.991,2551.374,270
C14,100NF-0402-50V,CL05B104KB54PNC,858.991,2588.776,270
C17,100NF-0402-50V,CL05B104KB54PNC,1255.457,1345.472,270
C33,100NF-0402-50V,CL05B104KB54PNC,89.572,2465.625,270
C38,100NF-0402-50V,CL05B104KB54PNC,542.658,1789.567,90
C39,100NF-0402-50V,CL05B104KB54PNC,431.004,2002.953,90
C46,100NF-0402-50V,CL05B104KB54PNC,1543.822,2158.605,90
C48,100NF-0402-50V,CL05B104KB54PNC,1537.901,2039.370,90
C54,100NF-0402-50V,CL05B104KB54PNC,763.779,590.551,0
C22,10UF-1206-50V,CL31A106MBHNNNE,1309.055,1261.811,90
C23,10UF-1206-50V,CL31A106MBHNNNE,1513.779,1179.863,180
C24,4.7UF-0805-25V,CL21A475KBQNNNE,1329.724,1177.165,90
C25,33PF-0603-50V,CL10C330JB8NNNC,1344.488,1112.934,90
C26,470PF-0402-50V,CL05B471KB5NNNC,1368.110,1725.639,0
C27,1UF-0402-10V,CL05A105KP5NNNC,1179.134,1133.858,270
