Designators,Child,X-Column,Y-Column,Rotations
R1007,0RJ5101C678,178.949997,46.849998,270
R1102,0RJ3602C478,236.399994,161.300003,0
R1103,0RJ1503C478,238.199997,161.300003,180
R1104,0RJ3601D677,237.600006,149.649994,180
R1602,EBC34656201,178.75,36.650002,270
R2352,0RJ2202C478,176.5,99.5,90
R2354,0RJ0752C478,179.449997,107.5,90
R2402,0RJ1003C478,167.5,130.75,90
R2405,0RJ5102C478,169.699997,132.149994,180
R2408,0RJ4701C478,181.25,122.900002,0
R2409,ERHY0000124,168.149994,123.949997,90
R2412,0RJ2402C478,168.149994,125.949997,90
R2413,EBC40092901,162.050003,154.399994,270
R2426,0RJ2702C478,161.050003,154.399994,90
R2427,EBC41607701,161.050003,156.199997,90
R3808,0RJ3302C678,84.199997,63.150002,0
R4102,EBC32176201,16.299999,140.0,270
R4116,0RJ3301D677,11.25,127.349998,90
R4120,0RJ6801C678,32.75,150.350006,90
R519,0RJ1302C478,162.5,102.25,90
R5238,0RJ2491C478,81.599998,122.900002,270
R6017,0RH1502D622,15.0,102.699997,0
R7004,0RJ0000D677,20.65,79.0,90
R7209,0RJ8200C678,233.850006,48.450001,270
R7300,0RJ2000C678,61.75,148.949997,180
R7303,0RJ2401C678,61.75,146.949997,0
R8731,0RJ2201C678,179.149994,73.75,180
R8745,0RJ4700C678,208.800003,23.700001,270
R8900,0RJ2002C678,71.5,41.900002,180
R9293,0RH7501D422,209.25,153.550003,270
R9294,0RJ5601C477,209.25,150.600006,270
R9296,0RJ6801C478,227.899994,136.199997,0
AR100,EBC32260601,133.850006,131.050003,180
AR3300,EBC62798406,72.5,23.15,0
AR3301,EBC62798406,75.5,23.15,0
AR3315,EBC62798406,82.400002,86.599998,270
AR3316,EBC62798406,82.400002,83.599998,270
AR3319,EBC62798406,78.5,98.550003,270
AR3320,EBC62798406,81.25,96.349998,270
AR3302,EBC62582701,68.050003,21.9,0
AR3314,EBC62582701,81.699997,89.550003,270
AR3318,EBC62582701,64.25,100.0,0
AR800,EBC62582701,199.5,116.050003,270
AR801,EBC62582701,139.800003,69.800003,270
AR802,EBC62582701,10.3,35.5,270
AR803,EBC62582701,35.0,73.699997,0
AR808,EBC62582701,63.349998,160.149994,90
AR900,EBC62582701,157.899994,42.849998,90
AR3311,EBC62582703,65.199997,101.800003,180
AR3312,EBC62582703,83.5,89.550003,90
AR3313,EBC62582703,68.050003,24.15,180
AR4100,EBC62582706,15.15,148.149994,180
AR4101,EBC62582706,13.15,148.199997,180
AR7200,EBC62582706,237.25,77.050003,270
AR804,EBC62582706,56.25,172.550003,270
AR805,EBC62582706,101.5,115.300003,270
AR600,EBC62582702,118.900002,81.849998,270
AR8800,EBC32260401,156.649994,117.949997,270
AR8801,EBC32260401,152.899994,115.199997,90
AR901,0RZZH033273,158.550003,59.099998,270
AR902,0RZZH033273,156.300003,60.650002,270
AR903,0RZZH033273,155.699997,35.349998,90
AR904,0RZZH033273,158.5,50.799999,270
AR905,0RZZH033273,157.899994,37.0,90
AR906,0RZZH033273,155.699997,38.950001,270
AR907,0RZZH033273,156.300003,57.049999,270
AR908,0RZZH033273,157.899994,46.25,270
AR909,0RZZH033273,155.699997,44.299999,270
AR910,0RZZH033273,158.600006,55.299999,270
AR911,0RZZH033273,155.699997,48.650002,270
AR912,0RZZH033273,155.699997,41.549999,270
