Location,Value,Technical Description,X-Column,Y-Column,Rotation
BUZ1,,Buzzer 4KHz / 10nF Pin type,,,
C1,,"Aluminum, 10 uF, 20 %, 350 V, P5 D10, L20, THD",,,
C10,,"Ceramic, X5R, 4.7 uF, 10 %, 25 V, 0805/2012M, SMD",,,
C100,,"Ceramic, NP0/C0G, 2.2 nF, 5 %, 50 V, 0603/1608M, SMD",,,
C101,,"Ceramic, X7R, 0.01 uF, 10 %, 50 V, 0603/1608M, SMD",,,
C102,,"Ceramic, X7R, 0.01 uF, 10 %, 50 V, 0603/1608M, SMD",,,
C104,,"Aluminum, 10000 uF, 20 %, 16 V, P 8.0 L 37.5 D 18.5, THD",,,
C105,,"Ceramic, X7R, 0.47 uF, 10 %, 16 V, 0805/2012M, SMD",,,
C106,,"Ceramic, X7R, 0.01 uF, 10 %, 50 V, 0603/1608M, SMD",,,
C107,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C108,,"Ceramic, X7R, 0.01 uF, 10 %, 50 V, 0603/1608M, SMD",,,
C11,,"Aluminum, 220 uF, 20 %, 25 V, P 4.0 L 11.5 D 8.0, THD",,,
C12,,"Ceramic, X5R, 4.7 uF, 10 %, 25 V, 0805/2012M, SMD",,,
C13,,"Aluminum, 220 uF, 20 %, 25 V, P 4.0 L 11.5 D 8.0, THD",,,
C14,,"Ceramic, X7R, 3.3 nF, 10 %, 50 V, 0603/1608M, SMD",,,
C15,,"Ceramic, NP0/C0G, 82 pF, 5 %, 50 V, 0603, SMD",,,
C17,,"Aluminum, 220 uF, 20 %, 25 V, P 4.0 L 11.5 D 8.0, THD",,,
C18,,"Ceramic, X5R, 4.7 uF, 10 %, 25 V, 0805/2012M, SMD",,,
C19,,"Ceramic, X5R, 4.7 uF, 10 %, 25 V, 0805/2012M, SMD",,,
C2,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C20,,"X2, 0.47 uF, 10 %, 305 V, P=15;W=18;H=19;T=12.5; d=0.8, THD",,,
C21,,"Ceramic, X5R, 4.7 uF, 10 %, 25 V, 0805/2012M, SMD",,,
C22,,"Ceramic, NP0/C0G, 100 pF, 5 %, 50 V, 0603/1608M, SMD",,,
C23,,"Ceramic, X7R, 0.01 uF, 10 %, 50 V, 0603/1608M, SMD",,,
C27,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C28,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C29,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C3,,"Ceramic, NP0/C0G, 8.2 nF, 5 %, 50 V, 0603, SMD",,,
C30,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C31,,"Other (see additional), 100 uF, 20 %, 20 V, 7343, SMD",,,
C32,,"Aluminum, 10 uF, 20 %, 350 V, P5 D10, L20, THD",,,
C33,,"Ceramic, X7R, 0.01 uF, 10 %, 50 V, 0603/1608M, SMD",,,
C35,,"Ceramic, X7R, 0.01 uF, 10 %, 50 V, 0603/1608M, SMD",,,
C36,,"Ceramic, NP0/C0G, 1 nF, 5 %, 50 V, 0603/1608M, SMD",,,
C37,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C38,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C39,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C4,,"Ceramic, NP0/C0G, 8.2 nF, 5 %, 50 V, 0603, SMD",,,
C40,,"Ceramic, X5R, 4.7 uF, 10 %, 25 V, 0805/2012M, SMD",,,
C41,,"Ceramic, X7R, 0.01 uF, 10 %, 50 V, 0603/1608M, SMD",,,
C42,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C43,,"Ceramic, X5R, 4.7 uF, 10 %, 25 V, 0805/2012M, SMD",,,
C44,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C45,,"Ceramic, X7R, 0.01 uF, 10 %, 50 V, 0603/1608M, SMD",,,
C46,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C47,,"X2, 0.1 uF, 10 %, 275 V, P15 L18W8.5H14.5 d0.8, THD",,,
C48,,"Ceramic, X5R, 4.7 uF, 10 %, 25 V, 0805/2012M, SMD",,,
C49,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C5,,"Ceramic, X7R, 0.022 uF, 10 %, 50 V, 0603/1608M, SMD",,,
C50,,"Aluminum, 10000 uF, 20 %, 16 V, P 8.0 L 37.5 D 18.5, THD",,,
C51,,"Ceramic, NP0/C0G, 12 pF, 5 %, 50 V, 0603/1608M, SMD",,,
C52,,"Ceramic, NP0/C0G, 12 pF, 5 %, 50 V, 0603/1608M, SMD",,,
C53,,"Ceramic, NP0/C0G, 2.2 nF, 5 %, 50 V, 0603/1608M, SMD",,,
C54,,"Ceramic, X7R, 0.022 uF, 10 %, 50 V, 0603/1608M, SMD",,,
C55,,"Ceramic, X7R, 15 nF, 5 %, 50 V, 0603/1608M, SMD",,,
C56,,"Aluminum, 220 uF, 20 %, 25 V, P 4.0 L 11.5 D 8.0, THD",,,
C57,,"Tantal, 10 uF, 10 %, 16 V, 3528-21 (Case B), SMD",,,
C58,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C59,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C6,,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",,,
C60,,"Ceramic, X7R, 22 uF, 10 %, 16 V, 1210, SMD",,,
