Designator	Value	1st Vendor Part No	Center-X	Center-Y	Rotation
ANT1	P622301	P622301	61.5905	19.5116	270
ANT2	YC0009AA	YC0009AA	44.6880	2.1125	180
C1	100NF-0402-50V	CL05B104KB54PNC	36.3000	18.6500	0
C4	100NF-0402-50V	CL05B104KB54PNC	35.4000	30.3000	180
C7	100NF-0402-50V	CL05B104KB54PNC	40.3000	34.7000	90
C13	100NF-0402-50V	CL05B104KB54PNC	7.1000	18.9000	90
C14	100NF-0402-50V	CL05B104KB54PNC	7.1000	13.1000	90
C22	100NF-0402-50V	CL05B104KB54PNC	46.7000	21.4000	90
C24	100NF-0402-50V	CL05B104KB54PNC	39.5000	27.4000	180
C27	100NF-0402-50V	CL05B104KB54PNC	25.0000	30.5000	0
C32	100NF-0402-50V	CL05B104KB54PNC	40.4000	18.1000	90
C34	100NF-0402-50V	CL05B104KB54PNC	35.4000	12.9000	180
C36	100NF-0402-50V	CL05B104KB54PNC	51.2000	13.2000	270
C46	100NF-0402-50V	CL05B104KB54PNC	12.4000	33.0000	90
C11	220UF-6.3V-1210-6.3V	T520B227M006ATE045	28.7000	30.6000	90
C12	22UF-0805-16V	CL21A226KOQNNNE	7.1000	21.4000	0
C15	22UF-0805-16V	CL21A226KOQNNNE	4.0000	11.2000	90
C16	22UF-0805-16V	CL21A226KOQNNNE	4.4000	14.6250	270
C17	22UF-0805-16V	CL21A226KOQNNNE	4.4000	16.5000	270
C45	22UF-0805-16V	CL21A226KOQNNNE	9.5000	34.5500	0
C18	10PF-0402-50V	GRM1555C1H100GA01D	7.1000	12.0000	90
C38	10PF-0402-50V	GRM1555C1H100GA01D	46.1000	9.1000	0
C2	22UF-0603-10V	CL10A226MP8NUNE	35.5000	21.3000	0
C3	22UF-0603-10V	CL10A226MP8NUNE	35.4000	27.9000	180
C19	22UF-0603-10V	CL10A226MP8NUNE	42.2000	24.1000	0
C28	22UF-0603-10V	CL10A226MP8NUNE	40.8000	24.1000	0
C30	22UF-0603-10V	CL10A226MP8NUNE	40.8000	15.2500	270
C31	22UF-0603-10V	CL10A226MP8NUNE	40.8000	16.7500	270
C35	22UF-0603-10V	CL10A226MP8NUNE	45.2000	10.7000	90
C20	47NF-0402-50V	CGA2B3X7R1H473K050BB	45.8000	23.1000	180
C29	47NF-0402-50V	CGA2B3X7R1H473K050BB	39.0000	23.2000	90
C47	47NF-0402-50V	CGA2B3X7R1H473K050BB	13.9000	31.0000	180
C48	47NF-0402-50V	CGA2B3X7R1H473K050BB	13.9000	28.8500	0
C21	10UF-0603-10V	GRM188R61A106KE69D	47.0000	23.3000	0
C23	10UF-0603-10V	GRM188R61A106KE69D	38.5000	25.5000	90
C26	10UF-0603-10V	GRM188R61A106KE69D	26.3000	30.1000	180
C39	470NF-0402-10V	CL05A474KP5NNNC	49.2500	13.2000	270
C41	1.3PF-0402-50V	GJM1555C1H1R3WB01D	52.6500	7.1000	90
C42	1.6PF-0402-50V	GJM1555C1H1R6BB01D	52.6750	4.2000	90
C43	0.7PF-0402-50V	GJM1555C1HR70WB01D	50.2250	2.8500	0
C5	4.7UF-0402-6.3V	CL05A475KQ5NRNC	35.9500	24.0000	90
C6	4.7UF-0402-6.3V	CL05A475KQ5NRNC	35.9500	25.0000	90
C8	33PF-0402-50V	CL05C330JB5NNNC	40.3000	31.4000	90
C9	33PF-0402-50V	CL05C330JB5NNNC	40.3000	32.5000	90
C10	33PF-0402-50V	CL05C330JB5NNNC	40.3000	33.6000	90
C25	33PF-0402-50V	CL05C330JB5NNNC	39.0000	24.3000	270
C33	33PF-0402-50V	CL05C330JB5NNNC	40.4000	19.2000	90
C37	33PF-0402-50V	CL05C330JB5NNNC	45.1000	9.1000	0
C40	33PF-0402-50V	CL05C330JB5NNNC	48.8500	3.3000	270
RF_G_S3	33PF-0402-50V	CL05C330JB5NNNC	36.2750	5.7750	180
D1	PESD5V0U1BB	PESD5V0U1BB,115	7.1000	10.8000	90
D2	PESD5V0U1BB	PESD5V0U1BB,115	38.0000	34.7000	270
D3	PESD5V0U1BB	PESD5V0U1BB,115	38.0000	31.4000	270
D4	PESD5V0U1BB	PESD5V0U1BB,115	38.0000	32.5000	270
D5	PESD5V0U1BB	PESD5V0U1BB,115	38.0000	33.6000	270
D6	PESD5V0U1BB	PESD5V0U1BB,115	12.2500	31.8000	270
D7	SMF3.3	SMF3.3	18.8500	31.0000	180
D8	SMF3.3	SMF3.3	18.9000	28.9000	180
DS1	APHHS1005LSECK/J3-PF	APHHS1005LSECK-J3-PF	46.3000	25.2000	180
F1	MF-FSMF010X-2	MF-FSMF010X-2	9.4000	30.9000	180
FB1	180R-0603	742792624	4.4000	13.0000	180
FB2	120R-0402	BLM15PD121SN1D	38.8000	18.6500	0
FB3	120R-0402	BLM15PD121SN1D	45.5000	11.8000	90
L1	1285AS-H-2R2M	1285AS-H-2R2M	4.0000	21.2000	90
L2	LQH2HPZ150MJRL	LQH2HPZ150MJRL	49.9000	15.4000	180
L3	LQG15HN3N6S02D	LQG15HN3N6S02D	52.2000	5.6500	0
L4	LQG15HN3N6S02D	LQG15HN3N6S02D	51.6750	3.3000	270
L5	LQW15AN6N2C00D	LQW15AN6N2C00D	48.4000	4.7500	180
M1	NRF9160-SICA-B1A-R	nRF9160-SICA-B1A-R	41.6000	23.7000	0
P1	53261-0271	53261-0271	5.7000	5.8250	270
P2	53261-0671	53261-0671	5.6000	30.2000	270
PATCH1	9001997	9001997	23.3000	12.7000	180
Q1	PMF170XP	PMF170XP,115	44.0500	22.0500	270
Q2	PMF170XP	PMF170XP,115	39.7500	21.1500	180
R1	10K-0402	ERJ-2RKF1002X	35.2000	18.6500	180
R9	10K-0402	ERJ-2RKF1002X	44.1500	13.2000	270
R13	10K-0402	ERJ-2RKF1002X	21.7000	30.4000	0
R14	10K-0402	ERJ-2RKF1002X	22.8000	30.4000	0
R10	1.2M-0402	ERJ-2GEJ125X	44.0500	24.1000	270
R15	1.2M-0402	ERJ-2GEJ125X	41.8000	21.3000	180
R21	1.2M-0402	ERJ-2GEJ125X	12.2500	35.8750	270
R11	10R-0402	ERJ-2RKF10R0X	40.6000	27.4000	0
R12	10R-0402	ERJ-2RKF10R0X	23.9000	30.4000	180
R19	100K-0402	ERJ-2RKF1003X	46.7000	12.8000	90
R20	100K-0402	ERJ-2RKF1003X	52.8000	9.9000	0
R2	150R-0402	ERJ-2RKF1500X	34.3000	32.4500	0
R3	150R-0402	ERJ-2RKF1500X	35.4000	32.4500	0
R4	150R-0402	ERJ-2RKF1500X	33.2000	32.4500	0
R5	150R-0402	ERJ-2RKF1500X	35.2000	15.9000	180
R6	150R-0402	ERJ-2RKF1500X	36.3000	15.9000	180
R7	150R-0402	ERJ-2RKF1500X	44.1000	25.2000	90
R16	150R-0402	ERJ-2RKF1500X	38.5000	15.9000	0
R17	150R-0402	ERJ-2RKF1500X	37.4000	15.9000	0
R18	150R-0402	ERJ-2RKF1500X	35.4000	10.7500	180
R23	150R-0402	ERJ-2RKF1500X	15.0000	31.0000	180
R25	150R-0402	ERJ-2RKF1500X	15.0000	28.8500	0
R22	1.5K-0402	ERJ-2RKF1501X	12.2500	30.5000	90
R24	1.5K-0402	ERJ-2RKF1501X	12.2000	29.3000	90
R26	560K-0402	RC0402FR-07560KL	16.1000	31.0000	180
R27	560K-0402	RC0402FR-07560KL	16.1000	28.8500	0
R8	56.2K-0402	ERJ-2RKF5622X	7.1000	17.8250	270
RF_G_S1	0R-0402	ERJ-2GE0R00X	39.1750	5.8500	0
RF_G_S2	0R-0402	ERJ-2GE0R00X	37.7250	4.4000	270
RF_S3	0R-0402	ERJ-2GE0R00X	53.6000	19.5000	90
RF_P1	LQW15AN6N6B00D	LQW15AN6N6B00D	51.2500	24.7000	180
RF_S2	LQW15AN6N6B00D	LQW15AN6N6B00D	51.2500	19.9500	0
RF_P2	1.2PF-0402-50V	GJM1555C1H1R2BB01D	51.8000	21.3250	270
RF_R1	LQW15AN18NG00D	LQW15AN18NG00D	53.6000	23.4000	90
RF_R2	LQW15AN18NG00D	LQW15AN18NG00D	53.6000	15.6000	90
RF_S1	LQW15AN3N9C00D	LQW15AN3N9C00D	51.2500	22.7750	0
SIM1	102015772	102015772	48.2050	31.4900	90
U1	MAX38640AENT	MAX38640AENT+	4.1000	18.6000	0
U2	SST26VF064BT-104I-MF	SST26VF064BT-104I-MF	45.5000	17.2000	90
U3	LIS2DH12TR	LIS2DH12TR	37.3750	27.9000	270
U4	OPT3001	OPT3001DNPT	24.5000	32.9000	180
U5	MIA-M10Q	MIA-M10Q	38.8000	11.7000	270
U6	SAFFB1G56KB0F0A	SAFFB1G56KB0F0A	39.6000	7.9663	180
U7	LR1110IMLTRT	LR1110IMLTRT	50.3000	10.7000	0
U8	TPS22915CYFPR	TPS22915CYFPR	11.8000	34.3000	90
XTAL1	32.768KHZ	ABS05-32.768KHZ-9-T	42.3000	11.8000	270
Y1	32MHZ 10PF	FCX-07L-32.000MHZJ22077	48.0000	10.3000	90
