Designator	Value	1st Vendor Part No	Center-X	Center-Y	Rotation
ANT1	1004795	1004795	164.1468	195.3624	0
C1	100NF-0402-50V	CL05B104KB54PNC	103.7570	184.7850	270
C3	100NF-0402-50V	CL05B104KB54PNC	115.7403	185.7512	180
C5	100NF-0402-50V	CL05B104KB54PNC	113.1271	174.0640	0
C6	100NF-0402-50V	CL05B104KB54PNC	106.9000	185.7430	180
C7	100NF-0402-50V	CL05B104KB54PNC	103.7590	176.7840	270
C11	100NF-0402-50V	CL05B104KB54PNC	99.2380	183.1340	270
C13	100NF-0402-50V	CL05B104KB54PNC	100.3970	170.1575	0
C16	100NF-0402-50V	CL05B104KB54PNC	99.5070	179.0010	270
C18	100NF-0402-50V	CL05B104KB54PNC	96.9010	179.7148	90
C23	100NF-0402-50V	CL05B104KB54PNC	105.1510	172.7200	180
C27	100NF-0402-50V	CL05B104KB54PNC	107.3399	173.4820	270
C39	100NF-0402-50V	CL05B104KB54PNC	130.2509	168.5530	0
C45	100NF-0402-50V	CL05B104KB54PNC	141.2200	210.4934	270
C54	100NF-0402-50V	CL05B104KB54PNC	123.7790	175.5140	0
C12	22UF-0805-25V	CL21A226MAYNNNE	100.3820	177.5020	90
C14	22UF-0805-25V	CL21A226MAYNNNE	101.8220	169.3825	0
C15	22UF-0805-25V	CL21A226MAYNNNE	103.6270	169.3710	0
C24	22UF-0805-25V	CL21A226MAYNNNE	103.6270	173.0330	0
C17	33PF-0402-50V	GRM1555C1H330GA01D	96.8957	180.8028	270
C44	33PF-0402-50V	GRM1555C1H330GA01D	155.1000	203.0639	90
C46	33PF-0402-50V	GRM1555C1H330GA01D	141.2200	211.5360	270
C47	33PF-0402-50V	GRM1555C1H330GA01D	141.2200	207.0074	270
C48	33PF-0402-50V	GRM1555C1H330GA01D	141.2200	204.5367	270
C51	33PF-0402-50V	GRM1555C1H330GA01D	101.2570	185.1660	90
C55	33PF-0402-50V	GRM1555C1H330GA01D	124.8790	178.4350	180
C19	22UF-0603-10V	CL10A226MP8NUNE	95.1130	179.8778	180
C28	22UF-0603-10V	CL10A226MP8NUNE	110.3970	172.9740	90
C29	22UF-0603-10V	CL10A226MP8NUNE	110.3970	174.3710	90
C33	22UF-0603-10V	CL10A226MP8NUNE	93.5891	179.8778	180
C52	22UF-0603-10V	CL10A226MP8NUNE	121.0310	175.9546	180
C53	22UF-0603-10V	CL10A226MP8NUNE	122.5165	175.9546	180
C58	22UF-0603-10V	CL10A226MP8NUNE	126.2910	175.9546	180
C2	10UF-0603-6.3V	CL10A106KQ8NNNC	105.6640	185.2930	0
C4	10UF-0603-6.3V	CL10A106KQ8NNNC	114.4150	173.6140	180
C32	10UF-0603-6.3V	CL10A106KQ8NNNC	120.5230	185.2930	180
C34	10UF-0603-6.3V	CL10A106KQ8NNNC	125.5410	181.8060	270
C57	10UF-0603-6.3V	CL10A106KQ8NNNC	125.5410	184.5550	270
C20	10PF-0402-50V	GRM1555C1H100GA01D	96.6880	171.6770	270
C25	47NF-0402-50V	CGA2B3X7R1H473K050BB	106.6480	168.4960	0
C30	33PF-0201-50V	GRM0335C1H330JA01D	123.1900	184.3050	270
C31	100NF-0201-10V	CL03A104KP3NNNC	123.1900	185.2068	270
C35	100NF-0201-10V	CL03A104KP3NNNC	124.8410	180.5940	270
