0,1,2,3,4,5,6,7,8
REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
BC1,C0603_C1005_1UF/10V,1UF/10V,,C1005,50.7483,57.0038,315.000,YES
BC2,C0603_C1005_1NF/50V,1NF/50V,,C1005,51.4483,57.6538,315.000,YES
BC3,C0603_C1005_33PF/50V,33PF/50V,,C1005,61.3983,55.0538,315.000,NO
BC4,C0603_C1005_33PF/50V,33PF/50V,,C1005,57.5483,51.1038,135.000,NO
BC5,C0603_C1608_10UF/6.3V,10UF/6.3V,,C1608,49.6483,54.0038,225.000,YES
BC7,C0603_C1005_100NF/16V,100nF/16V,,C1005,50.7483,51.5538,315.000,NO
BC8,C0603_C1005_1UF/10V,1UF/10V,,C1005,50.8983,66.8038,315.000,YES
BC9,C0603_C1005_100NF/16V,100nF/16V,,C1005,39.4443,53.4118,225.000,NO
BC10,C0603_C1005_100NF/16V,100nF/16V,,C1005,40.2183,69.8258,135.000,NO
BC11,C0603_C1005_100NF/16V,100nF/16V,,C1005,36.3983,55.9088,225.000,NO
BC12,C0603_C1005_100NF/16V,100nF/16V,,C1005,34.3513,58.3638,180.000,NO
BC13,C0603_C1005_100NF/16V,100nF/16V,,C1005,36.5103,65.9268,135.000,NO
BC14,C0603_C1005_100NF/16V,100nF/16V,,C1005,35.1263,64.6188,180.000,NO
BC15,C0603_C1005_1UF/10V,1UF/10V,,C1005,37.5263,67.5138,135.000,NO
BC17,C0603_C1005_1UF/10V,1UF/10V,,C1005,44.5113,49.0358,270.000,NO
BC18,C0603_C1005_1UF/10V,1UF/10V,,C1005,51.2983,63.5038,135.000,YES
BC19,C0603_C1005_1UF/10V,1UF/10V,,C1005,33.6633,59.5718,180.000,NO
BC20,C0603_C1005_1UF/10V,1UF/10V,,C1005,42.9500,40.9000,90.000,NO
BC21,C0603_C1005_1UF/10V,1UF/10V,,C1005,40.6253,51.5878,225.000,NO
BC22,C0603_C1005_(N)1UF,(N)1UF,,C1005,42.4183,72.5758,135.000,NO
BC23,C0603_C1005_1UF/10V,1UF/10V,,C1005,51.4983,52.3038,315.000,NO
BC24,C0603_C1005_100NF/16V,100nF/16V,,C1005,53.6483,58.3038,315.000,YES
BC25,C0603_C1005_(N)4.7UF,(N)4.7UF,,C1005,53.7983,65.3038,315.000,YES
BC26,C0603_C1005_100NF/16V,100nF/16V,,C1005,53.0983,64.6538,315.000,YES
